ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
59,72,0.69679,0.81944,54; 59; 72; 55; 81; 43; 71; 23; 65; 82
18,28,0.30102,0.64286,33; 18; 28; 79; 42; 13; 63; 73; 49; 28
15,41,0.2507,0.36585,83; 15; 41; 79; 15; 58; 34; 48; 54; 72
5,41,0.24245,0.12195,40; 5; 41; 24; 41; 18; 33; 66; 29; 6
71,72,0.81083,0.98611,76; 71; 72; 76; 32; 18; 73; 49; 78; 8
10,58,0.16644,0.17241,10; 10; 58; 75; 18; 58; 18; 83; 48; 32
48,62,0.58831,0.77419,15; 48; 62; 72; 71; 72; 8; 54; 54; 42
48,68,0.59105,0.70588,22; 48; 68; 41; 9; 10; 54; 53; 6; 53
59,62,0.67912,0.95161,62; 59; 62; 76; 14; 66; 37; 37; 78; 59
34,41,0.44642,0.82927,13; 34; 41; 6; 48; 49; 40; 74; 85; 12
11,20,0.0593,0.55,61; 11; 20; 45; 43; 79; 20; 54; 54; 45
6,72,0.13909,0.08333,57; 6; 72; 77; 59; 74; 20; 12; 79; 60
13,72,0.14649,0.18056,78; 13; 72; 45; 75; 73; 32; 64; 57; 47
13,57,0.13537,0.22807,54; 13; 57; 28; 27; 41; 6; 18; 19; 56
18,40,0.30954,0.45,48; 18; 40; 30; 82; 70; 34; 84; 53; 67
64,68,0.72407,0.94118,48; 64; 68; 84; 77; 37; 44; 35; 73; 76
7,28,0.29467,0.25,16; 7; 28; 19; 35; 70; 29; 81; 47; 16
23,72,0.27397,0.31944,70; 23; 72; 75; 38; 75; 12; 35; 23; 40
50,52,0.52735,0.96154,26; 50; 52; 14; 12; 22; 14; 81; 17; 5
8,52,0.20004,0.15385,32; 8; 52; 51; 84; 41; 23; 63; 85; 36
8,9,0.21449,0.88889,28; 8; 9; 81; 23; 11; 15; 64; 16; 24
11,21,0.24227,0.52381,8; 11; 21; 54; 27; 28; 26; 15; 74; 69
12,32,0.14898,0.375,18; 12; 32; 21; 74; 8; 50; 40; 80; 63
5,40,0.08263,0.125,31; 5; 40; 60; 29; 70; 35; 25; 53; 85
18,20,0.32957,0.9,62; 18; 20; 72; 78; 9; 78; 85; 41; 60
6,11,0.23676,0.54545,77; 6; 11; 68; 40; 68; 52; 64; 27; 64
28,32,0.38556,0.875,78; 28; 32; 66; 36; 25; 41; 12; 53; 13
17,32,0.27612,0.53125,61; 17; 32; 70; 11; 47; 76; 55; 62; 40
13,41,0.21726,0.31707,62; 13; 41; 81; 81; 54; 83; 25; 60; 17
56,68,0.67355,0.82353,19; 56; 68; 59; 39; 7; 57; 59; 7; 78
11,52,0.25768,0.21154,64; 11; 52; 76; 25; 76; 64; 48; 21; 31
20,62,0.2503,0.32258,44; 20; 62; 41; 85; 35; 20; 15; 68; 22
44,57,0.50943,0.77193,12; 44; 57; 82; 82; 17; 19; 49; 48; 31
6,9,0.20967,0.66667,63; 6; 9; 20; 77; 13; 53; 55; 51; 79
8,41,0.22507,0.19512,63; 8; 41; 68; 72; 27; 16; 14; 44; 36
56,62,0.63875,0.90323,22; 56; 62; 61; 63; 39; 63; 6; 60; 48
56,58,0.6345,0.96552,15; 56; 58; 30; 67; 77; 29; 9; 71; 13
20,41,0.38645,0.4878,72; 20; 41; 54; 63; 33; 53; 83; 14; 23
16,52,0.23481,0.30769,45; 16; 52; 41; 75; 39; 70; 63; 83; 40
21,45,0.27817,0.46667,25; 21; 45; 83; 30; 34; 41; 42; 77; 16
8,20,0.41613,0.4,66; 8; 20; 80; 11; 67; 40; 24; 7; 81
9,21,0.27082,0.42857,18; 9; 21; 23; 85; 8; 60; 79; 22; 28
17,40,0.322,0.425,39; 17; 40; 37; 23; 50; 59; 52; 27; 83
19,21,0.406,0.90476,9; 19; 21; 23; 7; 78; 38; 75; 54; 26
64,68,0.71507,0.94118,43; 64; 68; 8; 50; 84; 48; 69; 8; 11
54,72,0.62754,0.75,49; 54; 72; 75; 6; 8; 56; 23; 57; 83
6,50,0.14696,0.12,22; 6; 50; 21; 35; 22; 82; 51; 26; 78
17,58,0.31747,0.2931,24; 17; 58; 24; 83; 46; 34; 30; 68; 38
36,45,0.43638,0.8,38; 36; 45; 76; 8; 30; 10; 73; 82; 51
22,28,0.31294,0.78571,16; 22; 28; 57; 30; 82; 8; 44; 64; 24
31,57,0.38347,0.54386,12; 31; 57; 85; 61; 62; 6; 73; 67; 35
60,72,0.75064,0.83333,23; 60; 72; 79; 34; 20; 37; 5; 23; 8
11,21,0.28428,0.52381,11; 11; 21; 38; 50; 38; 25; 23; 10; 49
13,41,0.25536,0.31707,7; 13; 41; 34; 72; 17; 11; 70; 76; 75
56,62,0.66513,0.90323,47; 56; 62; 77; 67; 73; 70; 11; 49; 18
23,32,0.35269,0.71875,24; 23; 32; 81; 16; 12; 21; 9; 57; 12
5,11,0.17429,0.45455,33; 5; 11; 10; 82; 84; 72; 78; 49; 81
9,20,0.20545,0.45,26; 9; 20; 83; 50; 75; 85; 10; 39; 82
6,20,0.18462,0.3,77; 6; 20; 67; 20; 78; 39; 53; 18; 20
6,9,0.12282,0.66667,76; 6; 9; 19; 34; 25; 52; 66; 23; 46
6,21,0.26745,0.28571,37; 6; 21; 69; 78; 51; 62; 68; 18; 14
8,9,0.22333,0.88889,63; 8; 9; 45; 12; 36; 27; 65; 50; 74
10,11,0.18178,0.90909,64; 10; 11; 12; 40; 30; 54; 40; 47; 61
24,62,0.29964,0.3871,84; 24; 62; 32; 55; 45; 67; 36; 9; 42
5,20,0.18525,0.25,57; 5; 20; 65; 67; 23; 69; 14; 55; 18
44,57,0.53094,0.77193,65; 44; 57; 75; 73; 58; 5; 84; 59; 9
13,52,0.17915,0.25,22; 13; 52; 53; 12; 72; 32; 13; 58; 31
29,45,0.35954,0.64444,63; 29; 45; 22; 47; 74; 67; 77; 73; 32
19,32,0.34905,0.59375,24; 19; 32; 70; 48; 46; 58; 7; 15; 6
28,40,0.41238,0.7,31; 28; 40; 10; 80; 70; 65; 71; 9; 8
59,68,0.67683,0.86765,64; 59; 68; 27; 69; 63; 53; 40; 10; 82
5,9,0.25367,0.55556,44; 5; 9; 49; 53; 47; 24; 38; 73; 78
12,50,0.19391,0.24,59; 12; 50; 58; 23; 33; 50; 46; 10; 68
19,20,0.25501,0.95,8; 19; 20; 43; 15; 23; 11; 56; 70; 23
5,21,0.37507,0.2381,21; 5; 21; 57; 32; 51; 38; 85; 13; 20
21,57,0.28036,0.36842,20; 21; 57; 30; 77; 7; 38; 18; 33; 41
48,62,0.58602,0.77419,21; 48; 62; 85; 84; 18; 54; 29; 75; 32
25,52,0.41019,0.48077,16; 25; 52; 70; 47; 79; 72; 18; 83; 12
28,50,0.45142,0.56,15; 28; 50; 48; 52; 17; 67; 72; 56; 44
48,62,0.64302,0.77419,65; 48; 62; 48; 81; 35; 13; 77; 57; 35
14,52,0.29164,0.26923,35; 14; 52; 13; 57; 25; 20; 85; 66; 75
7,11,0.20803,0.63636,52; 7; 11; 6; 39; 32; 44; 15; 33; 83
29,57,0.35475,0.50877,82; 29; 57; 14; 65; 54; 17; 27; 78; 76
46,62,0.52491,0.74194,55; 46; 62; 10; 21; 78; 85; 76; 13; 27
23,45,0.33834,0.51111,38; 23; 45; 22; 61; 61; 48; 5; 85; 30
32,45,0.42172,0.71111,55; 32; 45; 78; 38; 35; 13; 47; 77; 75
22,52,0.38074,0.42308,55; 22; 52; 39; 25; 26; 25; 30; 27; 27
9,11,0.20238,0.81818,42; 9; 11; 18; 48; 51; 45; 79; 25; 66
5,20,0.11211,0.25,39; 5; 20; 40; 10; 31; 29; 83; 50; 8
8,45,0.13567,0.17778,15; 8; 45; 28; 44; 42; 21; 84; 75; 33
22,72,0.27104,0.30556,57; 22; 72; 74; 62; 24; 59; 27; 13; 82
7,11,0.09915,0.63636,5; 7; 11; 45; 13; 59; 39; 58; 47; 35
10,41,0.19528,0.2439,77; 10; 41; 70; 64; 84; 60; 57; 31; 52
61,72,0.69903,0.84722,12; 61; 72; 83; 44; 23; 33; 82; 17; 51
