ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
22,25,0.78454,0.88,73; 22; 25; 19; 77; 5; 14; 23; 57; 28
7,8,0.84762,0.875,79; 7; 8; 68; 22; 84; 28; 29; 31; 72
8,10,0.89328,0.8,32; 8; 10; 76; 28; 45; 39; 33; 53; 68
19,84,0.76926,0.22619,55; 19; 84; 20; 56; 82; 5; 78; 68; 22
5,17,0.64033,0.29412,75; 5; 17; 81; 27; 41; 10; 72; 84; 8
16,50,0.79361,0.32,6; 16; 50; 23; 66; 34; 83; 50; 75; 54
42,46,0.77749,0.91304,73; 42; 46; 59; 71; 14; 40; 27; 32; 22
39,56,0.81484,0.69643,60; 39; 56; 36; 77; 59; 48; 18; 19; 24
5,36,0.63773,0.13889,12; 5; 36; 38; 74; 57; 41; 44; 32; 60
39,50,0.75363,0.78,31; 39; 50; 35; 14; 39; 32; 70; 26; 36
34,42,0.77453,0.80952,28; 34; 42; 68; 44; 35; 73; 25; 47; 85
12,72,0.82338,0.16667,72; 12; 72; 70; 13; 63; 36; 25; 58; 56
30,50,0.83031,0.6,19; 30; 50; 53; 31; 78; 58; 64; 10; 55
9,84,0.7135,0.10714,68; 9; 84; 40; 8; 47; 53; 46; 8; 6
36,46,0.76215,0.78261,56; 36; 46; 80; 60; 64; 75; 73; 33; 48
5,8,0.73144,0.625,73; 5; 8; 32; 39; 38; 75; 77; 8; 75
70,72,0.79218,0.97222,43; 70; 72; 16; 10; 19; 83; 79; 22; 83
24,31,0.76191,0.77419,47; 24; 31; 47; 14; 80; 26; 62; 85; 21
43,46,0.7723,0.93478,26; 43; 46; 58; 34; 85; 26; 79; 5; 55
15,46,0.80908,0.32609,24; 15; 46; 83; 16; 30; 40; 59; 73; 24
10,83,0.77562,0.12048,24; 10; 83; 68; 41; 60; 25; 36; 18; 36
11,46,0.71912,0.23913,24; 11; 46; 61; 37; 35; 22; 63; 5; 35
5,83,0.66354,0.06024,26; 5; 83; 57; 52; 24; 33; 45; 26; 70
7,31,0.75055,0.22581,24; 7; 31; 11; 48; 14; 20; 25; 68; 67
15,42,0.7986,0.35714,40; 15; 42; 17; 85; 10; 80; 69; 18; 55
5,13,0.60668,0.38462,36; 5; 13; 24; 57; 38; 42; 7; 19; 69
62,75,0.79797,0.82667,50; 62; 75; 39; 45; 5; 8; 42; 46; 53
59,72,0.78968,0.81944,44; 59; 72; 75; 75; 83; 62; 51; 19; 84
12,13,0.86818,0.92308,85; 12; 13; 28; 20; 84; 34; 47; 27; 80
51,83,0.80113,0.61446,7; 51; 83; 36; 47; 72; 13; 17; 78; 32
5,10,0.65729,0.5,79; 5; 10; 60; 69; 80; 66; 53; 79; 57
10,13,0.83417,0.76923,64; 10; 13; 57; 77; 78; 17; 33; 38; 76
6,72,0.72695,0.08333,11; 6; 72; 61; 8; 36; 78; 64; 77; 50
56,72,0.77972,0.77778,77; 56; 72; 57; 16; 70; 30; 42; 12; 49
11,17,0.79175,0.64706,65; 11; 17; 10; 30; 68; 46; 50; 26; 76
12,13,0.86716,0.92308,75; 12; 13; 52; 14; 11; 76; 13; 54; 80
7,8,0.87224,0.875,11; 7; 8; 82; 43; 46; 66; 38; 50; 75
7,8,0.87102,0.875,41; 7; 8; 6; 5; 45; 77; 63; 38; 45
29,31,0.77937,0.93548,59; 29; 31; 16; 36; 35; 47; 76; 42; 45
19,36,0.74054,0.52778,67; 19; 36; 18; 27; 53; 83; 83; 63; 63
16,56,0.80009,0.28571,18; 16; 56; 38; 73; 82; 83; 84; 40; 47
16,31,0.78525,0.51613,16; 16; 31; 29; 71; 74; 18; 30; 42; 72
15,31,0.79249,0.48387,28; 15; 31; 46; 74; 31; 23; 28; 40; 69
5,8,0.692,0.625,67; 5; 8; 68; 28; 25; 52; 41; 59; 14
38,72,0.77218,0.52778,50; 38; 72; 5; 54; 39; 80; 64; 33; 23
5,8,0.70305,0.625,42; 5; 8; 28; 55; 34; 67; 30; 26; 63
