ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
60,81,0.66938,0.74074,76; 60; 81; 44; 44; 21; 80; 14; 83; 15
17,65,0.58026,0.26154,48; 17; 65; 71; 33; 28; 52; 20; 38; 26
36,85,0.60019,0.42353,66; 36; 85; 29; 5; 18; 47; 82; 80; 42
10,61,0.589,0.16393,28; 10; 61; 21; 59; 81; 39; 63; 31; 42
22,53,0.58922,0.41509,77; 22; 53; 18; 10; 84; 49; 82; 34; 25
17,43,0.61046,0.39535,71; 17; 43; 47; 52; 30; 61; 32; 12; 22
29,56,0.58963,0.51786,22; 29; 56; 18; 74; 17; 13; 12; 57; 23
65,73,0.86842,0.89041,34; 65; 73; 70; 20; 45; 56; 43; 69; 76
21,56,0.59633,0.375,9; 21; 56; 35; 6; 18; 28; 64; 66; 82
13,82,0.56632,0.15854,15; 13; 82; 22; 45; 10; 23; 46; 15; 12
12,76,0.55758,0.15789,40; 12; 76; 16; 83; 65; 18; 68; 14; 18
57,82,0.65331,0.69512,37; 57; 82; 51; 67; 30; 77; 38; 10; 28
13,80,0.52401,0.1625,47; 13; 80; 31; 75; 47; 14; 78; 74; 21
7,78,0.56265,0.08974,26; 7; 78; 27; 30; 64; 83; 82; 75; 81
17,43,0.59915,0.39535,78; 17; 43; 69; 18; 31; 52; 34; 44; 12
7,70,0.59579,0.1,34; 7; 70; 70; 35; 75; 39; 64; 37; 18
5,12,0.56694,0.41667,64; 5; 12; 30; 16; 9; 65; 7; 16; 15
11,67,0.58679,0.16418,30; 11; 67; 22; 69; 46; 80; 45; 33; 16
27,72,0.56411,0.375,24; 27; 72; 23; 53; 10; 82; 69; 34; 36
8,22,0.6257,0.36364,10; 8; 22; 74; 70; 40; 22; 51; 5; 82
53,84,0.63508,0.63095,55; 53; 84; 77; 59; 84; 19; 62; 8; 33
31,73,0.57872,0.42466,64; 31; 73; 77; 23; 34; 16; 47; 13; 84
5,58,0.60092,0.08621,79; 5; 58; 63; 61; 44; 61; 10; 43; 74
21,30,0.64152,0.7,21; 21; 30; 31; 71; 10; 35; 55; 12; 46
31,44,0.66393,0.70455,67; 31; 44; 8; 27; 48; 85; 73; 57; 34
12,46,0.55976,0.26087,18; 12; 46; 23; 30; 71; 41; 12; 68; 11
40,56,0.69728,0.71429,28; 40; 56; 8; 77; 77; 39; 48; 76; 32
19,30,0.58094,0.63333,81; 19; 30; 5; 10; 69; 53; 14; 66; 85
13,84,0.55594,0.15476,22; 13; 84; 71; 40; 19; 63; 6; 7; 26
17,33,0.58475,0.51515,15; 17; 33; 78; 48; 71; 30; 85; 26; 62
7,48,0.63015,0.14583,12; 7; 48; 38; 73; 56; 45; 48; 36; 11
7,35,0.61581,0.2,58; 7; 35; 53; 66; 52; 39; 48; 75; 40
7,77,0.56422,0.09091,58; 7; 77; 64; 52; 77; 34; 26; 35; 83
27,75,0.56405,0.36,31; 27; 75; 27; 37; 60; 17; 16; 82; 76
9,46,0.61776,0.19565,5; 9; 46; 63; 38; 64; 41; 81; 51; 37
