ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
50,81,0.60083,0.61728,70; 50; 81; 31; 76; 29; 71; 59; 83; 35
56,76,0.69623,0.73684,64; 56; 76; 20; 23; 54; 22; 31; 82; 52
12,13,0.70359,0.92308,24; 12; 13; 24; 13; 28; 75; 6; 43; 16
42,58,0.70735,0.72414,80; 42; 58; 50; 55; 28; 35; 46; 42; 16
46,74,0.61006,0.62162,7; 46; 74; 39; 58; 8; 39; 34; 32; 48
28,39,0.71825,0.71795,56; 28; 39; 25; 12; 59; 65; 53; 73; 24
35,44,0.73623,0.79545,59; 35; 44; 68; 37; 9; 39; 80; 45; 45
60,82,0.70022,0.73171,76; 60; 82; 11; 75; 17; 17; 25; 72; 66
29,31,0.75838,0.93548,21; 29; 31; 13; 42; 6; 28; 18; 33; 81
8,84,0.0768,0.09524,69; 8; 84; 64; 45; 27; 15; 59; 39; 77
20,31,0.60986,0.64516,75; 20; 31; 63; 47; 74; 67; 57; 25; 68
71,77,0.94843,0.92208,64; 71; 77; 19; 30; 36; 64; 18; 61; 60
11,17,0.64848,0.64706,76; 11; 17; 18; 38; 54; 75; 17; 48; 39
7,21,0.33544,0.33333,64; 7; 21; 67; 7; 36; 39; 52; 24; 82
20,51,0.37897,0.39216,81; 20; 51; 37; 29; 50; 9; 67; 35; 78
21,30,0.70514,0.7,54; 21; 30; 38; 41; 76; 23; 75; 27; 27
28,39,0.72299,0.71795,30; 28; 39; 5; 48; 85; 84; 46; 52; 41
51,71,0.68649,0.71831,72; 51; 71; 22; 37; 33; 31; 76; 75; 39
24,62,0.35125,0.3871,78; 24; 62; 7; 64; 67; 60; 50; 72; 36
39,48,0.74185,0.8125,28; 39; 48; 57; 28; 22; 20; 19; 57; 29
31,44,0.67449,0.70455,54; 31; 44; 5; 11; 30; 68; 61; 42; 78
76,82,0.92513,0.92683,78; 76; 82; 9; 71; 24; 18; 32; 13; 22
51,54,0.83495,0.94444,40; 51; 54; 67; 70; 13; 24; 82; 85; 42
32,83,0.40092,0.38554,9; 32; 83; 28; 18; 65; 25; 82; 74; 7
29,36,0.75433,0.80556,6; 29; 36; 5; 74; 27; 42; 61; 64; 46
15,38,0.40089,0.39474,19; 15; 38; 23; 13; 20; 54; 29; 47; 14
17,21,0.72989,0.80952,79; 17; 21; 34; 61; 48; 14; 52; 45; 84
29,75,0.39269,0.38667,42; 29; 75; 42; 55; 11; 19; 16; 73; 15
67,73,0.93397,0.91781,9; 67; 73; 24; 34; 38; 30; 21; 52; 37
27,29,0.765,0.93103,70; 27; 29; 33; 68; 73; 39; 68; 81; 59
35,57,0.6097,0.61404,20; 35; 57; 52; 63; 85; 67; 25; 84; 69
45,49,0.82709,0.91837,33; 45; 49; 84; 35; 68; 26; 5; 19; 58
14,20,0.65298,0.7,25; 14; 20; 69; 19; 72; 55; 23; 22; 15
12,30,0.40723,0.4,58; 12; 30; 38; 24; 61; 75; 53; 75; 27
17,21,0.73602,0.80952,10; 17; 21; 20; 47; 5; 60; 81; 57; 52
43,69,0.61017,0.62319,66; 43; 69; 41; 33; 7; 16; 10; 13; 31
21,48,0.40215,0.4375,34; 21; 48; 59; 25; 83; 63; 79; 23; 41
51,73,0.68427,0.69863,43; 51; 73; 11; 75; 12; 80; 7; 5; 51
43,59,0.70807,0.72881,80; 43; 59; 18; 5; 19; 19; 45; 79; 13
56,70,0.78998,0.8,11; 56; 70; 51; 9; 27; 65; 35; 60; 22
49,66,0.7081,0.74242,26; 49; 66; 8; 14; 61; 55; 22; 12; 73
48,67,0.70065,0.71642,9; 48; 67; 23; 69; 12; 70; 14; 5; 22
39,54,0.71793,0.72222,77; 39; 54; 25; 45; 78; 25; 58; 35; 12
8,20,0.39905,0.4,28; 8; 20; 73; 42; 12; 51; 78; 52; 68
28,63,0.45031,0.44444,48; 28; 63; 70; 41; 29; 44; 36; 83; 29
62,67,0.91807,0.92537,25; 62; 67; 85; 67; 5; 78; 48; 15; 45
9,66,0.14527,0.13636,10; 9; 66; 39; 47; 59; 39; 9; 50; 31
34,84,0.40914,0.40476,5; 34; 84; 69; 44; 69; 52; 9; 27; 68
54,59,0.82598,0.91525,47; 54; 59; 19; 56; 9; 26; 26; 40; 47
75,81,0.93184,0.92593,24; 75; 81; 59; 38; 64; 43; 32; 66; 8
37,46,0.73272,0.80435,31; 37; 46; 85; 26; 83; 23; 5; 54; 14
28,70,0.40406,0.4,58; 28; 70; 21; 9; 19; 39; 53; 75; 62
7,70,0.11399,0.1,16; 7; 70; 42; 49; 77; 64; 32; 47; 12
51,78,0.64228,0.65385,82; 51; 78; 50; 45; 63; 75; 73; 83; 28
32,83,0.37335,0.38554,69; 32; 83; 82; 77; 71; 58; 29; 6; 81
6,61,0.13212,0.09836,63; 6; 61; 55; 15; 10; 47; 78; 62; 48
34,47,0.70314,0.7234,49; 34; 47; 9; 34; 42; 67; 76; 84; 36
10,73,0.13814,0.13699,8; 10; 73; 13; 85; 71; 70; 40; 46; 75
