ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
35,75,0.45585,0.46667,79; 35; 75; 38; 69; 69; 11; 5; 39; 72
61,63,0.88294,0.96825,22; 61; 63; 29; 50; 44; 46; 23; 62; 77
33,63,0.45488,0.52381,53; 33; 63; 20; 15; 59; 81; 19; 20; 56
10,44,0.44745,0.22727,8; 10; 44; 83; 51; 72; 17; 68; 81; 57
12,53,0.46493,0.22642,32; 12; 53; 19; 69; 34; 66; 32; 53; 42
43,83,0.48272,0.51807,70; 43; 83; 49; 29; 38; 15; 62; 16; 63
38,66,0.46923,0.57576,15; 38; 66; 36; 74; 26; 78; 50; 33; 43
37,79,0.45172,0.46835,15; 37; 79; 25; 76; 44; 10; 13; 61; 80
23,49,0.44742,0.46939,53; 23; 49; 18; 41; 36; 5; 21; 22; 14
29,60,0.44745,0.48333,22; 29; 60; 23; 73; 68; 6; 62; 37; 82
25,80,0.44097,0.3125,85; 25; 80; 45; 37; 44; 77; 8; 16; 14
62,85,0.82652,0.72941,56; 62; 85; 21; 41; 14; 7; 13; 19; 18
10,44,0.44388,0.22727,57; 10; 44; 66; 81; 71; 46; 52; 8; 50
36,69,0.45087,0.52174,81; 36; 69; 38; 59; 57; 38; 20; 58; 39
7,80,0.47263,0.0875,6; 7; 80; 77; 16; 80; 56; 73; 7; 75
28,42,0.44602,0.66667,9; 28; 42; 19; 6; 70; 30; 65; 45; 9
6,20,0.44554,0.3,58; 6; 20; 81; 27; 61; 40; 15; 40; 13
7,31,0.45099,0.22581,61; 7; 31; 56; 44; 37; 63; 39; 65; 45
14,72,0.44481,0.19444,48; 14; 72; 59; 31; 16; 19; 33; 55; 14
7,76,0.47224,0.09211,37; 7; 76; 53; 8; 58; 53; 82; 17; 66
5,55,0.46322,0.09091,46; 5; 55; 78; 58; 72; 65; 62; 50; 77
13,69,0.44813,0.18841,12; 13; 69; 10; 24; 77; 56; 70; 54; 42
61,84,0.87526,0.72619,9; 61; 84; 56; 10; 74; 59; 45; 71; 78
24,47,0.45326,0.51064,73; 24; 47; 82; 42; 22; 23; 6; 49; 76
34,51,0.44772,0.66667,52; 34; 51; 55; 7; 36; 17; 64; 7; 10
10,54,0.45724,0.18519,11; 10; 54; 71; 41; 28; 64; 73; 83; 81
7,31,0.44835,0.22581,82; 7; 31; 15; 63; 30; 33; 36; 15; 21
24,50,0.44427,0.48,48; 24; 50; 84; 65; 78; 52; 56; 83; 68
35,45,0.45196,0.77778,19; 35; 45; 26; 13; 73; 70; 72; 40; 35
17,56,0.45331,0.30357,71; 17; 56; 6; 66; 37; 19; 54; 35; 63
