ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
11,68,0.16891,0.16176,77; 11; 68; 41; 67; 21; 6; 20; 5; 21
54,69,0.62835,0.78261,13; 54; 69; 19; 70; 35; 21; 32; 48; 44
45,71,0.62257,0.6338,78; 45; 71; 12; 47; 25; 80; 76; 37; 66
11,73,0.15047,0.15068,56; 11; 73; 13; 22; 31; 19; 32; 30; 46
17,58,0.28008,0.2931,21; 17; 58; 70; 34; 57; 5; 8; 14; 78
21,55,0.37211,0.38182,83; 21; 55; 57; 72; 65; 68; 38; 6; 30
28,66,0.41778,0.42424,27; 28; 66; 58; 57; 61; 56; 32; 27; 73
35,83,0.40948,0.42169,20; 35; 83; 48; 78; 52; 81; 80; 64; 84
20,78,0.2634,0.25641,6; 20; 78; 70; 58; 36; 8; 76; 39; 30
14,27,0.49858,0.51852,38; 14; 27; 33; 73; 28; 63; 83; 82; 17
27,75,0.33753,0.36,6; 27; 75; 67; 39; 18; 8; 63; 13; 84
10,39,0.25149,0.25641,53; 10; 39; 39; 77; 54; 30; 77; 41; 24
40,54,0.65661,0.74074,41; 40; 54; 26; 54; 29; 67; 31; 46; 77
11,73,0.14107,0.15068,84; 11; 73; 33; 55; 69; 16; 42; 77; 37
28,73,0.37322,0.38356,33; 28; 73; 50; 36; 13; 32; 75; 13; 22
10,61,0.15269,0.16393,77; 10; 61; 65; 68; 20; 49; 54; 51; 65
23,61,0.35781,0.37705,33; 23; 61; 27; 25; 77; 15; 57; 58; 63
12,42,0.28325,0.28571,56; 12; 42; 17; 32; 79; 30; 53; 36; 31
16,38,0.39862,0.42105,19; 16; 38; 10; 63; 35; 51; 62; 56; 49
7,46,0.1627,0.15217,57; 7; 46; 34; 78; 60; 72; 39; 29; 10
8,53,0.15085,0.15094,26; 8; 53; 74; 47; 79; 14; 62; 8; 41
50,70,0.60123,0.71429,42; 50; 70; 44; 58; 36; 83; 49; 25; 15
10,24,0.41009,0.41667,23; 10; 24; 41; 22; 27; 58; 22; 16; 53
17,27,0.55246,0.62963,13; 17; 27; 26; 37; 84; 45; 13; 31; 21
54,76,0.61382,0.71053,38; 54; 76; 50; 70; 48; 58; 80; 47; 65
13,85,0.13469,0.15294,18; 13; 85; 45; 10; 51; 56; 37; 18; 67
8,51,0.17541,0.15686,25; 8; 51; 68; 21; 66; 63; 55; 34; 64
30,72,0.39982,0.41667,55; 30; 72; 83; 8; 75; 7; 47; 5; 51
30,71,0.43476,0.42254,35; 30; 71; 76; 15; 6; 21; 17; 22; 42
8,52,0.16456,0.15385,34; 8; 52; 54; 27; 63; 33; 60; 34; 50
13,25,0.55563,0.52,38; 13; 25; 66; 47; 55; 67; 67; 76; 53
17,59,0.27793,0.28814,70; 17; 59; 20; 13; 21; 59; 29; 62; 81
52,83,0.57764,0.62651,34; 52; 83; 15; 7; 47; 34; 73; 66; 35
10,67,0.15621,0.14925,80; 10; 67; 79; 60; 85; 13; 39; 22; 43
10,49,0.21594,0.20408,73; 10; 49; 62; 11; 19; 74; 62; 34; 73
24,63,0.3661,0.38095,63; 24; 63; 57; 64; 82; 76; 69; 35; 40
7,72,0.10105,0.09722,72; 7; 72; 68; 38; 77; 14; 42; 85; 72
6,70,0.08022,0.08571,43; 6; 70; 28; 53; 24; 20; 67; 21; 37
20,32,0.56743,0.625,54; 20; 32; 37; 83; 68; 64; 9; 12; 31
16,18,0.61612,0.88889,27; 16; 18; 19; 6; 39; 11; 10; 9; 26
12,59,0.18766,0.20339,38; 12; 59; 40; 52; 83; 42; 74; 25; 57
29,46,0.60175,0.63043,64; 29; 46; 77; 44; 82; 61; 24; 28; 19
18,69,0.28895,0.26087,70; 18; 69; 82; 58; 11; 62; 23; 57; 6
28,77,0.35888,0.36364,34; 28; 77; 84; 66; 30; 68; 21; 57; 41
54,77,0.57481,0.7013,37; 54; 77; 50; 36; 19; 75; 70; 76; 47
21,59,0.34501,0.35593,85; 21; 59; 36; 8; 75; 66; 60; 10; 56
50,68,0.64406,0.73529,8; 50; 68; 71; 85; 62; 20; 43; 10; 19
12,32,0.34671,0.375,60; 12; 32; 47; 54; 48; 60; 47; 70; 85
5,25,0.1986,0.2,32; 5; 25; 40; 12; 39; 66; 10; 12; 5
57,73,0.60199,0.78082,75; 57; 73; 66; 21; 84; 30; 63; 82; 32
24,34,0.57987,0.70588,23; 24; 34; 20; 49; 82; 58; 60; 35; 15
50,64,0.63152,0.78125,13; 50; 64; 49; 67; 6; 56; 43; 19; 34
31,81,0.37188,0.38272,77; 31; 81; 75; 68; 30; 5; 74; 40; 55
54,77,0.60742,0.7013,42; 54; 77; 29; 39; 80; 38; 31; 20; 83
64,82,0.51542,0.78049,19; 64; 82; 64; 10; 77; 43; 43; 25; 63
22,52,0.42637,0.42308,17; 22; 52; 61; 22; 19; 38; 57; 31; 46
