ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
21,26,0.77277,0.80769,72; 21; 26; 31; 69; 72; 32; 69; 48; 60
39,53,0.72361,0.73585,37; 39; 53; 30; 69; 45; 60; 74; 9; 18
12,63,0.20172,0.19048,56; 12; 63; 15; 29; 57; 65; 11; 77; 46
32,82,0.49779,0.39024,29; 32; 82; 56; 79; 13; 20; 74; 39; 8
37,42,0.85479,0.88095,43; 37; 42; 83; 17; 38; 67; 69; 26; 77
24,31,0.74558,0.77419,10; 24; 31; 54; 34; 51; 25; 63; 5; 45
15,31,0.46176,0.48387,25; 15; 31; 23; 71; 36; 74; 37; 42; 57
5,42,0.12834,0.11905,74; 5; 42; 58; 83; 39; 54; 40; 60; 14
11,32,0.33938,0.34375,22; 11; 32; 38; 25; 75; 69; 77; 15; 75
38,42,0.87488,0.90476,78; 38; 42; 66; 28; 41; 58; 48; 11; 83
7,31,0.2311,0.22581,60; 7; 31; 24; 74; 17; 25; 75; 39; 23
21,42,0.48471,0.5,39; 21; 42; 81; 25; 45; 6; 33; 69; 7
32,78,0.46454,0.41026,60; 32; 78; 83; 74; 25; 50; 36; 44; 71
58,77,0.77547,0.75325,83; 58; 77; 21; 69; 59; 72; 23; 66; 31
47,64,0.75354,0.73438,83; 47; 64; 66; 10; 21; 48; 71; 31; 40
8,82,0.13966,0.09756,23; 8; 82; 6; 12; 66; 29; 31; 52; 74
26,42,0.61027,0.61905,61; 26; 42; 29; 66; 85; 81; 52; 7; 50
27,31,0.84405,0.87097,22; 27; 31; 50; 22; 12; 67; 30; 49; 54
6,9,0.44543,0.66667,78; 6; 9; 47; 15; 50; 55; 24; 8; 69
15,31,0.47318,0.48387,47; 15; 31; 44; 26; 25; 20; 17; 62; 8
43,78,0.63697,0.55128,34; 43; 78; 40; 82; 45; 12; 17; 73; 30
29,42,0.68655,0.69048,81; 29; 42; 25; 19; 74; 63; 80; 58; 6
46,75,0.68603,0.61333,84; 46; 75; 84; 15; 60; 82; 83; 24; 10
8,9,0.57918,0.88889,20; 8; 9; 67; 79; 80; 27; 28; 5; 62
6,32,0.19853,0.1875,45; 6; 32; 33; 42; 61; 6; 75; 82; 76
7,9,0.50392,0.77778,32; 7; 9; 85; 66; 7; 36; 74; 22; 65
32,70,0.47675,0.45714,50; 32; 70; 16; 33; 58; 85; 42; 23; 36
7,9,0.49634,0.77778,5; 7; 9; 17; 30; 74; 45; 85; 43; 74
36,70,0.5515,0.51429,57; 36; 70; 55; 15; 27; 68; 49; 50; 57
10,77,0.15423,0.12987,35; 10; 77; 83; 82; 25; 35; 85; 83; 8
