ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
7,11,0.59515,0.63636,32; 7; 11; 73; 13; 26; 11; 19; 57; 19
25,57,0.43579,0.4386,23; 25; 57; 62; 30; 15; 39; 80; 71; 70
28,45,0.61087,0.62222,67; 28; 45; 75; 69; 31; 77; 20; 31; 13
39,41,0.93268,0.95122,52; 39; 41; 75; 55; 52; 68; 34; 57; 25
27,40,0.68648,0.675,5; 27; 40; 34; 26; 42; 66; 15; 32; 16
40,50,0.78636,0.8,65; 40; 50; 73; 65; 48; 48; 45; 81; 16
45,58,0.77002,0.77586,32; 45; 58; 75; 78; 82; 80; 56; 14; 68
14,40,0.3544,0.35,62; 14; 40; 25; 6; 51; 79; 52; 22; 57
23,50,0.43703,0.46,14; 23; 50; 10; 58; 67; 16; 36; 34; 76
51,58,0.87411,0.87931,66; 51; 58; 12; 12; 12; 51; 23; 41; 10
26,41,0.62714,0.63415,26; 26; 41; 12; 83; 70; 81; 75; 27; 66
45,62,0.71741,0.72581,32; 45; 62; 16; 69; 22; 80; 41; 57; 33
6,9,0.53824,0.66667,65; 6; 9; 13; 55; 62; 49; 35; 54; 22
20,40,0.51301,0.5,25; 20; 40; 64; 46; 60; 64; 78; 71; 24
7,9,0.63787,0.77778,18; 7; 9; 50; 28; 68; 54; 71; 9; 68
8,9,0.7049,0.88889,65; 8; 9; 77; 47; 40; 45; 67; 5; 7
29,32,0.90662,0.90625,66; 29; 32; 62; 61; 6; 12; 23; 49; 35
54,57,0.93811,0.94737,41; 54; 57; 68; 20; 83; 73; 72; 32; 76
15,20,0.76322,0.75,31; 15; 20; 20; 12; 36; 50; 68; 38; 80
20,28,0.71774,0.71429,16; 20; 28; 78; 13; 11; 35; 50; 25; 28
45,50,0.89487,0.9,83; 45; 50; 29; 78; 28; 53; 55; 72; 8
21,72,0.2921,0.29167,17; 21; 72; 48; 20; 69; 64; 51; 5; 39
31,41,0.74187,0.7561,19; 31; 41; 41; 43; 46; 38; 15; 74; 8
39,58,0.66475,0.67241,74; 39; 58; 80; 59; 47; 5; 33; 59; 72
19,52,0.36663,0.36538,63; 19; 52; 35; 37; 72; 12; 43; 58; 20
19,20,0.93862,0.95,23; 19; 20; 15; 61; 23; 14; 30; 35; 45
43,52,0.8117,0.82692,6; 43; 52; 39; 73; 65; 69; 68; 39; 7
32,52,0.60738,0.61538,8; 32; 52; 54; 14; 39; 52; 30; 50; 74
20,58,0.33693,0.34483,22; 20; 58; 42; 47; 9; 49; 55; 23; 74
12,62,0.19434,0.19355,77; 12; 62; 14; 43; 18; 63; 16; 6; 79
22,41,0.52651,0.53659,31; 22; 41; 51; 65; 46; 84; 34; 66; 63
19,52,0.36989,0.36538,44; 19; 52; 29; 45; 34; 7; 29; 15; 72
18,57,0.29975,0.31579,61; 18; 57; 66; 29; 39; 85; 55; 15; 52
48,68,0.71025,0.70588,43; 48; 68; 77; 78; 26; 40; 8; 81; 19
43,68,0.61852,0.63235,19; 43; 68; 67; 74; 75; 82; 81; 50; 45
