ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
33,51,0.56771,0.64706,64; 33; 51; 81; 58; 82; 57; 84; 85; 15
7,72,0.10087,0.09722,11; 7; 72; 27; 44; 68; 39; 9; 30; 63
12,73,0.17996,0.16438,65; 12; 73; 83; 29; 15; 49; 40; 13; 69
51,70,0.69741,0.72857,19; 51; 70; 65; 14; 8; 75; 36; 47; 54
51,54,0.82469,0.94444,38; 51; 54; 65; 53; 37; 29; 65; 5; 41
60,81,0.78672,0.74074,64; 60; 81; 44; 62; 17; 53; 10; 53; 67
8,20,0.50835,0.4,44; 8; 20; 51; 23; 34; 31; 45; 74; 22
14,85,0.17165,0.16471,74; 14; 85; 12; 48; 31; 78; 19; 56; 71
59,80,0.78185,0.7375,74; 59; 80; 18; 40; 31; 55; 65; 35; 15
8,77,0.10604,0.1039,49; 8; 77; 53; 14; 71; 25; 52; 23; 29
23,69,0.34535,0.33333,67; 23; 69; 85; 32; 24; 61; 55; 16; 46
38,53,0.63061,0.71698,46; 38; 53; 20; 6; 35; 49; 34; 51; 74
23,38,0.53967,0.60526,62; 23; 38; 40; 75; 75; 6; 75; 76; 59
43,59,0.64314,0.72881,43; 43; 59; 79; 39; 55; 32; 35; 39; 10
67,72,0.94167,0.93056,15; 67; 72; 8; 26; 49; 31; 59; 74; 56
43,58,0.67769,0.74138,65; 43; 58; 63; 5; 82; 11; 66; 42; 51
15,23,0.54182,0.65217,73; 15; 23; 68; 50; 58; 19; 18; 53; 15
53,85,0.63613,0.62353,36; 53; 85; 35; 29; 47; 66; 82; 71; 84
14,43,0.41612,0.32558,6; 14; 43; 64; 79; 13; 40; 36; 32; 27
29,72,0.40286,0.40278,49; 29; 72; 67; 20; 24; 24; 64; 51; 64
30,46,0.58135,0.65217,22; 30; 46; 26; 39; 37; 12; 45; 61; 46
21,52,0.47944,0.40385,16; 21; 52; 18; 6; 44; 50; 55; 64; 66
11,77,0.1562,0.14286,64; 11; 77; 42; 57; 20; 79; 79; 42; 25
23,33,0.57618,0.69697,72; 23; 33; 44; 53; 62; 9; 54; 52; 16
32,73,0.4404,0.43836,44; 32; 73; 9; 82; 85; 62; 64; 35; 62
22,55,0.46477,0.4,12; 22; 55; 80; 73; 40; 29; 47; 18; 51
62,84,0.81056,0.7381,55; 62; 84; 63; 73; 46; 56; 35; 13; 44
35,79,0.42499,0.44304,80; 35; 79; 9; 62; 72; 37; 63; 54; 49
11,81,0.11964,0.1358,65; 11; 81; 65; 78; 68; 51; 55; 25; 54
76,83,0.9529,0.91566,37; 76; 83; 21; 6; 21; 54; 11; 76; 38
76,83,0.9482,0.91566,33; 76; 83; 20; 10; 34; 47; 84; 78; 58
49,68,0.76232,0.72059,64; 49; 68; 32; 56; 37; 79; 46; 15; 57
38,52,0.62684,0.73077,55; 38; 52; 15; 68; 75; 32; 33; 64; 82
66,81,0.89897,0.81481,69; 66; 81; 5; 52; 23; 82; 14; 75; 57
25,63,0.45002,0.39683,16; 25; 63; 33; 84; 83; 70; 37; 50; 24
35,47,0.59845,0.74468,12; 35; 47; 20; 31; 80; 22; 80; 19; 23
22,55,0.44996,0.4,44; 22; 55; 44; 6; 34; 18; 76; 17; 67
6,37,0.35051,0.16216,74; 6; 37; 47; 62; 75; 41; 27; 45; 64
25,41,0.55073,0.60976,55; 25; 41; 9; 82; 76; 55; 39; 70; 9
25,27,0.58318,0.92593,10; 25; 27; 67; 60; 30; 23; 60; 24; 67
11,67,0.18693,0.16418,9; 11; 67; 80; 80; 32; 71; 79; 48; 69
57,78,0.79118,0.73077,27; 57; 78; 68; 20; 39; 13; 83; 9; 17
57,61,0.84329,0.93443,50; 57; 61; 19; 6; 57; 14; 67; 60; 68
33,36,0.64098,0.91667,36; 33; 36; 54; 8; 50; 81; 71; 9; 57
18,25,0.55579,0.72,28; 18; 25; 17; 65; 22; 33; 60; 65; 55
49,61,0.71395,0.80328,78; 49; 61; 26; 6; 54; 46; 38; 21; 22
48,74,0.65013,0.64865,46; 48; 74; 8; 68; 68; 73; 19; 61; 40
59,81,0.77103,0.7284,47; 59; 81; 36; 37; 19; 48; 40; 9; 66
32,73,0.46157,0.43836,15; 32; 73; 82; 48; 77; 63; 31; 39; 15
8,24,0.4715,0.33333,25; 8; 24; 43; 44; 73; 52; 35; 39; 38
68,85,0.86512,0.8,65; 68; 85; 17; 80; 82; 62; 85; 57; 62
48,51,0.73641,0.94118,43; 48; 51; 32; 8; 27; 64; 11; 59; 23
59,84,0.75136,0.70238,59; 59; 84; 20; 40; 66; 77; 83; 52; 28
75,80,0.96097,0.9375,14; 75; 80; 7; 12; 59; 10; 61; 59; 23
49,80,0.64369,0.6125,55; 49; 80; 36; 53; 17; 35; 7; 21; 42
34,55,0.57734,0.61818,25; 34; 55; 19; 53; 65; 5; 81; 63; 32
28,38,0.56163,0.73684,17; 28; 38; 36; 43; 52; 47; 80; 47; 37
28,85,0.34124,0.32941,79; 28; 85; 35; 18; 6; 5; 32; 44; 85
46,62,0.67875,0.74194,82; 46; 62; 8; 30; 38; 51; 70; 70; 35
32,83,0.39425,0.38554,74; 32; 83; 31; 39; 7; 57; 52; 43; 83
25,64,0.42612,0.39062,77; 25; 64; 64; 64; 8; 82; 19; 78; 82
49,52,0.78383,0.94231,83; 49; 52; 29; 17; 70; 12; 35; 57; 26
42,57,0.6386,0.73684,43; 42; 57; 19; 71; 21; 30; 70; 51; 62
46,62,0.69036,0.74194,28; 46; 62; 37; 61; 27; 42; 76; 32; 39
46,66,0.65633,0.69697,83; 46; 66; 72; 8; 32; 74; 23; 64; 15
7,72,0.12418,0.09722,5; 7; 72; 62; 53; 58; 23; 29; 27; 71
29,75,0.37186,0.38667,75; 29; 75; 53; 12; 65; 47; 27; 73; 39
47,72,0.67392,0.65278,50; 47; 72; 26; 37; 23; 71; 25; 53; 15
53,72,0.7106,0.73611,80; 53; 72; 44; 63; 21; 40; 40; 69; 28
23,58,0.45864,0.39655,81; 23; 58; 15; 64; 68; 83; 39; 68; 12
11,80,0.10955,0.1375,78; 11; 80; 6; 28; 71; 32; 39; 74; 7
32,82,0.37695,0.39024,81; 32; 82; 9; 72; 75; 82; 5; 71; 32
12,31,0.49303,0.3871,7; 12; 31; 70; 36; 45; 85; 34; 42; 81
5,51,0.26443,0.09804,36; 5; 51; 52; 22; 22; 34; 74; 73; 64
61,83,0.83759,0.73494,80; 61; 83; 73; 6; 68; 66; 58; 63; 70
48,77,0.6536,0.62338,81; 48; 77; 49; 15; 52; 47; 63; 35; 52
51,73,0.67895,0.69863,28; 51; 73; 62; 68; 15; 74; 21; 9; 62
43,70,0.58857,0.61429,8; 43; 70; 51; 41; 36; 55; 78; 15; 55
32,34,0.64212,0.94118,6; 32; 34; 75; 63; 77; 64; 56; 38; 53
12,77,0.14779,0.15584,6; 12; 77; 71; 60; 17; 6; 31; 28; 14
52,56,0.8392,0.92857,13; 52; 56; 36; 8; 19; 31; 41; 34; 53
6,37,0.32982,0.16216,17; 6; 37; 32; 11; 15; 39; 76; 9; 8
6,15,0.50723,0.4,60; 6; 15; 73; 25; 63; 32; 27; 27; 61
39,42,0.66689,0.92857,12; 39; 42; 52; 63; 29; 85; 27; 73; 12
63,67,0.93935,0.9403,85; 63; 67; 31; 54; 19; 48; 51; 59; 41
18,45,0.46751,0.4,66; 18; 45; 7; 50; 15; 20; 84; 38; 10
20,60,0.34961,0.33333,73; 20; 60; 64; 48; 59; 49; 45; 38; 50
55,79,0.69855,0.6962,71; 55; 79; 22; 56; 74; 12; 39; 19; 38
41,51,0.67019,0.80392,7; 41; 51; 27; 58; 17; 49; 65; 30; 84
55,75,0.7415,0.73333,71; 55; 75; 24; 11; 70; 6; 24; 74; 44
39,48,0.68175,0.8125,59; 39; 48; 26; 60; 36; 12; 33; 82; 23
29,74,0.38683,0.39189,66; 29; 74; 48; 80; 27; 40; 11; 24; 68
27,70,0.40899,0.38571,72; 27; 70; 56; 11; 56; 38; 58; 68; 67
30,32,0.63461,0.9375,41; 30; 32; 76; 65; 61; 44; 63; 59; 56
10,73,0.15838,0.13699,59; 10; 73; 79; 54; 71; 14; 15; 19; 83
34,36,0.64504,0.94444,8; 34; 36; 76; 35; 70; 31; 60; 54; 18
18,46,0.4589,0.3913,24; 18; 46; 17; 30; 15; 60; 16; 78; 83
43,54,0.69741,0.7963,60; 43; 54; 23; 56; 31; 32; 44; 29; 23
9,66,0.21307,0.13636,13; 9; 66; 5; 57; 15; 11; 18; 71; 49
28,45,0.55325,0.62222,19; 28; 45; 43; 28; 29; 34; 56; 39; 11
21,29,0.55061,0.72414,53; 21; 29; 59; 35; 45; 47; 8; 73; 82
32,80,0.41246,0.4,33; 32; 80; 60; 56; 14; 33; 23; 25; 76
11,25,0.51472,0.44,57; 11; 25; 12; 63; 17; 16; 69; 50; 76
8,83,0.09348,0.09639,23; 8; 83; 48; 34; 11; 85; 7; 22; 64
34,47,0.58424,0.7234,58; 34; 47; 12; 46; 79; 18; 37; 84; 9
33,84,0.38473,0.39286,84; 33; 84; 62; 55; 49; 76; 26; 16; 59
8,13,0.45659,0.61538,68; 8; 13; 57; 23; 30; 17; 7; 58; 45
14,43,0.42021,0.32558,9; 14; 43; 20; 44; 17; 16; 10; 71; 66
13,20,0.52194,0.65,42; 13; 20; 9; 44; 63; 25; 13; 19; 36
8,79,0.10175,0.10127,42; 8; 79; 67; 40; 32; 58; 58; 78; 84
35,79,0.44462,0.44304,26; 35; 79; 58; 70; 36; 62; 31; 44; 6
37,85,0.43768,0.43529,18; 37; 85; 80; 53; 5; 35; 37; 64; 47
34,84,0.39429,0.40476,83; 34; 84; 78; 53; 46; 33; 48; 37; 83
7,21,0.50753,0.33333,46; 7; 21; 11; 33; 37; 54; 13; 10; 33
45,62,0.65669,0.72581,13; 45; 62; 56; 73; 42; 50; 45; 38; 10
30,68,0.45584,0.44118,39; 30; 68; 22; 82; 16; 78; 44; 25; 64
48,60,0.69461,0.8,22; 48; 60; 68; 11; 76; 16; 83; 11; 8
45,73,0.62412,0.61644,51; 45; 73; 66; 16; 79; 83; 85; 19; 33
24,62,0.40211,0.3871,12; 24; 62; 43; 40; 12; 53; 31; 45; 23
11,15,0.52436,0.73333,37; 11; 15; 20; 52; 76; 62; 45; 12; 58
12,77,0.12868,0.15584,5; 12; 77; 24; 27; 31; 21; 74; 41; 16
25,27,0.57617,0.92593,61; 25; 27; 59; 30; 59; 78; 79; 39; 71
20,50,0.4913,0.4,11; 20; 50; 78; 68; 66; 39; 52; 12; 75
14,35,0.49029,0.4,65; 14; 35; 48; 8; 29; 21; 11; 71; 84
24,26,0.57728,0.92308,37; 24; 26; 31; 58; 5; 54; 83; 27; 51
6,63,0.17823,0.09524,43; 6; 63; 79; 35; 23; 26; 46; 11; 8
13,16,0.56236,0.8125,5; 13; 16; 61; 33; 56; 28; 68; 51; 28
8,18,0.51906,0.44444,47; 8; 18; 62; 26; 56; 32; 36; 67; 74
18,45,0.47147,0.4,85; 18; 45; 16; 78; 53; 85; 60; 35; 37
46,71,0.62967,0.64789,73; 46; 71; 72; 70; 45; 31; 24; 30; 17
26,35,0.57158,0.74286,34; 26; 35; 43; 52; 59; 51; 84; 50; 72
71,77,0.95224,0.92208,30; 71; 77; 32; 53; 43; 24; 52; 65; 76
32,81,0.38407,0.39506,50; 32; 81; 63; 64; 78; 72; 64; 73; 29
30,32,0.63576,0.9375,73; 30; 32; 42; 21; 22; 76; 45; 39; 83
60,75,0.79654,0.8,25; 60; 75; 17; 82; 38; 42; 54; 57; 34
6,60,0.18887,0.1,20; 6; 60; 38; 61; 11; 49; 59; 49; 79
32,49,0.5789,0.65306,75; 32; 49; 30; 64; 80; 29; 44; 46; 26
39,42,0.69863,0.92857,10; 39; 42; 21; 49; 8; 50; 23; 7; 24
51,64,0.79831,0.79688,59; 51; 64; 17; 48; 31; 63; 59; 63; 62
18,46,0.47848,0.3913,52; 18; 46; 45; 17; 20; 14; 73; 7; 48
46,66,0.65618,0.69697,43; 46; 66; 83; 34; 57; 36; 17; 77; 46
68,73,0.95429,0.93151,35; 68; 73; 41; 24; 8; 70; 19; 10; 67
63,68,0.92383,0.92647,79; 63; 68; 30; 9; 74; 14; 35; 60; 67
29,74,0.4232,0.39189,25; 29; 74; 72; 32; 9; 20; 30; 54; 5
67,84,0.89631,0.79762,72; 67; 84; 33; 73; 34; 51; 76; 17; 30
24,72,0.34087,0.33333,72; 24; 72; 49; 48; 49; 5; 16; 17; 12
44,68,0.64753,0.64706,75; 44; 68; 45; 76; 40; 21; 16; 8; 16
12,31,0.48442,0.3871,24; 12; 31; 57; 20; 82; 35; 22; 62; 51
49,70,0.68696,0.7,33; 49; 70; 6; 47; 18; 38; 42; 36; 31
31,79,0.37494,0.39241,39; 31; 79; 75; 83; 15; 52; 17; 77; 37
68,73,0.9409,0.93151,76; 68; 73; 10; 16; 56; 68; 10; 69; 45
39,64,0.5759,0.60938,12; 39; 64; 59; 45; 36; 44; 33; 82; 80
47,64,0.67562,0.73438,40; 47; 64; 44; 42; 26; 72; 84; 64; 78
58,62,0.85981,0.93548,69; 58; 62; 21; 74; 35; 27; 32; 21; 71
59,81,0.75056,0.7284,74; 59; 81; 19; 83; 22; 26; 53; 39; 29
6,43,0.35656,0.13953,70; 6; 43; 52; 47; 36; 26; 62; 67; 21
8,78,0.10565,0.10256,52; 8; 78; 74; 71; 71; 14; 77; 42; 25
47,65,0.69365,0.72308,79; 47; 65; 52; 39; 11; 29; 12; 83; 57
52,80,0.64239,0.65,48; 52; 80; 56; 81; 56; 40; 5; 13; 26
5,51,0.28645,0.09804,58; 5; 51; 7; 24; 52; 74; 60; 23; 31
52,85,0.64024,0.61176,48; 52; 85; 78; 8; 69; 47; 81; 54; 44
46,64,0.678,0.71875,63; 46; 64; 27; 51; 67; 74; 28; 21; 30
40,54,0.63218,0.74074,20; 40; 54; 50; 57; 48; 79; 26; 13; 5
33,53,0.57351,0.62264,35; 33; 53; 22; 48; 28; 43; 49; 38; 76
55,84,0.68268,0.65476,66; 55; 84; 56; 61; 78; 44; 50; 36; 14
5,31,0.4336,0.16129,74; 5; 31; 64; 18; 47; 82; 62; 8; 57
