ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
20,35,0.54841,0.57143,71; 20; 35; 42; 29; 47; 70; 25; 10; 42
8,23,0.33749,0.34783,65; 8; 23; 76; 36; 75; 58; 57; 25; 38
23,73,0.31316,0.31507,58; 23; 73; 62; 23; 60; 41; 58; 17; 21
41,52,0.78057,0.78846,38; 41; 52; 21; 20; 15; 84; 11; 83; 56
56,67,0.82371,0.83582,70; 56; 67; 18; 18; 41; 53; 16; 62; 11
23,46,0.47338,0.5,54; 23; 46; 25; 14; 64; 25; 26; 29; 72
37,66,0.55287,0.56061,41; 37; 66; 80; 68; 6; 79; 73; 36; 57
32,57,0.53714,0.5614,17; 32; 57; 56; 28; 52; 20; 61; 33; 74
38,83,0.45547,0.45783,20; 38; 83; 40; 37; 17; 35; 42; 15; 80
46,82,0.55546,0.56098,35; 46; 82; 82; 10; 60; 61; 36; 38; 48
14,40,0.35001,0.35,55; 14; 40; 17; 76; 80; 53; 53; 17; 75
28,56,0.48356,0.5,42; 28; 56; 39; 34; 77; 20; 80; 26; 65
14,46,0.30272,0.30435,17; 14; 46; 44; 69; 37; 17; 44; 33; 51
36,44,0.80188,0.81818,33; 36; 44; 26; 27; 33; 69; 13; 64; 85
15,52,0.28477,0.28846,56; 15; 52; 81; 23; 67; 49; 78; 64; 42
29,83,0.35612,0.3494,85; 29; 83; 50; 67; 72; 29; 66; 82; 54
63,79,0.77482,0.79747,44; 63; 79; 62; 46; 10; 32; 41; 31; 45
25,54,0.45602,0.46296,47; 25; 54; 85; 77; 25; 13; 33; 73; 40
29,82,0.3569,0.35366,17; 29; 82; 78; 74; 54; 64; 80; 18; 53
56,70,0.7785,0.8,54; 56; 70; 75; 54; 41; 41; 68; 47; 15
24,48,0.48335,0.5,78; 24; 48; 71; 57; 31; 35; 66; 6; 25
23,40,0.56545,0.575,83; 23; 40; 74; 32; 5; 52; 39; 81; 58
47,84,0.57122,0.55952,41; 47; 84; 51; 74; 14; 53; 79; 53; 65
65,82,0.7704,0.79268,33; 65; 82; 32; 24; 58; 48; 53; 16; 75
56,71,0.76959,0.78873,32; 56; 71; 50; 18; 55; 22; 73; 55; 57
39,79,0.48168,0.49367,22; 39; 79; 81; 40; 30; 47; 54; 64; 74
23,40,0.5616,0.575,9; 23; 40; 46; 35; 16; 80; 36; 19; 9
41,52,0.78593,0.78846,39; 41; 52; 51; 7; 25; 35; 67; 77; 9
10,36,0.29797,0.27778,68; 10; 36; 44; 32; 46; 10; 73; 76; 22
28,75,0.37747,0.37333,6; 28; 75; 44; 16; 65; 44; 6; 62; 39
13,55,0.2409,0.23636,48; 13; 55; 11; 27; 10; 9; 22; 46; 66
15,46,0.33554,0.32609,54; 15; 46; 40; 80; 75; 62; 79; 45; 21
30,85,0.36496,0.35294,81; 30; 85; 6; 52; 85; 11; 60; 51; 56
43,51,0.80933,0.84314,71; 43; 51; 34; 14; 24; 25; 67; 7; 72
56,71,0.77578,0.78873,13; 56; 71; 56; 6; 73; 16; 36; 28; 48
20,84,0.23859,0.2381,44; 20; 84; 82; 61; 10; 46; 64; 56; 44
10,34,0.304,0.29412,72; 10; 34; 28; 73; 47; 36; 23; 47; 68
6,25,0.24044,0.24,38; 6; 25; 5; 49; 14; 78; 35; 32; 40
26,31,0.83863,0.83871,6; 26; 31; 22; 12; 61; 43; 35; 70; 84
38,82,0.45177,0.46341,16; 38; 82; 18; 28; 26; 46; 40; 26; 47
12,49,0.25331,0.2449,80; 12; 49; 27; 54; 35; 45; 56; 48; 41
59,70,0.83272,0.84286,54; 59; 70; 14; 61; 8; 25; 24; 78; 31
12,34,0.35713,0.35294,83; 12; 34; 27; 10; 37; 57; 33; 48; 76
19,55,0.36551,0.34545,69; 19; 55; 51; 61; 53; 77; 78; 45; 43
15,54,0.27183,0.27778,82; 15; 54; 51; 78; 25; 81; 9; 33; 76
24,79,0.30838,0.3038,5; 24; 79; 8; 58; 85; 31; 65; 31; 69
22,66,0.33969,0.33333,24; 22; 66; 64; 49; 40; 14; 59; 74; 73
18,76,0.24426,0.23684,83; 18; 76; 71; 77; 71; 61; 36; 6; 54
24,80,0.31421,0.3,30; 24; 80; 52; 25; 19; 42; 76; 77; 67
26,74,0.35655,0.35135,36; 26; 74; 67; 46; 83; 62; 10; 21; 41
43,50,0.84424,0.86,13; 43; 50; 74; 24; 41; 81; 50; 28; 72
73,85,0.84946,0.85882,62; 73; 85; 35; 73; 82; 71; 21; 50; 70
15,45,0.3458,0.33333,55; 15; 45; 24; 37; 51; 62; 85; 28; 67
28,50,0.53188,0.56,7; 28; 50; 20; 55; 22; 42; 56; 81; 67
26,31,0.81029,0.83871,52; 26; 31; 53; 14; 16; 47; 61; 84; 19
32,56,0.56236,0.57143,46; 32; 56; 79; 15; 65; 37; 70; 29; 81
25,72,0.35317,0.34722,63; 25; 72; 9; 14; 70; 46; 47; 14; 14
15,45,0.32421,0.33333,47; 15; 45; 75; 81; 61; 70; 61; 65; 55
68,85,0.78929,0.8,63; 68; 85; 61; 43; 45; 35; 20; 20; 30
18,63,0.28348,0.28571,5; 18; 63; 84; 80; 36; 45; 79; 22; 67
13,44,0.30049,0.29545,73; 13; 44; 47; 33; 39; 58; 82; 39; 11
18,55,0.33748,0.32727,62; 18; 55; 6; 59; 72; 79; 19; 27; 69
10,31,0.32967,0.32258,23; 10; 31; 76; 83; 23; 71; 20; 61; 29
44,55,0.78223,0.8,32; 44; 55; 39; 69; 58; 32; 45; 66; 84
51,59,0.84066,0.86441,66; 51; 59; 11; 50; 41; 81; 7; 54; 18
45,81,0.54891,0.55556,37; 45; 81; 13; 37; 29; 41; 75; 83; 43
42,50,0.81788,0.84,60; 42; 50; 63; 36; 21; 25; 23; 7; 63
17,60,0.28572,0.28333,43; 17; 60; 52; 28; 61; 29; 39; 30; 5
23,50,0.45248,0.46,27; 23; 50; 67; 14; 41; 74; 6; 48; 68
66,83,0.77129,0.79518,49; 66; 83; 31; 67; 68; 18; 38; 58; 41
34,60,0.56127,0.56667,85; 34; 60; 50; 17; 34; 57; 65; 35; 40
20,79,0.26097,0.25316,85; 20; 79; 54; 23; 47; 48; 45; 16; 60
31,36,0.849,0.86111,11; 31; 36; 58; 22; 23; 36; 39; 22; 23
21,84,0.26421,0.25,26; 21; 84; 6; 9; 53; 58; 22; 28; 14
56,70,0.79419,0.8,79; 56; 70; 8; 83; 37; 37; 50; 85; 63
18,75,0.25585,0.24,60; 18; 75; 71; 13; 47; 68; 67; 79; 61
12,14,0.83535,0.85714,9; 12; 14; 38; 32; 80; 33; 56; 61; 46
23,69,0.33556,0.33333,71; 23; 69; 18; 60; 23; 82; 61; 42; 10
52,66,0.7816,0.78788,85; 52; 66; 70; 18; 85; 34; 37; 40; 11
13,41,0.32506,0.31707,51; 13; 41; 42; 26; 36; 42; 34; 6; 79
17,49,0.35038,0.34694,30; 17; 49; 34; 34; 55; 81; 84; 12; 37
13,23,0.53575,0.56522,83; 13; 23; 68; 76; 53; 70; 61; 44; 65
22,69,0.32025,0.31884,59; 22; 69; 18; 75; 31; 68; 62; 27; 76
13,45,0.28953,0.28889,36; 13; 45; 41; 48; 81; 31; 22; 50; 53
13,23,0.54834,0.56522,38; 13; 23; 83; 58; 63; 57; 31; 66; 47
25,29,0.8368,0.86207,15; 25; 29; 8; 77; 54; 54; 57; 55; 26
5,21,0.2778,0.2381,74; 5; 21; 25; 85; 50; 64; 56; 59; 26
32,64,0.49246,0.5,68; 32; 64; 6; 57; 65; 59; 77; 39; 71
36,72,0.48957,0.5,74; 36; 72; 22; 78; 69; 22; 25; 11; 53
23,80,0.30074,0.2875,31; 23; 80; 58; 21; 25; 14; 79; 15; 37
63,79,0.78074,0.79747,55; 63; 79; 58; 77; 61; 58; 8; 35; 79
64,74,0.84965,0.86486,59; 64; 74; 43; 39; 7; 67; 41; 11; 5
47,57,0.80827,0.82456,5; 47; 57; 23; 81; 66; 53; 61; 41; 57
21,84,0.25224,0.25,16; 21; 84; 6; 23; 33; 75; 79; 12; 53
57,66,0.84562,0.86364,16; 57; 66; 14; 81; 48; 17; 14; 69; 42
31,67,0.44031,0.46269,10; 31; 67; 70; 49; 29; 39; 55; 55; 33
22,76,0.29011,0.28947,40; 22; 76; 80; 82; 68; 21; 15; 23; 37
42,85,0.49866,0.49412,54; 42; 85; 20; 20; 52; 83; 75; 44; 70
22,63,0.3584,0.34921,23; 22; 63; 39; 30; 55; 54; 26; 80; 85
67,80,0.8299,0.8375,37; 67; 80; 54; 81; 46; 21; 58; 42; 29
27,77,0.35806,0.35065,26; 27; 77; 85; 77; 28; 55; 68; 42; 79
14,25,0.57518,0.56,62; 14; 25; 37; 64; 66; 55; 79; 85; 62
39,68,0.56629,0.57353,18; 39; 68; 9; 40; 13; 45; 40; 35; 44
19,59,0.33397,0.32203,35; 19; 59; 30; 56; 38; 65; 16; 31; 47
18,37,0.47932,0.48649,11; 18; 37; 78; 80; 52; 58; 62; 72; 44
13,40,0.31983,0.325,25; 13; 40; 52; 36; 82; 21; 67; 69; 46
63,73,0.8402,0.86301,6; 63; 73; 77; 29; 58; 74; 83; 85; 75
28,34,0.79405,0.82353,53; 28; 34; 48; 14; 18; 50; 43; 34; 39
26,33,0.79224,0.78788,67; 26; 33; 20; 72; 32; 23; 15; 23; 8
21,64,0.31826,0.32812,44; 21; 64; 21; 66; 29; 9; 42; 32; 8
23,29,0.78607,0.7931,26; 23; 29; 29; 11; 83; 67; 26; 83; 73
14,56,0.24538,0.25,71; 14; 56; 58; 76; 14; 54; 77; 79; 74
22,63,0.34501,0.34921,75; 22; 63; 42; 68; 66; 29; 27; 64; 40
29,78,0.37142,0.37179,54; 29; 78; 66; 37; 10; 71; 31; 10; 39
44,56,0.77054,0.78571,20; 44; 56; 34; 9; 61; 11; 39; 43; 79
39,85,0.4572,0.45882,76; 39; 85; 11; 64; 59; 48; 25; 53; 50
63,77,0.79529,0.81818,49; 63; 77; 80; 5; 29; 30; 35; 78; 60
20,62,0.32754,0.32258,27; 20; 62; 29; 14; 27; 46; 26; 42; 54
24,69,0.35012,0.34783,65; 24; 69; 72; 12; 54; 59; 8; 12; 45
