ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
16,23,0.56552,0.69565,12; 16; 23; 6; 23; 40; 73; 66; 58; 57
14,15,0.55845,0.93333,65; 14; 15; 66; 82; 65; 32; 61; 39; 78
47,72,0.59116,0.65278,79; 47; 72; 44; 5; 9; 53; 40; 5; 36
34,77,0.44065,0.44156,61; 34; 77; 37; 60; 80; 14; 58; 67; 66
56,77,0.60846,0.72727,5; 56; 77; 59; 47; 14; 63; 41; 65; 8
21,64,0.32016,0.32812,12; 21; 64; 37; 13; 33; 27; 56; 12; 43
45,69,0.58418,0.65217,62; 45; 69; 31; 73; 73; 45; 54; 47; 74
6,62,0.08878,0.09677,21; 6; 62; 61; 30; 82; 26; 33; 29; 51
66,83,0.61433,0.79518,72; 66; 83; 8; 53; 34; 26; 46; 51; 85
21,30,0.5689,0.7,63; 21; 30; 52; 20; 16; 77; 80; 14; 81
17,42,0.39938,0.40476,24; 17; 42; 75; 37; 7; 9; 61; 31; 41
65,71,0.62434,0.91549,41; 65; 71; 61; 46; 70; 26; 78; 62; 81
28,84,0.33129,0.33333,58; 28; 84; 85; 26; 55; 71; 51; 35; 59
34,42,0.63252,0.80952,37; 34; 42; 10; 75; 21; 15; 48; 11; 26
53,66,0.63819,0.80303,25; 53; 66; 27; 30; 41; 34; 15; 44; 32
57,62,0.64157,0.91935,74; 57; 62; 81; 59; 83; 18; 13; 29; 32
46,50,0.66406,0.92,52; 46; 50; 58; 21; 33; 28; 26; 40; 68
21,54,0.38738,0.38889,25; 21; 54; 24; 65; 30; 13; 58; 85; 44
40,66,0.56799,0.60606,32; 40; 66; 20; 26; 75; 32; 74; 19; 10
21,30,0.59097,0.7,19; 21; 30; 26; 67; 69; 5; 18; 64; 80
53,74,0.60261,0.71622,79; 53; 74; 38; 77; 79; 31; 72; 14; 11
6,18,0.34552,0.33333,34; 6; 18; 20; 6; 76; 60; 21; 21; 40
62,85,0.58522,0.72941,10; 62; 85; 58; 83; 66; 31; 45; 85; 55
8,58,0.13325,0.13793,72; 8; 58; 7; 17; 43; 22; 48; 71; 63
32,82,0.38509,0.39024,26; 32; 82; 14; 79; 54; 42; 45; 36; 65
33,84,0.38009,0.39286,72; 33; 84; 29; 19; 20; 56; 36; 35; 55
17,52,0.3153,0.32692,38; 17; 52; 20; 6; 48; 40; 9; 39; 75
45,74,0.55413,0.60811,45; 45; 74; 53; 18; 57; 6; 61; 65; 35
8,59,0.13248,0.13559,35; 8; 59; 10; 61; 57; 13; 60; 34; 39
14,36,0.37421,0.38889,36; 14; 36; 20; 51; 60; 51; 20; 31; 10
49,66,0.60711,0.74242,65; 49; 66; 75; 35; 69; 56; 66; 29; 37
48,66,0.62835,0.72727,75; 48; 66; 83; 36; 18; 33; 37; 57; 60
18,25,0.57208,0.72,31; 18; 25; 78; 84; 45; 50; 16; 50; 43
44,54,0.65625,0.81481,48; 44; 54; 22; 61; 34; 12; 50; 22; 76
26,40,0.57051,0.65,28; 26; 40; 12; 8; 73; 45; 21; 75; 31
16,36,0.441,0.44444,80; 16; 36; 44; 39; 82; 66; 11; 20; 63
67,73,0.63408,0.91781,51; 67; 73; 18; 76; 7; 84; 49; 80; 76
61,83,0.5957,0.73494,85; 61; 83; 40; 66; 17; 28; 50; 7; 17
44,47,0.66784,0.93617,43; 44; 47; 40; 58; 62; 13; 40; 25; 56
5,36,0.14635,0.13889,56; 5; 36; 76; 19; 70; 32; 78; 41; 46
14,15,0.58591,0.93333,38; 14; 15; 75; 42; 23; 48; 67; 27; 69
23,32,0.5839,0.71875,81; 23; 32; 5; 71; 14; 82; 38; 20; 20
35,38,0.66279,0.92105,69; 35; 38; 9; 78; 38; 66; 46; 48; 54
32,34,0.64832,0.94118,37; 32; 34; 58; 11; 74; 32; 42; 17; 41
25,63,0.38579,0.39683,21; 25; 63; 25; 34; 12; 17; 53; 44; 72
69,74,0.63064,0.93243,50; 69; 74; 68; 77; 39; 68; 13; 44; 83
20,61,0.32559,0.32787,20; 20; 61; 85; 33; 67; 12; 52; 12; 38
48,77,0.55653,0.62338,77; 48; 77; 78; 12; 44; 74; 14; 83; 47
20,51,0.38546,0.39216,54; 20; 51; 64; 69; 8; 82; 36; 79; 71
60,81,0.60489,0.74074,83; 60; 81; 71; 65; 70; 53; 55; 16; 67
45,49,0.68792,0.91837,31; 45; 49; 82; 52; 14; 24; 14; 49; 29
34,47,0.61857,0.7234,69; 34; 47; 61; 58; 69; 21; 66; 20; 68
27,37,0.61089,0.72973,19; 27; 37; 49; 22; 44; 61; 61; 45; 75
13,33,0.37292,0.39394,40; 13; 33; 52; 85; 16; 83; 79; 63; 32
27,61,0.44768,0.44262,39; 27; 61; 41; 48; 32; 62; 26; 9; 10
9,64,0.13131,0.14062,47; 9; 64; 84; 49; 69; 35; 64; 66; 8
57,82,0.55533,0.69512,50; 57; 82; 37; 49; 26; 76; 62; 6; 52
50,68,0.61587,0.73529,56; 50; 68; 12; 11; 35; 18; 62; 29; 49
49,75,0.57172,0.65333,6; 49; 75; 5; 66; 17; 66; 12; 37; 28
12,85,0.13424,0.14118,61; 12; 85; 65; 85; 83; 32; 79; 76; 49
35,54,0.58388,0.64815,30; 35; 54; 61; 45; 58; 54; 5; 80; 83
8,49,0.16549,0.16327,43; 8; 49; 26; 10; 70; 55; 21; 66; 34
48,69,0.61146,0.69565,26; 48; 69; 55; 82; 61; 47; 18; 83; 44
42,58,0.61141,0.72414,43; 42; 58; 10; 83; 57; 14; 9; 5; 49
58,62,0.64587,0.93548,59; 58; 62; 53; 81; 84; 18; 8; 75; 84
47,64,0.62972,0.73438,7; 47; 64; 59; 19; 5; 21; 70; 65; 80
48,74,0.58079,0.64865,68; 48; 74; 27; 8; 67; 82; 63; 17; 83
54,83,0.57584,0.6506,47; 54; 83; 79; 70; 25; 67; 31; 73; 7
61,76,0.60869,0.80263,50; 61; 76; 50; 69; 36; 50; 62; 41; 9
66,81,0.58289,0.81481,36; 66; 81; 62; 27; 55; 81; 24; 48; 50
63,78,0.61912,0.80769,22; 63; 78; 60; 32; 65; 55; 6; 25; 59
53,81,0.57333,0.65432,37; 53; 81; 5; 21; 47; 69; 43; 39; 83
60,83,0.59439,0.72289,70; 60; 83; 10; 44; 58; 82; 39; 37; 25
65,81,0.60701,0.80247,16; 65; 81; 75; 15; 85; 78; 43; 37; 46
27,62,0.42094,0.43548,19; 27; 62; 44; 56; 59; 56; 53; 32; 75
39,48,0.66446,0.8125,72; 39; 48; 42; 48; 60; 20; 5; 38; 29
25,62,0.40342,0.40323,54; 25; 62; 17; 45; 7; 55; 85; 30; 33
27,70,0.36999,0.38571,8; 27; 70; 80; 70; 42; 72; 38; 32; 62
10,69,0.13941,0.14493,38; 10; 69; 5; 78; 83; 34; 30; 63; 31
37,60,0.56922,0.61667,73; 37; 60; 82; 82; 54; 59; 79; 47; 61
61,75,0.62434,0.81333,32; 61; 75; 56; 44; 77; 13; 47; 23; 41
32,46,0.59927,0.69565,46; 32; 46; 75; 21; 54; 55; 17; 16; 15
23,52,0.44148,0.44231,14; 23; 52; 32; 37; 70; 72; 46; 39; 26
14,20,0.56354,0.7,52; 14; 20; 59; 34; 84; 62; 55; 42; 44
37,51,0.6225,0.72549,73; 37; 51; 70; 19; 24; 74; 58; 43; 16
9,58,0.14894,0.15517,40; 9; 58; 24; 74; 75; 15; 70; 77; 24
10,69,0.13924,0.14493,20; 10; 69; 21; 8; 63; 19; 34; 24; 85
60,65,0.63132,0.92308,80; 60; 65; 32; 37; 18; 60; 17; 59; 20
12,27,0.42744,0.44444,57; 12; 27; 31; 47; 11; 58; 80; 35; 56
52,74,0.58885,0.7027,52; 52; 74; 9; 18; 32; 9; 73; 5; 37
5,35,0.14628,0.14286,53; 5; 35; 18; 30; 71; 62; 37; 67; 29
47,58,0.62432,0.81034,68; 47; 58; 26; 74; 76; 79; 56; 35; 41
58,78,0.58769,0.74359,68; 58; 78; 75; 53; 35; 55; 8; 85; 60
43,54,0.64545,0.7963,75; 43; 54; 44; 52; 12; 27; 84; 37; 52
5,50,0.10155,0.1,83; 5; 50; 39; 51; 24; 9; 26; 45; 31
23,69,0.33255,0.33333,67; 23; 69; 42; 23; 81; 14; 47; 47; 71
49,80,0.55272,0.6125,51; 49; 80; 24; 82; 35; 77; 65; 33; 41
46,74,0.56689,0.62162,40; 46; 74; 84; 8; 38; 30; 83; 63; 9
48,52,0.64556,0.92308,75; 48; 52; 37; 25; 45; 37; 29; 44; 12
30,43,0.59564,0.69767,74; 30; 43; 20; 8; 62; 30; 64; 25; 45
8,78,0.10266,0.10256,38; 8; 78; 32; 56; 78; 80; 8; 54; 47
53,85,0.57122,0.62353,82; 53; 85; 77; 45; 35; 64; 60; 72; 10
40,66,0.56819,0.60606,40; 40; 66; 11; 72; 63; 68; 49; 66; 26
31,44,0.6187,0.70455,47; 31; 44; 42; 59; 9; 28; 18; 32; 23
13,81,0.16083,0.16049,54; 13; 81; 21; 33; 75; 54; 63; 14; 34
57,62,0.66236,0.91935,47; 57; 62; 80; 64; 61; 28; 49; 32; 15
12,36,0.33168,0.33333,13; 12; 36; 33; 7; 48; 12; 79; 80; 18
