ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
9,17,0.45136,0.52941,9; 9; 9; 9; 17; 4; 5; 27
48,74,0.64247,0.64865,48; 7; 6; 14; 74; 4; 5; 4
35,50,0.70589,0.7,35; 5; 20; 3; 50; 4; 13; 13
25,30,0.87439,0.83333,25; 11; 17; 20; 30; 17; 3; 6
11,81,0.11685,0.1358,11; 16; 29; 16; 81; 3; 4; 4
6,7,0.78769,0.85714,6; 22; 12; 15; 7; 7; 24; 4
8,14,0.4605,0.57143,8; 17; 27; 14; 14; 27; 6; 12
21,43,0.4849,0.48837,21; 23; 11; 3; 43; 17; 17; 14
27,37,0.67853,0.72973,27; 18; 6; 8; 37; 8; 8; 6
26,74,0.34917,0.35135,26; 24; 3; 24; 74; 6; 4; 8
22,62,0.33676,0.35484,22; 6; 25; 17; 62; 8; 3; 8
6,35,0.17753,0.17143,6; 26; 19; 12; 35; 12; 7; 12
61,81,0.77728,0.75309,61; 3; 6; 3; 81; 5; 5; 5
5,7,0.7237,0.71429,5; 30; 20; 20; 7; 14; 21; 12
6,7,0.72682,0.85714,6; 29; 22; 17; 7; 3; 16; 21
34,56,0.62488,0.60714,34; 16; 19; 9; 56; 7; 14; 7
8,14,0.41998,0.57143,8; 11; 28; 21; 14; 21; 7; 7
36,48,0.75408,0.75,36; 13; 18; 17; 48; 4; 10; 7
64,72,0.92921,0.88889,64; 4; 10; 5; 72; 8; 6; 3
13,17,0.46796,0.76471,13; 12; 19; 25; 17; 25; 14; 22
24,43,0.55578,0.55814,24; 23; 4; 4; 43; 9; 14; 11
77,81,0.93585,0.95062,77; 7; 5; 4; 81; 3; 4; 5
42,47,0.91397,0.89362,42; 15; 14; 3; 47; 16; 11; 9
10,14,0.49017,0.71429,10; 28; 6; 4; 14; 15; 13; 28
12,14,0.44892,0.85714,12; 26; 18; 12; 14; 7; 5; 14
5,7,0.75794,0.71429,5; 28; 14; 14; 7; 5; 27; 20
8,17,0.36899,0.47059,8; 9; 27; 19; 17; 5; 20; 25
34,37,0.80177,0.91892,34; 8; 14; 20; 37; 17; 4; 13
72,81,0.87146,0.88889,72; 6; 5; 8; 81; 3; 5; 3
16,17,0.52801,0.94118,16; 4; 7; 27; 17; 22; 6; 20
6,7,0.67621,0.85714,6; 12; 8; 16; 7; 28; 30; 25
25,30,0.93959,0.83333,25; 13; 15; 21; 30; 6; 4; 4
11,30,0.38262,0.36667,11; 20; 19; 16; 30; 14; 9; 8
60,72,0.84098,0.83333,60; 8; 4; 8; 72; 7; 7; 7
16,20,0.56622,0.8,16; 24; 27; 25; 20; 18; 26; 12
15,47,0.32901,0.31915,15; 9; 5; 17; 47; 16; 17; 11
14,20,0.51046,0.7,14; 26; 7; 4; 20; 22; 24; 15
13,47,0.30142,0.2766,13; 8; 11; 18; 47; 17; 3; 7
47,50,0.92833,0.94,47; 16; 11; 16; 50; 6; 9; 13
9,17,0.44948,0.52941,9; 25; 26; 13; 17; 7; 6; 6
16,37,0.44343,0.43243,16; 27; 6; 12; 37; 17; 20; 7
5,20,0.31674,0.25,5; 9; 19; 10; 20; 19; 11; 23
9,14,0.45813,0.64286,9; 18; 23; 23; 14; 4; 14; 9
36,72,0.50281,0.5,36; 4; 11; 16; 72; 4; 5; 8
34,47,0.70333,0.7234,34; 21; 17; 21; 47; 12; 10; 11
6,47,0.13683,0.12766,6; 8; 6; 19; 47; 7; 11; 11
5,20,0.2834,0.25,5; 6; 15; 31; 20; 14; 9; 16
34,37,0.75939,0.91892,34; 4; 4; 16; 37; 17; 16; 19
5,30,0.17377,0.16667,5; 20; 16; 4; 30; 14; 11; 7
12,14,0.43786,0.85714,12; 15; 12; 16; 14; 7; 25; 4
23,37,0.63863,0.62162,23; 6; 15; 19; 37; 15; 7; 10
51,56,0.82163,0.91071,51; 14; 12; 6; 56; 7; 11; 8
