ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
11,50,0.31597,0.22,11; 18; 15; 28; 50; 7; 9; 9
6,7,0.86367,0.85714,6; 16; 3; 16; 7; 13; 7; 20
14,37,0.48736,0.37838,14; 13; 26; 26; 37; 10; 7; 10
6,14,0.62134,0.42857,6; 28; 14; 14; 14; 15; 23; 13
5,7,0.85191,0.71429,5; 14; 10; 5; 7; 13; 11; 23
28,35,0.89582,0.8,28; 11; 11; 18; 35; 20; 3; 17
33,56,0.61192,0.58929,33; 3; 9; 17; 56; 11; 11; 4
7,20,0.32519,0.35,7; 24; 23; 5; 20; 23; 14; 13
34,62,0.54648,0.54839,34; 13; 6; 19; 62; 7; 5; 6
45,72,0.56521,0.625,45; 10; 3; 3; 72; 8; 4; 7
24,56,0.48981,0.42857,24; 22; 17; 11; 56; 6; 4; 5
72,81,0.87871,0.88889,72; 7; 4; 8; 81; 5; 3; 5
18,30,0.63752,0.6,18; 6; 18; 10; 30; 6; 19; 15
10,14,0.56635,0.71429,10; 9; 12; 5; 14; 16; 15; 27
66,74,0.75259,0.89189,66; 5; 4; 7; 74; 4; 7; 8
56,62,0.67379,0.90323,56; 14; 4; 6; 62; 3; 11; 6
9,17,0.54912,0.52941,9; 8; 13; 20; 17; 19; 5; 27
6,7,0.83246,0.85714,6; 3; 11; 18; 7; 10; 20; 18
28,30,0.95941,0.93333,28; 10; 21; 4; 30; 19; 14; 12
45,56,0.66765,0.80357,45; 6; 15; 17; 56; 6; 11; 4
33,62,0.53489,0.53226,33; 19; 18; 4; 62; 5; 9; 3
29,48,0.80727,0.60417,29; 16; 19; 12; 48; 12; 8; 15
14,48,0.40855,0.29167,14; 25; 17; 5; 48; 5; 9; 9
12,14,0.62156,0.85714,12; 15; 24; 10; 14; 19; 5; 8
6,30,0.23573,0.2,6; 25; 10; 27; 30; 14; 4; 14
33,62,0.50858,0.53226,33; 17; 21; 7; 62; 12; 7; 7
22,72,0.31934,0.30556,22; 11; 22; 21; 72; 5; 4; 3
51,72,0.67709,0.70833,51; 3; 15; 7; 72; 3; 5; 4
10,48,0.34472,0.20833,10; 8; 21; 3; 48; 7; 3; 16
5,14,0.37099,0.35714,5; 14; 8; 18; 14; 4; 6; 26
5,50,0.27443,0.1,5; 11; 3; 26; 50; 8; 10; 3
33,62,0.51049,0.53226,33; 5; 6; 15; 62; 10; 10; 6
53,74,0.63349,0.71622,53; 14; 13; 11; 74; 5; 4; 7
33,62,0.50408,0.53226,33; 15; 17; 16; 62; 11; 5; 9
5,14,0.50163,0.35714,5; 24; 25; 26; 14; 18; 19; 10
9,17,0.56878,0.52941,9; 11; 4; 27; 17; 19; 10; 15
37,50,0.72822,0.74,37; 4; 11; 4; 50; 9; 15; 5
11,35,0.38407,0.31429,11; 20; 25; 13; 35; 18; 11; 8
21,50,0.45629,0.42,21; 17; 25; 12; 50; 9; 16; 8
17,62,0.31993,0.27419,17; 21; 21; 25; 62; 8; 9; 12
10,35,0.35801,0.28571,10; 5; 22; 10; 35; 5; 18; 11
30,35,0.96064,0.85714,30; 19; 11; 4; 35; 11; 5; 19
31,47,0.69265,0.65957,31; 19; 9; 19; 47; 7; 4; 9
6,7,0.85019,0.85714,6; 19; 29; 4; 7; 21; 10; 5
22,48,0.57566,0.45833,22; 18; 19; 7; 48; 6; 5; 6
44,48,0.76445,0.91667,44; 15; 16; 8; 48; 14; 3; 14
24,47,0.58307,0.51064,24; 7; 18; 7; 47; 15; 16; 12
16,30,0.57125,0.53333,16; 25; 7; 16; 30; 7; 4; 16
27,37,0.85995,0.72973,27; 22; 18; 10; 37; 17; 16; 16
60,62,0.70611,0.96774,60; 9; 10; 9; 62; 7; 11; 3
31,72,0.38687,0.43056,31; 17; 4; 20; 72; 4; 7; 3
34,37,0.90882,0.91892,34; 5; 11; 17; 37; 4; 19; 3
17,56,0.36102,0.30357,17; 13; 26; 10; 56; 4; 5; 4
31,50,0.72421,0.62,31; 4; 12; 4; 50; 11; 12; 7
5,7,0.84931,0.71429,5; 4; 21; 7; 7; 13; 3; 7
9,72,0.16985,0.125,9; 24; 4; 10; 72; 5; 6; 3
9,14,0.60307,0.64286,9; 10; 8; 15; 14; 25; 20; 14
8,14,0.77984,0.57143,8; 9; 30; 29; 14; 12; 27; 3
42,43,0.80475,0.97674,42; 9; 11; 8; 43; 15; 14; 14
12,20,0.56127,0.6,12; 5; 26; 10; 20; 16; 18; 3
5,7,0.83547,0.71429,5; 27; 26; 23; 7; 10; 8; 7
7,47,0.30378,0.14894,7; 14; 10; 23; 47; 4; 3; 12
9,74,0.17309,0.12162,9; 12; 4; 8; 74; 8; 7; 7
9,37,0.29711,0.24324,9; 11; 11; 24; 37; 12; 10; 11
59,81,0.70794,0.7284,59; 7; 9; 13; 81; 5; 3; 4
5,37,0.17268,0.13514,5; 17; 4; 18; 37; 8; 10; 11
24,48,0.63207,0.5,24; 15; 9; 11; 48; 16; 5; 10
8,14,0.66223,0.57143,8; 23; 28; 25; 14; 13; 10; 17
12,14,0.61897,0.85714,12; 21; 18; 19; 14; 25; 10; 11
7,20,0.3494,0.35,7; 7; 16; 4; 20; 22; 4; 23
12,14,0.5927,0.85714,12; 24; 7; 16; 14; 23; 25; 26
25,30,0.89731,0.83333,25; 4; 20; 12; 30; 10; 8; 9
17,35,0.5993,0.48571,17; 17; 3; 19; 35; 9; 21; 18
18,50,0.48083,0.36,18; 25; 12; 20; 50; 4; 7; 4
22,72,0.27238,0.30556,22; 23; 6; 16; 72; 8; 5; 6
20,81,0.27075,0.24691,20; 5; 24; 7; 81; 4; 3; 4
80,81,0.95677,0.98765,80; 5; 5; 3; 81; 5; 3; 3
38,48,0.73343,0.79167,38; 10; 11; 14; 48; 15; 14; 8
10,20,0.45235,0.5,10; 15; 22; 4; 20; 11; 17; 16
36,48,0.76265,0.75,36; 6; 13; 4; 48; 13; 8; 13
44,62,0.62676,0.70968,44; 13; 3; 10; 62; 6; 11; 11
38,48,0.74871,0.79167,38; 6; 5; 3; 48; 3; 7; 13
23,50,0.5394,0.46,23; 23; 10; 24; 50; 15; 7; 4
40,56,0.71143,0.71429,40; 13; 4; 17; 56; 4; 10; 8
43,50,0.6662,0.86,43; 17; 16; 17; 50; 12; 15; 3
11,35,0.36085,0.31429,11; 21; 8; 26; 35; 10; 14; 17
16,20,0.71178,0.8,16; 12; 27; 13; 20; 11; 20; 20
10,43,0.38014,0.23256,10; 25; 19; 4; 43; 11; 10; 14
8,47,0.30283,0.17021,8; 5; 9; 15; 47; 7; 6; 10
14,37,0.43822,0.37838,14; 15; 8; 19; 37; 9; 10; 5
14,17,0.62324,0.82353,14; 4; 6; 25; 17; 8; 8; 8
41,43,0.80542,0.95349,41; 8; 3; 8; 43; 17; 5; 4
9,17,0.55546,0.52941,9; 24; 3; 28; 17; 16; 18; 26
24,50,0.62958,0.48,24; 5; 14; 4; 50; 3; 14; 15
57,74,0.68557,0.77027,57; 6; 11; 9; 74; 3; 6; 7
6,20,0.32963,0.3,6; 3; 21; 8; 20; 10; 26; 5
10,17,0.52813,0.58824,10; 26; 17; 8; 17; 22; 20; 3
23,37,0.73995,0.62162,23; 15; 6; 7; 37; 16; 6; 10
10,81,0.18206,0.12346,10; 6; 4; 10; 81; 5; 4; 4
43,62,0.60979,0.69355,43; 6; 3; 13; 62; 5; 9; 9
39,50,0.70435,0.78,39; 8; 18; 14; 50; 5; 7; 14
11,14,0.5916,0.78571,11; 23; 9; 19; 14; 12; 19; 9
7,74,0.1935,0.09459,7; 19; 27; 19; 74; 3; 7; 3
14,35,0.45587,0.4,14; 26; 22; 7; 35; 17; 14; 15
