ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
27,36,0.73985,0.75,27; 17; 11; 23; 36; 9; 9; 9
27,84,0.61299,0.32143,27; 23; 7; 21; 84; 3; 4; 4
7,36,0.2459,0.19444,7; 30; 13; 10; 36; 9; 4; 13
18,46,0.44965,0.3913,18; 20; 4; 12; 46; 5; 15; 11
9,42,0.24158,0.21429,9; 24; 12; 15; 42; 13; 6; 12
51,75,0.72318,0.68,51; 6; 9; 14; 75; 7; 4; 6
72,81,0.61268,0.88889,72; 3; 5; 7; 81; 5; 4; 4
6,8,0.7856,0.75,6; 21; 16; 10; 8; 13; 18; 27
26,46,0.61746,0.56522,26; 7; 15; 7; 46; 11; 17; 11
10,56,0.28935,0.17857,10; 18; 25; 5; 56; 10; 7; 9
18,72,0.52386,0.25,18; 22; 16; 20; 72; 5; 3; 6
5,13,0.411,0.38462,5; 14; 29; 13; 13; 4; 12; 23
14,46,0.3416,0.30435,14; 6; 28; 9; 46; 12; 9; 11
12,36,0.34245,0.33333,12; 3; 20; 4; 36; 3; 19; 17
39,84,0.82066,0.46429,39; 10; 6; 19; 84; 4; 4; 4
21,42,0.5167,0.5,21; 11; 21; 9; 42; 9; 9; 5
5,10,0.48972,0.5,5; 14; 7; 24; 10; 7; 26; 28
40,46,0.96795,0.86957,40; 6; 4; 16; 46; 8; 4; 14
41,81,0.78644,0.50617,41; 17; 18; 5; 81; 4; 3; 4
24,81,0.62581,0.2963,24; 20; 9; 17; 81; 5; 3; 5
16,50,0.42518,0.32,16; 8; 26; 5; 50; 12; 3; 7
7,8,0.7843,0.875,7; 6; 13; 28; 8; 30; 14; 15
66,84,0.6248,0.78571,66; 10; 3; 3; 84; 4; 3; 3
16,17,0.89459,0.94118,16; 16; 23; 8; 17; 15; 12; 27
8,17,0.44025,0.47059,8; 10; 5; 25; 17; 19; 6; 23
52,81,0.79371,0.64198,52; 7; 3; 11; 81; 3; 4; 3
7,81,0.28443,0.08642,7; 26; 15; 5; 81; 4; 3; 5
23,42,0.54749,0.54762,23; 11; 18; 13; 42; 3; 17; 9
42,46,0.94851,0.91304,42; 16; 15; 4; 46; 5; 10; 15
