ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
11,15,0.06672,0.73333,11; 6; 4; 23; 15; 3; 4; 9
9,44,0.18838,0.20455,9; 9; 29; 7; 44; 16; 17; 13
10,19,0.07558,0.52632,10; 20; 21; 10; 19; 13; 16; 9
16,42,0.31243,0.38095,16; 14; 20; 14; 42; 3; 10; 8
20,44,0.40351,0.45455,20; 9; 19; 6; 44; 6; 7; 12
11,19,0.08394,0.57895,11; 25; 3; 17; 19; 8; 10; 16
36,44,0.69379,0.81818,36; 10; 17; 5; 44; 6; 12; 8
5,6,-0.10162,0.83333,5; 31; 4; 11; 6; 30; 6; 17
32,67,0.49474,0.47761,32; 17; 16; 8; 67; 8; 3; 4
35,44,0.67819,0.79545,35; 8; 3; 16; 44; 12; 15; 11
13,77,0.16835,0.16883,13; 21; 21; 20; 77; 3; 5; 6
60,67,0.90758,0.89552,60; 11; 3; 12; 67; 5; 9; 7
5,6,-0.07959,0.83333,5; 7; 3; 26; 6; 29; 6; 29
9,12,-0.00026,0.75,9; 23; 24; 13; 12; 23; 27; 7
23,58,0.39417,0.39655,23; 19; 3; 7; 58; 13; 7; 8
8,12,0.0048,0.66667,8; 8; 13; 18; 12; 14; 22; 17
24,67,0.38236,0.35821,24; 14; 24; 14; 67; 8; 3; 6
30,36,0.56188,0.83333,30; 8; 22; 5; 36; 18; 20; 6
38,58,0.70794,0.65517,38; 15; 19; 15; 58; 6; 3; 4
68,77,0.84859,0.88312,68; 8; 3; 7; 77; 6; 7; 4
10,31,0.15789,0.32258,10; 8; 24; 9; 31; 22; 6; 11
5,6,-0.05271,0.83333,5; 10; 27; 5; 6; 29; 25; 5
5,6,-0.08354,0.83333,5; 24; 19; 24; 6; 14; 24; 29
39,43,0.74741,0.90698,39; 19; 16; 5; 43; 18; 6; 8
5,15,0.01504,0.33333,5; 31; 25; 8; 15; 26; 3; 4
34,36,0.62141,0.94444,34; 21; 13; 11; 36; 15; 11; 16
37,43,0.7189,0.86047,37; 17; 16; 19; 43; 17; 7; 5
31,42,0.58945,0.7381,31; 20; 9; 12; 42; 11; 7; 9
26,36,0.47871,0.72222,26; 4; 9; 8; 36; 19; 3; 7
68,77,0.84676,0.88312,68; 10; 6; 7; 77; 7; 6; 5
33,77,0.41959,0.42857,33; 20; 11; 8; 77; 7; 4; 6
5,6,-0.07802,0.83333,5; 6; 13; 30; 6; 30; 4; 5
8,9,-0.03029,0.88889,8; 11; 3; 24; 9; 27; 28; 12
8,12,0.0082,0.66667,8; 27; 22; 26; 12; 15; 18; 19
7,72,0.09387,0.09722,7; 29; 22; 6; 72; 3; 7; 4
59,67,0.91068,0.8806,59; 3; 8; 11; 67; 7; 7; 10
10,23,0.14718,0.43478,10; 3; 28; 20; 23; 19; 14; 23
6,12,0.00808,0.5,6; 29; 13; 26; 12; 22; 21; 25
34,58,0.6221,0.58621,34; 8; 12; 21; 58; 7; 7; 9
20,23,0.29601,0.86957,20; 21; 18; 9; 23; 11; 8; 20
6,9,-0.05767,0.66667,6; 30; 16; 14; 9; 18; 14; 13
6,23,0.09581,0.26087,6; 20; 15; 21; 23; 10; 6; 8
5,31,0.09192,0.16129,5; 20; 10; 13; 31; 4; 19; 12
44,67,0.7401,0.65672,44; 6; 4; 14; 67; 9; 7; 10
5,6,-0.06618,0.83333,5; 27; 21; 22; 6; 17; 20; 13
9,72,0.13895,0.125,9; 20; 13; 8; 72; 6; 7; 7
18,23,0.29624,0.78261,18; 5; 25; 24; 23; 19; 18; 5
41,77,0.52494,0.53247,41; 16; 12; 14; 77; 4; 7; 7
6,24,0.08942,0.25,6; 26; 11; 4; 24; 6; 4; 22
8,19,0.10083,0.42105,8; 5; 25; 27; 19; 22; 6; 5
21,72,0.30904,0.29167,21; 15; 4; 16; 72; 4; 4; 8
35,72,0.51571,0.48611,35; 3; 8; 5; 72; 3; 5; 6
7,9,-0.00638,0.77778,7; 21; 19; 24; 9; 9; 25; 15
18,24,0.24905,0.75,18; 16; 26; 6; 24; 6; 21; 5
58,77,0.73989,0.75325,58; 12; 8; 9; 77; 3; 4; 5
6,15,0.00958,0.4,6; 8; 8; 13; 15; 6; 10; 14
6,9,-0.05836,0.66667,6; 9; 23; 10; 9; 27; 17; 25
7,12,-0.02918,0.58333,7; 20; 23; 5; 12; 20; 16; 11
13,15,0.07673,0.86667,13; 15; 11; 21; 15; 12; 7; 7
17,31,0.30826,0.54839,17; 24; 20; 23; 31; 11; 12; 4
35,42,0.67603,0.83333,35; 21; 21; 13; 42; 8; 14; 17
5,12,0.00431,0.41667,5; 7; 12; 21; 12; 14; 9; 28
28,44,0.54695,0.63636,28; 11; 23; 18; 44; 4; 4; 3
11,15,0.05383,0.73333,11; 5; 26; 3; 15; 17; 21; 10
56,77,0.71383,0.72727,56; 10; 11; 13; 77; 3; 5; 4
8,9,-0.01921,0.88889,8; 5; 10; 6; 9; 3; 11; 27
21,43,0.40686,0.48837,21; 11; 21; 3; 43; 16; 10; 5
24,42,0.48269,0.57143,24; 17; 17; 12; 42; 18; 4; 16
30,42,0.57451,0.71429,30; 7; 4; 18; 42; 14; 16; 5
12,15,0.06745,0.8,12; 26; 21; 10; 15; 17; 16; 26
14,24,0.1902,0.58333,14; 28; 19; 10; 24; 3; 11; 22
8,9,-0.03467,0.88889,8; 30; 16; 30; 9; 11; 26; 28
5,6,-0.07242,0.83333,5; 27; 21; 11; 6; 19; 29; 26
9,12,0.00941,0.75,9; 19; 9; 3; 12; 14; 11; 11
10,24,0.1123,0.41667,10; 26; 7; 18; 24; 5; 14; 7
22,72,0.30856,0.30556,22; 24; 20; 19; 72; 8; 4; 6
16,36,0.32615,0.44444,16; 4; 27; 23; 36; 3; 19; 8
35,43,0.66738,0.81395,35; 6; 17; 14; 43; 7; 13; 16
6,9,-0.05387,0.66667,6; 8; 22; 20; 9; 18; 4; 8
10,12,0.02429,0.83333,10; 18; 9; 26; 12; 25; 12; 4
5,36,0.10643,0.13889,5; 11; 15; 18; 36; 20; 20; 6
6,36,0.11779,0.16667,6; 17; 16; 18; 36; 17; 17; 17
30,31,0.49763,0.96774,30; 9; 20; 20; 31; 17; 4; 7
11,77,0.15298,0.14286,11; 9; 17; 8; 77; 6; 7; 7
9,15,0.0594,0.6,9; 19; 5; 4; 15; 10; 11; 6
8,67,0.1284,0.1194,8; 11; 21; 21; 67; 3; 8; 9
64,67,0.94027,0.95522,64; 11; 9; 5; 67; 7; 4; 6
9,15,0.01829,0.6,9; 22; 13; 19; 15; 6; 21; 14
5,24,0.06155,0.20833,5; 29; 17; 9; 24; 21; 20; 23
30,36,0.58543,0.83333,30; 6; 6; 7; 36; 18; 13; 4
7,9,-0.02295,0.77778,7; 18; 13; 23; 9; 14; 22; 21
29,44,0.58736,0.65909,29; 21; 3; 4; 44; 13; 16; 11
6,44,0.12967,0.13636,6; 29; 25; 21; 44; 15; 14; 11
22,58,0.38703,0.37931,22; 8; 25; 24; 58; 8; 7; 5
21,42,0.42486,0.5,21; 18; 7; 20; 42; 13; 7; 9
10,24,0.13937,0.41667,10; 4; 26; 26; 24; 16; 7; 15
34,58,0.63694,0.58621,34; 19; 3; 11; 58; 4; 5; 5
7,15,0.00032,0.46667,7; 13; 9; 19; 15; 27; 25; 21
31,77,0.39166,0.4026,31; 8; 22; 15; 77; 6; 4; 3
35,44,0.67781,0.79545,35; 10; 7; 14; 44; 13; 11; 8
28,77,0.36019,0.36364,28; 8; 12; 8; 77; 5; 5; 5
5,9,-0.06421,0.55556,5; 15; 8; 21; 9; 26; 16; 28
