ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
47,56,0.83138,0.83929,47; 6; 14; 4; 56; 7; 10; 8
5,10,0.19017,0.5,5; 5; 4; 18; 10; 6; 27; 21
41,72,0.55081,0.56944,41; 3; 18; 4; 72; 8; 7; 5
10,17,0.39733,0.58824,10; 6; 26; 12; 17; 3; 12; 14
7,42,0.16519,0.16667,7; 8; 19; 12; 42; 6; 17; 12
7,42,0.16073,0.16667,7; 16; 6; 29; 42; 14; 10; 13
5,8,0.10251,0.625,5; 7; 11; 3; 8; 16; 20; 30
46,72,0.62185,0.63889,46; 5; 17; 13; 72; 7; 4; 7
11,56,0.19672,0.19643,11; 3; 29; 28; 56; 6; 14; 5
14,56,0.24993,0.25,14; 25; 23; 9; 56; 4; 14; 5
10,50,0.19984,0.2,10; 24; 23; 3; 50; 7; 8; 13
24,36,0.74532,0.66667,24; 12; 20; 20; 36; 3; 4; 15
53,84,0.64058,0.63095,53; 6; 15; 4; 84; 4; 3; 3
14,75,0.18554,0.18667,14; 14; 14; 4; 75; 5; 7; 3
11,31,0.3877,0.35484,11; 27; 10; 3; 31; 21; 13; 13
30,83,0.38319,0.36145,30; 11; 8; 18; 83; 3; 3; 5
21,36,0.61003,0.58333,21; 9; 18; 12; 36; 4; 7; 5
7,8,0.12663,0.875,7; 28; 6; 27; 8; 30; 4; 11
6,8,0.13209,0.75,6; 17; 6; 22; 8; 17; 8; 30
32,42,0.73623,0.7619,32; 8; 8; 9; 42; 8; 15; 14
31,36,0.90076,0.86111,31; 22; 17; 17; 36; 20; 11; 16
24,72,0.32577,0.33333,24; 21; 24; 17; 72; 7; 7; 8
11,50,0.2293,0.22,11; 4; 27; 28; 50; 11; 16; 5
5,42,0.11955,0.11905,5; 16; 30; 14; 42; 16; 6; 13
18,31,0.60137,0.58065,18; 21; 4; 4; 31; 5; 14; 12
43,84,0.52785,0.5119,43; 14; 11; 13; 84; 3; 4; 3
5,10,0.13336,0.5,5; 17; 19; 22; 10; 26; 29; 15
12,13,0.43419,0.92308,12; 12; 22; 27; 13; 13; 15; 26
35,84,0.43848,0.41667,35; 21; 17; 12; 84; 3; 4; 3
36,56,0.62389,0.64286,36; 6; 3; 6; 56; 5; 5; 8
17,50,0.34734,0.34,17; 24; 15; 21; 50; 16; 12; 5
50,83,0.60155,0.60241,50; 5; 13; 10; 83; 5; 3; 3
6,36,0.18991,0.16667,6; 17; 4; 21; 36; 20; 16; 3
57,75,0.73913,0.76,57; 3; 10; 7; 75; 5; 5; 6
26,81,0.33307,0.32099,26; 20; 24; 14; 81; 5; 5; 5
70,83,0.84005,0.84337,70; 6; 8; 8; 83; 5; 4; 5
66,81,0.7946,0.81481,66; 5; 6; 9; 81; 5; 5; 5
13,31,0.44471,0.41935,13; 24; 19; 12; 31; 16; 12; 6
19,46,0.39261,0.41304,19; 12; 23; 4; 46; 9; 12; 7
27,50,0.52846,0.54,27; 21; 20; 11; 50; 10; 14; 8
13,25,0.52546,0.52,13; 18; 14; 12; 25; 18; 13; 8
29,31,0.92922,0.93548,29; 23; 13; 18; 31; 4; 15; 15
22,83,0.28238,0.26506,22; 25; 22; 8; 83; 4; 4; 4
25,46,0.52579,0.54348,25; 4; 21; 11; 46; 16; 6; 6
15,84,0.18945,0.17857,15; 16; 22; 4; 84; 3; 4; 3
10,17,0.39042,0.58824,10; 24; 8; 9; 17; 6; 13; 12
6,8,0.12594,0.75,6; 3; 25; 24; 8; 20; 24; 24
13,75,0.18021,0.17333,13; 5; 10; 25; 75; 6; 3; 6
25,46,0.51114,0.54348,25; 20; 24; 20; 46; 3; 12; 15
6,8,0.1217,0.75,6; 16; 7; 27; 8; 5; 16; 20
20,25,0.82378,0.8,20; 20; 5; 10; 25; 24; 16; 10
5,17,0.23328,0.29412,5; 21; 10; 8; 17; 11; 6; 20
54,81,0.67193,0.66667,54; 13; 14; 12; 81; 5; 3; 5
6,13,0.24036,0.46154,6; 16; 9; 15; 13; 18; 3; 27
6,8,0.11316,0.75,6; 14; 29; 10; 8; 26; 19; 17
9,10,0.27067,0.9,9; 16; 14; 24; 10; 12; 3; 10
7,8,0.15994,0.875,7; 30; 25; 20; 8; 14; 8; 7
39,46,0.82061,0.84783,39; 9; 8; 5; 46; 17; 15; 14
67,81,0.81466,0.82716,67; 5; 9; 4; 81; 4; 5; 4
42,46,0.87778,0.91304,42; 6; 3; 10; 46; 12; 16; 8
10,36,0.30803,0.27778,10; 25; 8; 7; 36; 17; 15; 8
37,83,0.47079,0.44578,37; 19; 13; 7; 83; 5; 4; 3
27,75,0.35095,0.36,27; 19; 22; 18; 75; 5; 5; 6
35,50,0.68555,0.7,35; 5; 9; 18; 50; 7; 8; 10
8,10,0.29331,0.8,8; 17; 28; 12; 10; 12; 27; 21
10,17,0.35937,0.58824,10; 6; 13; 15; 17; 4; 12; 11
10,36,0.32615,0.27778,10; 17; 23; 8; 36; 16; 10; 3
11,31,0.381,0.35484,11; 24; 26; 9; 31; 21; 18; 17
12,13,0.41375,0.92308,12; 20; 26; 21; 13; 14; 25; 23
5,10,0.17191,0.5,5; 19; 21; 18; 10; 26; 12; 27
47,50,0.91698,0.94,47; 11; 7; 9; 50; 15; 10; 7
19,42,0.46058,0.45238,19; 12; 20; 9; 42; 13; 18; 4
11,50,0.22009,0.22,11; 16; 25; 9; 50; 7; 12; 9
22,42,0.5177,0.52381,22; 22; 19; 16; 42; 13; 17; 8
23,36,0.71928,0.63889,23; 9; 14; 5; 36; 17; 3; 9
