ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
40,50,0.64727,0.8,40; 7; 19; 8; 50; 6; 8; 14
13,41,0.44186,0.31707,13; 6; 21; 7; 41; 7; 14; 6
56,62,0.62595,0.90323,56; 8; 5; 7; 62; 6; 9; 8
23,32,0.76892,0.71875,23; 15; 8; 18; 32; 18; 22; 22
5,11,0.47757,0.45455,5; 10; 13; 12; 11; 27; 10; 3
9,20,0.46505,0.45,9; 23; 23; 23; 20; 24; 25; 18
6,20,0.29908,0.3,6; 7; 6; 22; 20; 7; 12; 20
6,9,0.66687,0.66667,6; 19; 12; 17; 9; 21; 11; 17
6,21,0.28327,0.28571,6; 9; 3; 19; 21; 19; 8; 24
8,9,0.87411,0.88889,8; 18; 13; 19; 9; 19; 6; 29
10,11,0.91559,0.90909,10; 28; 5; 13; 11; 19; 22; 21
24,62,0.59617,0.3871,24; 22; 8; 4; 62; 12; 3; 3
5,20,0.26603,0.25,5; 3; 3; 10; 20; 25; 4; 8
44,57,0.64999,0.77193,44; 5; 7; 13; 57; 4; 6; 6
13,52,0.48172,0.25,13; 6; 18; 18; 52; 3; 8; 8
29,45,0.70626,0.64444,29; 17; 19; 19; 45; 11; 6; 17
19,32,0.63119,0.59375,19; 22; 24; 12; 32; 21; 10; 16
28,40,0.83552,0.7,28; 16; 4; 3; 40; 18; 9; 19
59,68,0.63052,0.86765,59; 12; 7; 7; 68; 8; 8; 10
5,9,0.54898,0.55556,5; 17; 14; 27; 9; 17; 3; 4
12,50,0.42955,0.24,12; 5; 7; 9; 50; 12; 10; 12
19,20,0.90258,0.95,19; 7; 20; 19; 20; 25; 7; 7
5,21,0.26036,0.2381,5; 19; 31; 16; 21; 17; 10; 6
21,57,0.57718,0.36842,21; 9; 8; 14; 57; 13; 12; 9
48,62,0.61435,0.77419,48; 10; 3; 8; 62; 3; 5; 12
25,52,0.65989,0.48077,25; 6; 14; 11; 52; 4; 10; 12
28,50,0.66993,0.56,28; 7; 23; 12; 50; 11; 6; 7
48,62,0.62697,0.77419,48; 6; 14; 8; 62; 12; 5; 4
14,52,0.50478,0.26923,14; 19; 3; 8; 52; 12; 6; 11
7,11,0.64877,0.63636,7; 6; 29; 21; 11; 3; 20; 18
29,57,0.63581,0.50877,29; 13; 4; 19; 57; 13; 6; 13
46,62,0.61693,0.74194,46; 11; 3; 7; 62; 6; 9; 11
23,45,0.63006,0.51111,23; 6; 8; 17; 45; 5; 15; 12
32,45,0.72591,0.71111,32; 17; 22; 11; 45; 3; 7; 8
22,52,0.61115,0.42308,22; 24; 17; 14; 52; 5; 9; 13
9,11,0.8435,0.81818,9; 8; 15; 29; 11; 7; 23; 16
5,20,0.2675,0.25,5; 14; 4; 23; 20; 13; 19; 23
8,45,0.36324,0.17778,8; 8; 16; 16; 45; 13; 4; 11
22,72,0.60835,0.30556,22; 6; 14; 14; 72; 7; 4; 7
7,11,0.62663,0.63636,7; 14; 16; 20; 11; 14; 23; 24
10,41,0.34852,0.2439,10; 8; 25; 10; 41; 8; 19; 15
61,72,0.6083,0.84722,61; 4; 10; 8; 72; 4; 4; 4
29,50,0.68659,0.58,29; 5; 23; 9; 50; 14; 10; 13
6,28,0.22456,0.21429,6; 23; 19; 8; 28; 22; 4; 23
6,50,0.31684,0.12,6; 16; 16; 12; 50; 4; 13; 13
30,45,0.69553,0.66667,30; 17; 17; 5; 45; 4; 4; 6
39,58,0.63272,0.67241,39; 3; 7; 17; 58; 10; 11; 4
41,57,0.63216,0.7193,41; 8; 18; 10; 57; 8; 10; 13
16,68,0.5189,0.23529,16; 24; 3; 11; 68; 4; 8; 8
46,57,0.62065,0.80702,46; 13; 15; 6; 57; 11; 12; 3
5,32,0.17607,0.15625,5; 10; 4; 7; 32; 3; 5; 7
48,72,0.62866,0.66667,48; 9; 4; 12; 72; 5; 5; 3
31,40,0.80298,0.775,31; 12; 12; 6; 40; 11; 5; 19
10,45,0.36671,0.22222,10; 29; 10; 10; 45; 3; 14; 11
8,9,0.87092,0.88889,8; 14; 17; 11; 9; 26; 3; 27
30,32,0.89709,0.9375,30; 8; 3; 18; 32; 5; 7; 20
17,41,0.54049,0.41463,17; 26; 15; 27; 41; 3; 10; 15
13,21,0.61217,0.61905,13; 16; 24; 3; 21; 7; 24; 6
46,50,0.64925,0.92,46; 9; 13; 9; 50; 6; 4; 6
9,40,0.33858,0.225,9; 5; 29; 25; 40; 12; 5; 19
26,68,0.62129,0.38235,26; 13; 22; 11; 68; 10; 3; 7
10,28,0.37224,0.35714,10; 22; 23; 22; 28; 12; 23; 14
16,72,0.51916,0.22222,16; 27; 21; 8; 72; 3; 3; 5
7,52,0.36455,0.13462,7; 19; 10; 11; 52; 7; 3; 11
27,58,0.67711,0.46552,27; 4; 8; 17; 58; 11; 5; 8
35,52,0.70361,0.67308,35; 11; 12; 18; 52; 10; 14; 4
31,41,0.76369,0.7561,31; 21; 17; 3; 41; 3; 9; 4
21,52,0.57882,0.40385,21; 13; 18; 10; 52; 3; 13; 10
8,28,0.29232,0.28571,8; 16; 24; 24; 28; 8; 13; 14
19,41,0.57394,0.46341,19; 8; 14; 8; 41; 3; 6; 10
6,11,0.55434,0.54545,6; 4; 12; 24; 11; 9; 14; 7
17,32,0.58107,0.53125,17; 19; 3; 9; 32; 15; 19; 14
44,45,0.67912,0.97778,44; 11; 14; 17; 45; 12; 16; 8
20,41,0.57988,0.4878,20; 12; 23; 9; 41; 19; 18; 10
6,52,0.32559,0.11538,6; 17; 5; 4; 52; 8; 15; 10
9,11,0.83984,0.81818,9; 28; 26; 24; 11; 24; 26; 27
15,52,0.49228,0.28846,15; 11; 23; 12; 52; 10; 3; 13
54,58,0.62712,0.93103,54; 10; 12; 5; 58; 13; 6; 12
7,9,0.79496,0.77778,7; 3; 12; 21; 9; 5; 18; 28
5,20,0.26789,0.25,5; 28; 7; 13; 20; 11; 10; 4
19,20,0.8822,0.95,19; 19; 6; 8; 20; 21; 26; 11
41,58,0.63857,0.7069,41; 4; 18; 18; 58; 11; 10; 8
22,32,0.71131,0.6875,22; 3; 4; 8; 32; 21; 22; 17
14,45,0.48723,0.31111,14; 22; 25; 11; 45; 13; 12; 8
10,11,0.90698,0.90909,10; 29; 27; 20; 11; 9; 5; 27
46,68,0.63184,0.67647,46; 4; 4; 11; 68; 8; 7; 10
18,21,0.82978,0.85714,18; 8; 9; 23; 21; 10; 24; 15
25,32,0.84146,0.78125,25; 22; 15; 23; 32; 9; 22; 4
6,68,0.35294,0.08824,6; 28; 15; 23; 68; 10; 4; 3
47,57,0.62899,0.82456,47; 8; 11; 7; 57; 8; 13; 10
37,57,0.64205,0.64912,37; 20; 6; 17; 57; 11; 7; 5
10,62,0.45688,0.16129,10; 13; 16; 11; 62; 3; 7; 6
5,32,0.16326,0.15625,5; 29; 28; 13; 32; 18; 11; 13
26,68,0.657,0.38235,26; 9; 13; 6; 68; 8; 3; 3
24,40,0.72236,0.6,24; 24; 19; 3; 40; 19; 17; 18
38,58,0.63187,0.65517,38; 20; 20; 9; 58; 4; 5; 8
30,68,0.62402,0.44118,30; 22; 3; 16; 68; 5; 7; 8
5,9,0.55911,0.55556,5; 6; 29; 31; 9; 6; 17; 28
37,41,0.72511,0.90244,37; 13; 15; 15; 41; 9; 7; 8
20,21,0.91216,0.95238,20; 21; 24; 24; 21; 21; 25; 6
26,41,0.74814,0.63415,26; 23; 13; 22; 41; 3; 12; 7
22,50,0.58556,0.44,22; 10; 19; 16; 50; 5; 12; 16
8,11,0.73156,0.72727,8; 11; 17; 26; 11; 4; 7; 16
7,68,0.38531,0.10294,7; 24; 13; 25; 68; 5; 5; 4
38,45,0.67867,0.84444,38; 13; 3; 20; 45; 8; 13; 14
28,68,0.66924,0.41176,28; 17; 17; 10; 68; 6; 9; 4
16,52,0.50242,0.30769,16; 9; 15; 14; 52; 12; 8; 8
51,58,0.62519,0.87931,51; 9; 15; 13; 58; 10; 4; 10
19,21,0.88244,0.90476,19; 17; 19; 18; 21; 10; 21; 8
19,72,0.55397,0.26389,19; 14; 9; 25; 72; 5; 7; 7
59,62,0.61505,0.95161,59; 12; 3; 3; 62; 9; 10; 8
9,28,0.33362,0.32143,9; 28; 25; 27; 28; 7; 23; 13
6,52,0.3237,0.11538,6; 3; 25; 30; 52; 12; 11; 9
25,68,0.61939,0.36765,25; 7; 19; 21; 68; 4; 8; 3
6,68,0.35046,0.08824,6; 25; 4; 15; 68; 3; 6; 8
42,57,0.63834,0.73684,42; 4; 7; 17; 57; 11; 8; 5
54,62,0.62431,0.87097,54; 12; 11; 3; 62; 6; 8; 8
41,58,0.64549,0.7069,41; 15; 4; 18; 58; 12; 7; 5
11,20,0.55685,0.55,11; 17; 19; 27; 20; 5; 14; 7
51,58,0.63541,0.87931,51; 11; 6; 4; 58; 12; 11; 11
5,9,0.5419,0.55556,5; 17; 24; 22; 9; 29; 20; 19
21,40,0.6271,0.525,21; 11; 21; 16; 40; 16; 18; 7
41,72,0.63384,0.56944,41; 7; 17; 5; 72; 5; 8; 5
31,32,0.90929,0.96875,31; 21; 13; 12; 32; 12; 17; 11
21,57,0.56294,0.36842,21; 18; 24; 25; 57; 13; 8; 7
10,11,0.92598,0.90909,10; 6; 23; 13; 11; 11; 27; 24
42,58,0.64665,0.72414,42; 12; 5; 13; 58; 8; 10; 8
9,21,0.43787,0.42857,9; 16; 23; 4; 21; 12; 18; 9
18,57,0.54607,0.31579,18; 9; 13; 19; 57; 6; 6; 13
7,9,0.77495,0.77778,7; 27; 7; 27; 9; 12; 12; 28
41,68,0.63735,0.60294,41; 19; 7; 13; 68; 6; 5; 4
5,9,0.57666,0.55556,5; 6; 12; 8; 9; 13; 17; 19
28,45,0.74317,0.62222,28; 18; 7; 15; 45; 11; 17; 15
50,62,0.61233,0.80645,50; 4; 13; 5; 62; 3; 11; 11
9,11,0.80863,0.81818,9; 7; 12; 24; 11; 29; 7; 24
41,57,0.63689,0.7193,41; 18; 5; 9; 57; 5; 13; 10
15,45,0.50859,0.33333,15; 21; 17; 15; 45; 5; 9; 14
62,72,0.61154,0.86111,62; 6; 12; 8; 72; 7; 4; 5
9,45,0.34921,0.2,9; 11; 16; 9; 45; 4; 8; 8
13,58,0.44025,0.22414,13; 10; 3; 4; 58; 13; 7; 12
42,52,0.66359,0.80769,42; 17; 13; 9; 52; 12; 12; 14
53,72,0.59761,0.73611,53; 5; 6; 14; 72; 6; 8; 3
35,57,0.64129,0.61404,35; 16; 20; 17; 57; 8; 7; 11
6,9,0.66683,0.66667,6; 19; 4; 11; 9; 14; 8; 4
8,32,0.29575,0.25,8; 5; 21; 16; 32; 15; 10; 6
39,41,0.74677,0.95122,39; 6; 4; 8; 41; 4; 6; 18
8,9,0.86642,0.88889,8; 20; 11; 28; 9; 6; 5; 6
64,68,0.61164,0.94118,64; 4; 3; 3; 68; 5; 6; 10
19,40,0.59846,0.475,19; 17; 9; 17; 40; 6; 7; 15
34,62,0.63344,0.54839,34; 11; 19; 21; 62; 12; 6; 12
8,45,0.29738,0.17778,8; 19; 5; 14; 45; 15; 14; 3
18,28,0.67796,0.64286,18; 7; 18; 7; 28; 7; 5; 5
39,57,0.64454,0.68421,39; 13; 9; 14; 57; 5; 13; 13
26,28,0.9699,0.92857,26; 4; 18; 12; 28; 12; 6; 7
8,9,0.88552,0.88889,8; 10; 5; 6; 9; 5; 29; 19
46,58,0.62263,0.7931,46; 9; 5; 15; 58; 8; 3; 10
5,9,0.55531,0.55556,5; 24; 16; 7; 9; 26; 19; 11
18,45,0.5437,0.4,18; 21; 24; 21; 45; 9; 15; 7
7,11,0.63924,0.63636,7; 23; 10; 17; 11; 18; 15; 17
12,32,0.42044,0.375,12; 10; 6; 12; 32; 9; 20; 16
14,21,0.67482,0.66667,14; 15; 14; 22; 21; 21; 11; 7
8,9,0.87892,0.88889,8; 18; 26; 10; 9; 6; 10; 20
19,20,0.89163,0.95,19; 19; 11; 9; 20; 3; 8; 12
19,62,0.55682,0.30645,19; 15; 11; 5; 62; 8; 12; 5
10,40,0.34792,0.25,10; 4; 15; 11; 40; 14; 13; 8
24,41,0.71072,0.58537,24; 10; 5; 10; 41; 18; 7; 15
40,62,0.63943,0.64516,40; 4; 9; 6; 62; 10; 3; 11
10,11,0.89891,0.90909,10; 29; 20; 19; 11; 22; 5; 7
5,11,0.46848,0.45455,5; 21; 22; 12; 11; 8; 6; 18
11,28,0.40306,0.39286,11; 25; 18; 13; 28; 17; 23; 3
39,62,0.61232,0.62903,39; 11; 9; 13; 62; 11; 10; 9
6,41,0.24232,0.14634,6; 21; 27; 18; 41; 13; 14; 12
38,57,0.62069,0.66667,38; 18; 5; 16; 57; 8; 11; 12
47,52,0.6573,0.90385,47; 14; 14; 16; 52; 8; 10; 10
26,40,0.78518,0.65,26; 18; 17; 10; 40; 18; 10; 4
50,52,0.63995,0.96154,50; 15; 10; 5; 52; 9; 6; 8
28,58,0.65369,0.48276,28; 8; 19; 6; 58; 9; 5; 13
9,62,0.42818,0.14516,9; 26; 22; 17; 62; 9; 12; 6
29,32,0.91337,0.90625,29; 22; 22; 17; 32; 6; 19; 21
39,58,0.63372,0.67241,39; 3; 14; 4; 58; 4; 8; 9
48,57,0.63072,0.84211,48; 13; 4; 3; 57; 9; 8; 6
16,20,0.77594,0.8,16; 22; 14; 16; 20; 17; 16; 17
13,45,0.44162,0.28889,13; 24; 17; 26; 45; 9; 6; 3
24,28,0.90344,0.85714,24; 7; 21; 5; 28; 16; 19; 21
37,72,0.61761,0.51389,37; 3; 13; 20; 72; 3; 3; 8
15,45,0.48685,0.33333,15; 27; 3; 17; 45; 9; 12; 13
25,32,0.83899,0.78125,25; 18; 18; 3; 32; 13; 13; 15
28,40,0.84155,0.7,28; 21; 8; 15; 40; 3; 15; 8
18,52,0.54279,0.34615,18; 19; 12; 14; 52; 15; 12; 15
36,57,0.65172,0.63158,36; 16; 10; 11; 57; 3; 11; 9
56,58,0.62065,0.96552,56; 5; 7; 7; 58; 5; 3; 6
59,72,0.6192,0.81944,59; 3; 8; 11; 72; 6; 7; 5
5,11,0.48291,0.45455,5; 13; 31; 25; 11; 25; 11; 28
15,21,0.7171,0.71429,15; 3; 14; 5; 21; 5; 16; 14
16,21,0.76306,0.7619,16; 22; 12; 22; 21; 8; 12; 11
6,9,0.66816,0.66667,6; 10; 16; 30; 9; 11; 16; 20
23,72,0.60984,0.31944,23; 25; 17; 23; 72; 7; 6; 8
7,28,0.26787,0.25,7; 26; 21; 11; 28; 7; 16; 20
33,52,0.66155,0.63462,33; 11; 3; 15; 52; 6; 10; 7
54,68,0.62633,0.79412,54; 6; 8; 3; 68; 9; 6; 8
27,28,0.98899,0.96429,27; 21; 8; 10; 28; 4; 5; 4
44,50,0.67162,0.88,44; 13; 5; 6; 50; 12; 12; 13
12,28,0.44816,0.42857,12; 15; 8; 27; 28; 13; 4; 16
31,52,0.68434,0.59615,31; 22; 9; 9; 52; 11; 3; 5
16,21,0.75742,0.7619,16; 14; 25; 7; 21; 9; 23; 13
12,68,0.48294,0.17647,12; 6; 22; 8; 68; 10; 3; 10
26,45,0.70476,0.57778,26; 21; 7; 8; 45; 12; 3; 7
5,9,0.5546,0.55556,5; 15; 14; 12; 9; 19; 28; 26
21,72,0.57194,0.29167,21; 9; 10; 3; 72; 5; 5; 3
7,40,0.27503,0.175,7; 21; 12; 17; 40; 11; 9; 16
40,52,0.64986,0.76923,40; 6; 5; 16; 52; 10; 8; 11
9,68,0.35974,0.13235,9; 22; 20; 23; 68; 10; 6; 8
33,68,0.62775,0.48529,33; 13; 21; 10; 68; 10; 9; 9
9,52,0.41636,0.17308,9; 25; 27; 4; 52; 3; 15; 13
33,45,0.67504,0.73333,33; 5; 8; 7; 45; 3; 6; 9
36,40,0.78832,0.9,36; 14; 3; 7; 40; 12; 16; 15
32,68,0.643,0.47059,32; 6; 13; 19; 68; 8; 4; 5
7,11,0.63649,0.63636,7; 18; 30; 11; 11; 11; 18; 25
7,11,0.64723,0.63636,7; 8; 8; 29; 11; 21; 4; 16
17,40,0.56148,0.425,17; 17; 21; 24; 40; 16; 10; 11
20,21,0.92266,0.95238,20; 14; 18; 19; 21; 5; 21; 8
20,28,0.74667,0.71429,20; 15; 4; 8; 28; 13; 14; 8
50,72,0.62059,0.69444,50; 11; 13; 10; 72; 7; 8; 6
10,21,0.48034,0.47619,10; 29; 26; 22; 21; 22; 14; 14
36,40,0.77818,0.9,36; 11; 9; 10; 40; 10; 9; 18
5,20,0.25786,0.25,5; 4; 31; 28; 20; 11; 16; 22
17,21,0.80885,0.80952,17; 25; 4; 24; 21; 11; 20; 9
64,72,0.60262,0.88889,64; 10; 5; 3; 72; 8; 5; 8
9,45,0.3475,0.2,9; 9; 25; 7; 45; 17; 16; 5
14,40,0.46665,0.35,14; 25; 16; 16; 40; 3; 16; 17
12,50,0.46534,0.24,12; 24; 14; 24; 50; 11; 16; 9
15,52,0.48484,0.28846,15; 16; 16; 22; 52; 3; 11; 6
13,32,0.44366,0.40625,13; 27; 10; 9; 32; 13; 15; 20
59,68,0.61716,0.86765,59; 4; 9; 4; 68; 4; 5; 9
44,57,0.63466,0.77193,44; 14; 8; 17; 57; 11; 5; 11
65,72,0.60633,0.90278,65; 11; 3; 4; 72; 6; 5; 3
22,72,0.57741,0.30556,22; 10; 9; 4; 72; 3; 3; 5
61,68,0.61909,0.89706,61; 12; 5; 4; 68; 9; 3; 8
43,45,0.66985,0.95556,43; 8; 10; 12; 45; 10; 6; 15
15,28,0.54839,0.53571,15; 23; 14; 6; 28; 12; 20; 20
19,28,0.71074,0.67857,19; 12; 13; 6; 28; 11; 9; 23
37,50,0.67282,0.74,37; 18; 17; 20; 50; 7; 13; 7
8,45,0.29382,0.17778,8; 21; 20; 4; 45; 15; 17; 8
61,62,0.61696,0.98387,61; 9; 6; 4; 62; 8; 12; 9
11,28,0.40687,0.39286,11; 9; 16; 3; 28; 12; 20; 8
8,21,0.39757,0.38095,8; 3; 3; 18; 21; 5; 4; 6
9,58,0.42586,0.15517,9; 24; 14; 17; 58; 6; 3; 8
20,40,0.6206,0.5,20; 3; 19; 3; 40; 7; 19; 15
12,20,0.60214,0.6,12; 15; 11; 17; 20; 11; 10; 7
52,58,0.62466,0.89655,52; 13; 10; 6; 58; 5; 11; 8
24,28,0.90819,0.85714,24; 8; 20; 20; 28; 6; 6; 15
41,45,0.68849,0.91111,41; 5; 11; 7; 45; 6; 17; 12
26,50,0.69055,0.52,26; 17; 4; 13; 50; 13; 4; 5
31,40,0.80354,0.775,31; 6; 10; 17; 40; 6; 9; 12
8,11,0.72898,0.72727,8; 10; 29; 9; 11; 24; 27; 13
17,40,0.54699,0.425,17; 13; 6; 19; 40; 18; 19; 9
45,58,0.63341,0.77586,45; 12; 11; 12; 58; 9; 8; 12
34,41,0.76518,0.82927,34; 6; 3; 3; 41; 8; 15; 12
26,68,0.66054,0.38235,26; 16; 14; 5; 68; 4; 6; 6
17,21,0.79643,0.80952,17; 11; 18; 7; 21; 25; 4; 24
16,72,0.49595,0.22222,16; 4; 23; 23; 72; 7; 6; 7
14,40,0.46849,0.35,14; 15; 8; 9; 40; 6; 14; 18
14,41,0.47544,0.34146,14; 16; 5; 22; 41; 15; 10; 19
28,32,0.88878,0.875,28; 14; 14; 14; 32; 4; 6; 12
8,11,0.70496,0.72727,8; 9; 30; 24; 11; 3; 13; 8
9,11,0.84048,0.81818,9; 19; 5; 4; 11; 29; 10; 8
12,28,0.44785,0.42857,12; 25; 16; 13; 28; 9; 21; 15
5,9,0.57434,0.55556,5; 27; 25; 5; 9; 6; 6; 17
47,68,0.62697,0.69118,47; 14; 6; 12; 68; 5; 4; 7
8,32,0.28142,0.25,8; 30; 10; 21; 32; 13; 11; 5
45,52,0.6455,0.86538,45; 7; 7; 14; 52; 5; 7; 8
10,11,0.91735,0.90909,10; 26; 25; 7; 11; 7; 23; 4
6,21,0.29728,0.28571,6; 19; 22; 16; 21; 6; 8; 17
46,72,0.61109,0.63889,46; 3; 9; 4; 72; 7; 7; 4
6,11,0.5627,0.54545,6; 13; 7; 16; 11; 10; 26; 28
33,68,0.60138,0.48529,33; 17; 8; 7; 68; 4; 6; 3
6,57,0.27602,0.10526,6; 26; 23; 19; 57; 7; 9; 9
32,68,0.64565,0.47059,32; 7; 8; 17; 68; 5; 5; 4
27,28,0.98666,0.96429,27; 4; 18; 21; 28; 10; 9; 13
47,58,0.64324,0.81034,47; 7; 4; 3; 58; 12; 6; 3
22,41,0.65078,0.53659,22; 5; 9; 3; 41; 16; 14; 7
15,21,0.71313,0.71429,15; 26; 8; 8; 21; 18; 16; 6
10,11,0.91879,0.90909,10; 18; 14; 20; 11; 7; 11; 5
23,72,0.59217,0.31944,23; 6; 21; 22; 72; 6; 6; 8
23,72,0.58678,0.31944,23; 14; 8; 13; 72; 4; 7; 8
67,68,0.61853,0.98529,67; 8; 10; 5; 68; 5; 9; 5
9,57,0.35015,0.15789,9; 24; 13; 10; 57; 6; 4; 11
17,21,0.79664,0.80952,17; 4; 26; 25; 21; 15; 12; 3
34,40,0.7669,0.85,34; 15; 8; 10; 40; 3; 10; 9
21,32,0.67853,0.65625,21; 18; 3; 5; 32; 11; 18; 16
34,40,0.79699,0.85,34; 20; 20; 4; 40; 10; 16; 10
25,28,0.95795,0.89286,25; 8; 21; 19; 28; 16; 20; 16
71,72,0.59487,0.98611,71; 8; 5; 9; 72; 6; 8; 8
24,58,0.6191,0.41379,24; 17; 20; 7; 58; 11; 13; 10
10,28,0.3636,0.35714,10; 24; 19; 14; 28; 8; 7; 5
5,21,0.25868,0.2381,5; 10; 19; 29; 21; 3; 3; 14
12,72,0.47814,0.16667,12; 21; 22; 12; 72; 8; 5; 6
22,62,0.58066,0.35484,22; 6; 20; 6; 62; 9; 9; 12
23,45,0.62627,0.51111,23; 16; 6; 15; 45; 17; 9; 11
11,58,0.41871,0.18966,11; 11; 15; 8; 58; 11; 3; 4
18,68,0.54742,0.26471,18; 20; 13; 7; 68; 5; 10; 10
15,32,0.52165,0.46875,15; 15; 11; 21; 32; 17; 15; 3
27,57,0.64315,0.47368,27; 20; 5; 18; 57; 9; 9; 7
57,62,0.6142,0.91935,57; 3; 12; 13; 62; 5; 5; 10
12,21,0.56153,0.57143,12; 8; 14; 26; 21; 4; 24; 9
57,68,0.61816,0.83824,57; 8; 10; 10; 68; 6; 7; 4
5,9,0.5726,0.55556,5; 31; 6; 8; 9; 8; 6; 20
6,9,0.67792,0.66667,6; 6; 14; 5; 9; 7; 10; 22
45,50,0.65053,0.9,45; 11; 15; 16; 50; 7; 10; 5
6,11,0.56354,0.54545,6; 5; 3; 13; 11; 26; 8; 26
32,52,0.6813,0.61538,32; 9; 22; 22; 52; 4; 7; 4
34,50,0.66809,0.68,34; 8; 9; 13; 50; 10; 10; 12
17,58,0.53277,0.2931,17; 11; 21; 13; 58; 5; 13; 6
20,40,0.61235,0.5,20; 15; 5; 8; 40; 13; 14; 7
19,28,0.71186,0.67857,19; 10; 14; 15; 28; 11; 8; 5
17,21,0.80308,0.80952,17; 11; 6; 23; 21; 3; 19; 17
52,68,0.63448,0.76471,52; 4; 15; 15; 68; 7; 9; 6
16,20,0.79295,0.8,16; 15; 7; 16; 20; 20; 18; 9
21,28,0.78913,0.75,21; 9; 8; 23; 28; 4; 7; 15
31,62,0.61444,0.5,31; 20; 14; 21; 62; 4; 7; 3
