ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
15,65,0.4824,0.23077,15; 12; 15; 20; 65; 10; 3; 10
49,68,0.69763,0.72059,49; 13; 5; 12; 68; 10; 10; 3
74,78,0.98751,0.94872,74; 6; 8; 8; 78; 3; 3; 3
29,64,0.51872,0.45312,29; 9; 5; 15; 64; 3; 9; 11
66,82,0.89849,0.80488,66; 3; 3; 4; 82; 3; 4; 4
51,64,0.75127,0.79688,51; 13; 13; 9; 64; 3; 4; 5
26,58,0.51643,0.44828,26; 24; 12; 17; 58; 3; 11; 7
5,58,0.49641,0.08621,5; 10; 4; 6; 58; 5; 10; 3
27,81,0.48198,0.33333,27; 13; 20; 5; 81; 5; 3; 5
68,82,0.93438,0.82927,68; 6; 5; 7; 82; 4; 5; 4
23,77,0.48085,0.2987,23; 9; 14; 20; 77; 5; 6; 6
10,33,0.51966,0.30303,10; 12; 8; 23; 33; 8; 15; 11
7,48,0.51079,0.14583,7; 7; 21; 16; 48; 8; 13; 5
54,75,0.70082,0.72,54; 7; 9; 13; 75; 4; 7; 3
20,48,0.51058,0.41667,20; 6; 11; 15; 48; 8; 12; 15
16,79,0.48992,0.20253,16; 7; 12; 3; 79; 6; 3; 6
80,84,0.98744,0.95238,80; 5; 3; 4; 84; 3; 3; 3
7,80,0.49847,0.0875,7; 10; 22; 22; 80; 4; 3; 3
27,82,0.49714,0.32927,27; 9; 3; 19; 82; 4; 3; 3
19,67,0.50409,0.28358,19; 13; 6; 6; 67; 3; 4; 6
22,49,0.51758,0.44898,22; 22; 13; 10; 49; 16; 14; 9
52,72,0.70179,0.72222,52; 7; 7; 6; 72; 4; 3; 6
11,71,0.50675,0.15493,11; 12; 14; 23; 71; 4; 7; 6
22,66,0.49967,0.33333,22; 11; 7; 7; 66; 8; 3; 8
33,36,0.76582,0.91667,33; 16; 19; 15; 36; 16; 4; 20
8,29,0.54593,0.27586,8; 12; 18; 21; 29; 8; 8; 19
19,20,0.73691,0.95,19; 5; 6; 14; 20; 17; 10; 12
5,25,0.61595,0.2,5; 11; 19; 26; 25; 3; 21; 13
6,64,0.54399,0.09375,6; 24; 16; 18; 64; 3; 8; 10
17,75,0.48983,0.22667,17; 23; 14; 13; 75; 6; 3; 6
17,74,0.49484,0.22973,17; 25; 26; 4; 74; 5; 3; 4
47,59,0.73892,0.79661,47; 11; 3; 17; 59; 11; 12; 3
11,12,0.63484,0.91667,11; 13; 9; 16; 12; 4; 7; 28
19,69,0.4904,0.27536,19; 22; 7; 26; 69; 7; 4; 8
59,82,0.72196,0.71951,59; 8; 7; 4; 82; 4; 3; 4
11,33,0.51651,0.33333,11; 10; 25; 14; 33; 20; 3; 13
38,46,0.74186,0.82609,38; 20; 11; 15; 46; 16; 12; 11
12,46,0.52445,0.26087,12; 8; 21; 5; 46; 8; 16; 6
35,44,0.73986,0.79545,35; 13; 15; 14; 44; 17; 9; 17
55,66,0.79144,0.83333,55; 13; 10; 7; 66; 6; 8; 6
