ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
56,81,0.68474,0.69136,42; 56; 60; 85; 68; 19; 81; 40; 7; 68
10,74,0.15506,0.13514,66; 10; 44; 44; 76; 75; 74; 69; 33; 40
7,43,0.19092,0.16279,8; 7; 68; 22; 13; 68; 43; 19; 38; 11
6,17,0.34362,0.35294,12; 6; 5; 23; 30; 31; 17; 58; 50; 36
6,7,0.79776,0.85714,52; 6; 71; 71; 21; 63; 7; 29; 73; 25
15,17,0.83912,0.88235,50; 15; 48; 52; 69; 43; 17; 8; 59; 42
45,47,0.91982,0.95745,78; 45; 12; 18; 84; 81; 47; 28; 35; 31
6,7,0.76336,0.85714,69; 6; 10; 65; 54; 58; 7; 50; 14; 30
33,56,0.58034,0.58929,27; 33; 6; 78; 45; 8; 56; 52; 41; 68
11,20,0.56066,0.55,20; 11; 76; 17; 82; 24; 20; 70; 44; 50
5,7,0.74548,0.71429,18; 5; 23; 12; 36; 44; 7; 13; 9; 15
5,14,0.37819,0.35714,45; 5; 69; 62; 85; 76; 14; 40; 30; 85
34,50,0.61231,0.68,62; 34; 20; 32; 9; 76; 50; 83; 54; 56
27,47,0.58038,0.57447,25; 27; 75; 26; 74; 56; 47; 9; 21; 51
42,56,0.70145,0.75,81; 42; 14; 30; 12; 26; 56; 8; 34; 8
8,47,0.20809,0.17021,78; 8; 57; 51; 45; 27; 47; 51; 60; 74
42,72,0.59831,0.58333,60; 42; 24; 11; 75; 33; 72; 83; 7; 13
7,43,0.16291,0.16279,28; 7; 16; 84; 78; 77; 43; 43; 16; 39
16,37,0.43432,0.43243,49; 16; 32; 7; 33; 16; 37; 67; 82; 9
16,48,0.29729,0.33333,18; 16; 60; 74; 34; 55; 48; 48; 36; 23
14,17,0.80219,0.82353,21; 14; 36; 85; 14; 71; 17; 6; 49; 67
40,56,0.73388,0.71429,18; 40; 7; 65; 52; 42; 56; 78; 9; 50
24,56,0.38876,0.42857,28; 24; 71; 9; 48; 28; 56; 76; 21; 41
40,43,0.91323,0.93023,77; 40; 51; 54; 68; 21; 43; 15; 50; 81
16,47,0.35365,0.34043,5; 16; 68; 6; 35; 65; 47; 40; 48; 5
25,30,0.8081,0.83333,57; 25; 69; 77; 27; 16; 30; 41; 26; 62
15,20,0.75992,0.75,43; 15; 49; 74; 69; 15; 20; 56; 40; 19
39,81,0.47909,0.48148,58; 39; 60; 38; 7; 84; 81; 54; 49; 77
7,74,0.12315,0.09459,52; 7; 84; 72; 21; 66; 74; 47; 77; 17
19,50,0.3936,0.38,16; 19; 69; 67; 8; 25; 50; 28; 51; 55
55,72,0.7891,0.76389,9; 55; 7; 16; 18; 33; 72; 68; 64; 30
25,48,0.5283,0.52083,61; 25; 14; 37; 43; 5; 48; 72; 13; 8
6,35,0.17726,0.17143,70; 6; 42; 24; 85; 19; 35; 27; 34; 82
14,17,0.8175,0.82353,48; 14; 35; 70; 18; 18; 17; 72; 65; 40
47,48,0.92675,0.97917,6; 47; 48; 32; 61; 28; 48; 24; 46; 70
20,81,0.26482,0.24691,75; 20; 23; 24; 14; 24; 81; 46; 32; 5
29,43,0.66163,0.67442,30; 29; 48; 80; 11; 14; 43; 73; 52; 68
19,30,0.61903,0.63333,51; 19; 68; 10; 70; 76; 30; 30; 83; 81
10,17,0.57158,0.58824,7; 10; 40; 42; 50; 39; 17; 30; 8; 28
53,72,0.74332,0.73611,34; 53; 67; 34; 12; 63; 72; 37; 47; 59
42,47,0.86556,0.89362,12; 42; 65; 27; 49; 6; 47; 21; 60; 11
8,14,0.53926,0.57143,36; 8; 39; 68; 58; 69; 14; 16; 23; 25
17,30,0.55484,0.56667,30; 17; 19; 20; 6; 68; 30; 63; 17; 49
42,50,0.81858,0.84,37; 42; 77; 35; 22; 13; 50; 24; 30; 47
35,50,0.66357,0.7,83; 35; 8; 30; 35; 38; 50; 29; 76; 43
20,47,0.40151,0.42553,66; 20; 60; 9; 70; 21; 47; 28; 51; 34
18,20,0.92653,0.9,76; 18; 84; 49; 32; 23; 20; 70; 42; 22
19,30,0.59152,0.63333,78; 19; 53; 76; 9; 37; 30; 67; 5; 20
7,14,0.45506,0.5,78; 7; 47; 15; 84; 65; 14; 60; 38; 47
9,50,0.19937,0.18,58; 9; 37; 54; 70; 73; 50; 23; 40; 77
14,50,0.28027,0.28,30; 14; 73; 5; 76; 60; 50; 26; 83; 67
12,81,0.18938,0.14815,72; 12; 40; 85; 42; 45; 81; 70; 23; 18
6,37,0.20261,0.16216,72; 6; 32; 59; 71; 62; 37; 77; 52; 69
27,50,0.54433,0.54,16; 27; 78; 34; 33; 31; 50; 8; 52; 82
6,20,0.31435,0.3,54; 6; 53; 76; 50; 56; 20; 11; 12; 54
38,48,0.79614,0.79167,61; 38; 65; 84; 32; 24; 48; 23; 30; 56
53,72,0.68825,0.73611,60; 53; 34; 70; 81; 34; 72; 5; 82; 10
24,37,0.68056,0.64865,14; 24; 21; 8; 25; 63; 37; 77; 85; 28
14,35,0.41539,0.4,53; 14; 79; 70; 13; 75; 35; 15; 68; 76
15,35,0.43098,0.42857,43; 15; 43; 71; 63; 26; 35; 22; 16; 80
29,48,0.57827,0.60417,14; 29; 60; 51; 68; 60; 48; 49; 42; 49
40,43,0.89889,0.93023,48; 40; 42; 56; 72; 79; 43; 47; 60; 43
13,56,0.24925,0.23214,82; 13; 71; 82; 73; 19; 56; 14; 34; 29
6,56,0.11395,0.10714,38; 6; 72; 38; 56; 51; 56; 64; 9; 13
45,47,0.94395,0.95745,25; 45; 76; 6; 74; 13; 47; 33; 53; 61
14,20,0.68945,0.7,41; 14; 41; 28; 15; 7; 20; 51; 20; 63
11,30,0.30694,0.36667,22; 11; 5; 80; 58; 29; 30; 39; 63; 11
11,74,0.15042,0.14865,12; 11; 29; 10; 26; 61; 74; 83; 70; 5
11,14,0.73229,0.78571,74; 11; 82; 71; 12; 32; 14; 46; 8; 60
5,7,0.66608,0.71429,18; 5; 58; 29; 31; 63; 7; 13; 61; 59
29,48,0.59798,0.60417,63; 29; 75; 69; 65; 61; 48; 50; 71; 74
12,14,0.81815,0.85714,58; 12; 22; 55; 16; 12; 14; 43; 32; 13
5,62,0.12357,0.08065,13; 5; 16; 61; 11; 41; 62; 20; 70; 53
16,47,0.34763,0.34043,30; 16; 67; 61; 25; 15; 47; 9; 24; 47
49,56,0.90566,0.875,28; 49; 74; 41; 44; 33; 56; 43; 14; 29
5,48,0.143,0.10417,20; 5; 83; 35; 60; 35; 48; 58; 20; 38
9,14,0.62114,0.64286,30; 9; 37; 19; 65; 8; 14; 74; 43; 51
13,14,0.90439,0.92857,8; 13; 54; 5; 84; 52; 14; 71; 55; 66
59,62,0.94466,0.95161,34; 59; 51; 58; 62; 47; 62; 83; 72; 13
5,7,0.67203,0.71429,80; 5; 39; 53; 13; 64; 7; 60; 71; 73
43,48,0.88922,0.89583,7; 43; 29; 23; 69; 54; 48; 6; 10; 48
7,14,0.43235,0.5,66; 7; 71; 72; 57; 67; 14; 76; 67; 15
13,30,0.44734,0.43333,16; 13; 32; 53; 54; 56; 30; 7; 58; 85
32,43,0.76094,0.74419,59; 32; 45; 51; 45; 43; 43; 63; 38; 20
45,47,0.92295,0.95745,42; 45; 26; 82; 84; 7; 47; 33; 19; 69
9,72,0.14948,0.125,41; 9; 42; 34; 29; 68; 72; 64; 34; 33
44,48,0.89904,0.91667,11; 44; 68; 51; 55; 11; 48; 22; 51; 28
32,72,0.43424,0.44444,55; 32; 24; 56; 79; 82; 72; 52; 73; 30
6,7,0.77578,0.85714,25; 6; 45; 53; 64; 76; 7; 45; 11; 26
70,72,0.94496,0.97222,20; 70; 74; 12; 84; 42; 72; 49; 75; 37
19,81,0.24578,0.23457,43; 19; 52; 78; 47; 70; 81; 17; 38; 19
21,48,0.45079,0.4375,33; 21; 60; 79; 76; 84; 48; 61; 41; 71
12,14,0.84736,0.85714,25; 12; 71; 62; 69; 85; 14; 69; 18; 35
6,7,0.79688,0.85714,40; 6; 45; 47; 19; 70; 7; 31; 17; 42
5,37,0.16742,0.13514,83; 5; 33; 5; 69; 68; 37; 32; 75; 36
27,48,0.54739,0.5625,43; 27; 84; 78; 23; 46; 48; 85; 65; 33
5,7,0.76491,0.71429,77; 5; 8; 46; 64; 61; 7; 59; 62; 65
48,81,0.61183,0.59259,56; 48; 60; 30; 62; 72; 81; 67; 49; 45
21,50,0.42526,0.42,43; 21; 15; 55; 68; 5; 50; 79; 80; 56
7,81,0.06119,0.08642,72; 7; 67; 25; 43; 85; 81; 35; 45; 58
59,62,0.89874,0.95161,84; 59; 21; 23; 67; 57; 62; 11; 53; 58
18,62,0.32344,0.29032,48; 18; 19; 66; 65; 44; 62; 54; 84; 39
5,7,0.73311,0.71429,67; 5; 66; 73; 26; 56; 7; 30; 30; 21
45,56,0.8242,0.80357,65; 45; 44; 77; 38; 6; 56; 13; 35; 65
7,20,0.33984,0.35,75; 7; 71; 47; 37; 7; 20; 14; 54; 40
39,56,0.72004,0.69643,85; 39; 61; 41; 47; 40; 56; 45; 43; 53
24,30,0.81738,0.8,12; 24; 52; 49; 62; 14; 30; 77; 47; 42
9,14,0.6466,0.64286,13; 9; 50; 30; 46; 53; 14; 38; 16; 8
13,37,0.3751,0.35135,26; 13; 31; 5; 15; 80; 37; 53; 27; 57
11,14,0.78214,0.78571,71; 11; 53; 48; 65; 22; 14; 28; 75; 39
43,48,0.94874,0.89583,73; 43; 85; 27; 74; 50; 48; 26; 82; 22
11,17,0.62346,0.64706,42; 11; 68; 75; 35; 37; 17; 78; 77; 8
18,47,0.37621,0.38298,12; 18; 10; 78; 74; 76; 47; 52; 8; 46
6,7,0.77191,0.85714,36; 6; 38; 28; 51; 22; 7; 43; 70; 20
28,43,0.60741,0.65116,23; 28; 9; 47; 76; 42; 43; 29; 10; 65
29,43,0.68458,0.67442,26; 29; 83; 73; 64; 45; 43; 7; 53; 51
17,30,0.56945,0.56667,18; 17; 21; 75; 74; 14; 30; 14; 63; 43
18,30,0.56663,0.6,27; 18; 48; 64; 40; 5; 30; 60; 21; 83
18,20,0.94385,0.9,16; 18; 77; 38; 32; 26; 20; 48; 50; 49
18,30,0.62763,0.6,72; 18; 35; 15; 49; 7; 30; 72; 18; 85
34,50,0.68783,0.68,17; 34; 64; 20; 20; 25; 50; 62; 72; 44
16,37,0.4212,0.43243,35; 16; 19; 32; 61; 84; 37; 71; 21; 80
12,14,0.871,0.85714,77; 12; 82; 33; 60; 28; 14; 33; 83; 44
10,56,0.2136,0.17857,40; 10; 74; 69; 73; 37; 56; 30; 28; 37
11,17,0.6556,0.64706,13; 11; 77; 60; 33; 72; 17; 37; 30; 38
5,17,0.33475,0.29412,50; 5; 61; 58; 28; 68; 17; 74; 13; 33
18,20,0.82721,0.9,17; 18; 31; 28; 47; 30; 20; 45; 75; 57
19,20,0.91777,0.95,40; 19; 30; 7; 8; 42; 20; 21; 36; 11
17,74,0.24497,0.22973,11; 17; 12; 55; 24; 7; 74; 58; 45; 24
29,48,0.63575,0.60417,38; 29; 57; 31; 79; 69; 48; 25; 63; 59
13,30,0.40171,0.43333,15; 13; 48; 73; 31; 24; 30; 7; 75; 22
11,48,0.26537,0.22917,28; 11; 44; 50; 36; 16; 48; 12; 31; 19
41,50,0.83085,0.82,78; 41; 20; 85; 47; 22; 50; 50; 11; 76
12,30,0.4183,0.4,35; 12; 44; 41; 82; 11; 30; 81; 5; 18
16,17,0.90594,0.94118,24; 16; 62; 16; 22; 31; 17; 57; 9; 65
37,72,0.53198,0.51389,56; 37; 64; 62; 79; 29; 72; 11; 75; 82
5,7,0.6947,0.71429,69; 5; 54; 7; 67; 32; 7; 79; 18; 6
6,72,0.12015,0.08333,11; 6; 64; 32; 63; 28; 72; 34; 58; 75
5,7,0.72856,0.71429,56; 5; 21; 69; 27; 67; 7; 42; 17; 85
33,37,0.85176,0.89189,31; 33; 55; 9; 38; 27; 37; 48; 23; 70
39,50,0.78525,0.78,74; 39; 22; 28; 67; 30; 50; 81; 10; 6
56,74,0.7473,0.75676,27; 56; 60; 69; 58; 82; 74; 50; 80; 67
5,20,0.24901,0.25,59; 5; 57; 21; 34; 79; 20; 51; 52; 71
8,50,0.19909,0.16,56; 8; 61; 75; 60; 22; 50; 65; 18; 72
14,47,0.31852,0.29787,34; 14; 78; 46; 62; 48; 47; 13; 40; 57
17,30,0.52741,0.56667,32; 17; 79; 51; 37; 82; 30; 46; 36; 65
10,48,0.21895,0.20833,9; 10; 17; 42; 45; 45; 48; 53; 50; 15
7,14,0.50456,0.5,45; 7; 10; 44; 82; 18; 14; 15; 44; 51
6,17,0.34165,0.35294,27; 6; 65; 54; 77; 71; 17; 18; 9; 52
10,20,0.53051,0.5,74; 10; 34; 21; 81; 83; 20; 80; 17; 21
21,43,0.47589,0.48837,45; 21; 30; 48; 43; 80; 43; 83; 10; 13
36,47,0.74153,0.76596,17; 36; 31; 21; 16; 6; 47; 46; 85; 6
14,56,0.24369,0.25,83; 14; 29; 14; 12; 53; 56; 5; 43; 59
14,17,0.81049,0.82353,62; 14; 63; 23; 11; 11; 17; 35; 52; 83
39,81,0.47244,0.48148,7; 39; 46; 55; 65; 44; 81; 36; 34; 26
22,48,0.4658,0.45833,71; 22; 61; 46; 14; 64; 48; 50; 55; 71
10,48,0.23996,0.20833,33; 10; 34; 12; 22; 13; 48; 38; 68; 31
11,47,0.25316,0.23404,39; 11; 38; 62; 28; 68; 47; 64; 47; 11
8,43,0.20479,0.18605,76; 8; 38; 24; 14; 40; 43; 85; 80; 42
6,7,0.78076,0.85714,21; 6; 41; 10; 82; 72; 7; 54; 18; 81
7,37,0.20129,0.18919,53; 7; 23; 37; 75; 80; 37; 55; 9; 59
8,14,0.61842,0.57143,32; 8; 22; 31; 57; 29; 14; 56; 50; 31
57,72,0.79229,0.79167,83; 57; 7; 45; 77; 59; 72; 17; 63; 30
62,74,0.82111,0.83784,44; 62; 49; 85; 64; 15; 74; 36; 51; 33
12,35,0.3625,0.34286,70; 12; 81; 43; 53; 50; 35; 57; 64; 69
8,14,0.53642,0.57143,80; 8; 49; 29; 27; 25; 14; 61; 60; 45
6,14,0.40058,0.42857,22; 6; 19; 45; 55; 7; 14; 20; 72; 76
11,14,0.81176,0.78571,83; 11; 6; 6; 62; 80; 14; 32; 37; 52
18,20,0.90371,0.9,38; 18; 54; 66; 62; 76; 20; 18; 79; 77
32,37,0.86578,0.86486,20; 32; 57; 41; 57; 44; 37; 47; 9; 56
28,37,0.74422,0.75676,18; 28; 50; 47; 56; 80; 37; 30; 45; 44
47,56,0.85233,0.83929,81; 47; 85; 43; 83; 28; 56; 30; 39; 79
6,30,0.2259,0.2,37; 6; 5; 36; 77; 23; 30; 28; 85; 45
70,74,0.94582,0.94595,47; 70; 60; 17; 72; 80; 74; 80; 63; 72
16,74,0.25108,0.21622,20; 16; 83; 44; 48; 73; 74; 62; 55; 33
8,48,0.19375,0.16667,47; 8; 28; 73; 38; 57; 48; 11; 36; 35
25,47,0.50294,0.53191,13; 25; 38; 66; 83; 15; 47; 84; 74; 30
37,74,0.48194,0.5,56; 37; 53; 33; 74; 57; 74; 67; 44; 50
5,17,0.34718,0.29412,46; 5; 10; 15; 17; 83; 17; 60; 23; 75
