ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
40,74,0.50796,0.54054,15; 40; 54; 35; 42; 58; 74; 41; 40; 69
14,72,0.22883,0.19444,66; 14; 67; 15; 38; 12; 72; 68; 43; 85
11,14,0.80099,0.78571,41; 11; 38; 62; 68; 38; 14; 69; 50; 47
38,56,0.65963,0.67857,33; 38; 67; 25; 6; 16; 56; 71; 19; 50
11,20,0.53824,0.55,46; 11; 59; 48; 7; 33; 20; 78; 73; 13
8,43,0.21336,0.18605,65; 8; 35; 73; 70; 26; 43; 32; 61; 30
21,48,0.44988,0.4375,84; 21; 64; 74; 30; 57; 48; 79; 31; 8
11,50,0.23375,0.22,8; 11; 11; 79; 64; 15; 50; 5; 71; 12
9,72,0.18617,0.125,76; 9; 43; 50; 82; 15; 72; 18; 56; 53
27,37,0.74914,0.72973,54; 27; 24; 27; 59; 51; 37; 62; 69; 19
25,37,0.65769,0.67568,34; 25; 5; 50; 5; 77; 37; 83; 70; 44
58,81,0.72276,0.71605,53; 58; 15; 50; 36; 75; 81; 56; 82; 74
21,30,0.73701,0.7,30; 21; 62; 73; 51; 57; 30; 41; 12; 57
31,72,0.42408,0.43056,61; 31; 41; 11; 29; 47; 72; 28; 17; 81
44,81,0.55325,0.54321,59; 44; 27; 75; 60; 42; 81; 38; 84; 44
34,35,0.97658,0.97143,82; 34; 67; 30; 74; 26; 35; 52; 56; 27
5,7,0.63034,0.71429,28; 5; 37; 56; 24; 31; 7; 31; 38; 49
23,30,0.80115,0.76667,82; 23; 18; 41; 42; 5; 30; 38; 11; 34
5,7,0.71947,0.71429,79; 5; 25; 34; 56; 27; 7; 29; 79; 38
27,35,0.77581,0.77143,65; 27; 74; 5; 65; 67; 35; 28; 30; 57
53,81,0.65776,0.65432,6; 53; 42; 12; 69; 23; 81; 36; 39; 58
6,20,0.31013,0.3,19; 6; 23; 43; 25; 51; 20; 44; 42; 6
27,48,0.5608,0.5625,28; 27; 26; 84; 66; 72; 48; 18; 29; 10
33,50,0.62279,0.66,71; 33; 18; 62; 19; 62; 50; 82; 21; 10
67,74,0.91324,0.90541,18; 67; 37; 55; 19; 43; 74; 64; 51; 57
65,81,0.79727,0.80247,68; 65; 64; 73; 53; 40; 81; 11; 77; 7
36,74,0.49194,0.48649,85; 36; 26; 80; 83; 41; 74; 6; 6; 62
15,30,0.49583,0.5,70; 15; 42; 10; 49; 43; 30; 15; 68; 58
30,74,0.39879,0.40541,42; 30; 46; 70; 65; 62; 74; 48; 9; 44
6,14,0.42125,0.42857,84; 6; 28; 40; 33; 40; 14; 44; 64; 82
17,35,0.49422,0.48571,11; 17; 56; 81; 12; 56; 35; 52; 56; 68
6,7,0.75133,0.85714,26; 6; 85; 62; 58; 67; 7; 80; 37; 7
47,48,0.94283,0.97917,13; 47; 45; 25; 62; 10; 48; 34; 59; 54
13,47,0.28523,0.2766,24; 13; 40; 10; 26; 11; 47; 51; 82; 62
6,50,0.15635,0.12,48; 6; 28; 11; 43; 76; 50; 27; 34; 13
21,43,0.49569,0.48837,76; 21; 42; 15; 17; 82; 43; 76; 68; 35
35,50,0.67154,0.7,7; 35; 63; 48; 70; 13; 50; 39; 10; 67
13,17,0.6502,0.76471,67; 13; 31; 33; 8; 73; 17; 49; 17; 71
49,72,0.71812,0.68056,59; 49; 24; 17; 61; 81; 72; 79; 65; 12
6,17,0.35889,0.35294,85; 6; 52; 83; 26; 47; 17; 13; 26; 17
13,14,0.90064,0.92857,22; 13; 69; 6; 26; 69; 14; 51; 12; 32
15,30,0.491,0.5,47; 15; 53; 36; 75; 55; 30; 25; 31; 49
26,74,0.3501,0.35135,49; 26; 49; 79; 43; 46; 74; 20; 39; 18
23,43,0.53896,0.53488,19; 23; 60; 20; 79; 56; 43; 73; 60; 66
55,72,0.78129,0.76389,5; 55; 70; 50; 80; 45; 72; 11; 14; 18
40,56,0.70211,0.71429,45; 40; 62; 52; 10; 18; 56; 53; 43; 10
28,37,0.78665,0.75676,56; 28; 20; 47; 65; 65; 37; 66; 85; 69
70,74,0.93421,0.94595,69; 70; 77; 64; 82; 29; 74; 5; 10; 43
17,43,0.409,0.39535,65; 17; 51; 15; 45; 50; 43; 30; 60; 7
21,30,0.68748,0.7,80; 21; 68; 71; 16; 27; 30; 32; 9; 15
56,81,0.72121,0.69136,38; 56; 37; 71; 33; 79; 81; 14; 55; 68
10,74,0.16994,0.13514,64; 10; 62; 60; 11; 20; 74; 34; 35; 43
7,43,0.20312,0.16279,71; 7; 13; 34; 62; 79; 43; 47; 13; 7
6,17,0.36531,0.35294,30; 6; 43; 22; 50; 47; 17; 61; 76; 9
6,7,0.7655,0.85714,56; 6; 20; 75; 36; 70; 7; 82; 85; 24
15,17,0.79738,0.88235,45; 15; 25; 60; 20; 7; 17; 42; 82; 50
45,47,0.97357,0.95745,18; 45; 57; 84; 33; 9; 47; 70; 69; 77
6,7,0.77404,0.85714,15; 6; 51; 46; 43; 56; 7; 62; 73; 80
33,56,0.56341,0.58929,67; 33; 57; 6; 70; 48; 56; 72; 9; 27
11,20,0.55647,0.55,32; 11; 31; 61; 17; 31; 20; 67; 24; 13
5,7,0.65104,0.71429,26; 5; 38; 72; 73; 65; 7; 76; 70; 75
5,14,0.38464,0.35714,60; 5; 38; 77; 69; 14; 14; 74; 70; 46
34,50,0.69347,0.68,46; 34; 63; 42; 80; 54; 50; 10; 24; 34
27,47,0.58419,0.57447,65; 27; 76; 38; 56; 26; 47; 81; 52; 31
42,56,0.73288,0.75,63; 42; 62; 47; 44; 63; 56; 17; 17; 28
8,47,0.21675,0.17021,44; 8; 81; 37; 84; 15; 47; 38; 33; 54
42,72,0.59148,0.58333,62; 42; 6; 59; 35; 9; 72; 50; 84; 30
7,43,0.19502,0.16279,46; 7; 47; 31; 58; 85; 43; 20; 29; 9
