ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
24,36,0.7296,0.66667,81; 24; 62; 51; 15; 36; 36; 5; 41; 82
10,19,0.52445,0.52632,22; 10; 41; 54; 36; 52; 19; 48; 35; 35
18,44,0.40696,0.40909,68; 18; 15; 78; 53; 38; 44; 83; 66; 24
5,6,0.6984,0.83333,50; 5; 34; 55; 36; 11; 6; 79; 6; 23
6,15,0.53712,0.4,21; 6; 28; 54; 43; 25; 15; 43; 11; 26
66,72,0.89864,0.91667,73; 66; 63; 12; 51; 27; 72; 19; 42; 83
6,67,0.09593,0.08955,19; 6; 63; 39; 5; 11; 67; 11; 57; 43
15,23,0.61945,0.65217,81; 15; 76; 55; 20; 24; 23; 22; 57; 66
6,15,0.53478,0.4,12; 6; 36; 21; 83; 69; 15; 73; 34; 8
5,6,0.70324,0.83333,54; 5; 24; 5; 19; 36; 6; 55; 54; 66
32,43,0.74837,0.74419,36; 32; 9; 84; 24; 77; 43; 71; 72; 50
5,6,0.71235,0.83333,48; 5; 5; 72; 40; 15; 6; 61; 66; 69
5,6,0.71038,0.83333,72; 5; 58; 43; 5; 10; 6; 65; 26; 80
34,36,0.89225,0.94444,70; 34; 25; 60; 8; 70; 36; 13; 47; 30
35,58,0.58136,0.60345,52; 35; 40; 26; 37; 47; 58; 70; 80; 12
5,6,0.71976,0.83333,10; 5; 77; 55; 42; 43; 6; 58; 38; 60
11,23,0.48846,0.47826,72; 11; 51; 9; 57; 53; 23; 10; 50; 26
35,77,0.43898,0.45455,32; 35; 40; 69; 8; 74; 77; 63; 14; 50
6,42,0.16051,0.14286,32; 6; 6; 65; 52; 51; 42; 63; 47; 22
19,44,0.44056,0.43182,14; 19; 53; 72; 61; 23; 44; 5; 15; 47
7,12,0.60871,0.58333,29; 7; 43; 5; 26; 72; 12; 65; 69; 30
61,67,0.90818,0.91045,51; 61; 79; 54; 9; 34; 67; 17; 63; 27
51,72,0.68551,0.70833,39; 51; 38; 73; 17; 67; 72; 14; 79; 57
5,15,0.52246,0.33333,81; 5; 34; 37; 24; 29; 15; 79; 81; 32
28,43,0.65104,0.65116,55; 28; 62; 58; 33; 50; 43; 53; 72; 58
17,24,0.68001,0.70833,70; 17; 46; 21; 46; 26; 24; 35; 75; 46
5,6,0.7116,0.83333,19; 5; 55; 59; 21; 53; 6; 77; 42; 33
30,42,0.70446,0.71429,53; 30; 16; 9; 67; 7; 42; 76; 41; 49
30,43,0.71191,0.69767,65; 30; 52; 81; 22; 56; 43; 40; 5; 53
10,12,0.6712,0.83333,70; 10; 67; 45; 5; 61; 12; 43; 40; 63
9,12,0.648,0.75,63; 9; 41; 83; 8; 59; 12; 12; 66; 40
10,24,0.40789,0.41667,38; 10; 29; 23; 79; 28; 24; 59; 46; 64
14,15,0.64179,0.93333,69; 14; 45; 20; 24; 54; 15; 38; 66; 71
50,77,0.65222,0.64935,30; 50; 48; 44; 61; 11; 77; 49; 22; 53
39,42,0.89556,0.92857,78; 39; 41; 26; 31; 49; 42; 26; 79; 7
22,36,0.65268,0.61111,80; 22; 81; 15; 48; 80; 36; 38; 49; 53
46,77,0.60214,0.5974,63; 46; 84; 14; 64; 10; 77; 9; 6; 36
71,77,0.91694,0.92208,44; 71; 74; 64; 82; 64; 77; 37; 54; 44
10,12,0.65739,0.83333,49; 10; 36; 49; 74; 30; 12; 58; 37; 36
23,77,0.29124,0.2987,11; 23; 28; 80; 21; 12; 77; 18; 13; 58
6,15,0.53849,0.4,46; 6; 38; 9; 8; 50; 15; 16; 9; 13
11,19,0.56107,0.57895,59; 11; 59; 33; 8; 59; 19; 57; 35; 8
10,24,0.42785,0.41667,78; 10; 13; 71; 43; 63; 24; 69; 68; 51
13,15,0.62577,0.86667,22; 13; 79; 33; 22; 13; 15; 81; 8; 73
40,43,0.9213,0.93023,38; 40; 15; 49; 7; 63; 43; 6; 72; 61
59,77,0.74053,0.76623,74; 59; 84; 65; 9; 56; 77; 24; 84; 30
56,67,0.83037,0.83582,63; 56; 63; 28; 56; 36; 67; 80; 21; 81
12,36,0.31828,0.33333,40; 12; 22; 77; 32; 70; 36; 43; 58; 57
6,23,0.30787,0.26087,66; 6; 29; 74; 34; 60; 23; 16; 85; 32
21,31,0.71399,0.67742,24; 21; 46; 35; 54; 26; 31; 32; 21; 20
17,23,0.68682,0.73913,19; 17; 41; 8; 77; 66; 23; 19; 23; 51
5,9,0.67169,0.55556,42; 5; 55; 28; 72; 39; 9; 81; 78; 40
57,58,0.93832,0.98276,57; 57; 17; 13; 83; 69; 58; 69; 13; 67
6,36,0.16221,0.16667,30; 6; 49; 58; 73; 85; 36; 39; 38; 52
5,6,0.69559,0.83333,62; 5; 43; 37; 33; 19; 6; 21; 64; 21
11,15,0.61021,0.73333,75; 11; 5; 77; 6; 18; 15; 38; 85; 62
21,23,0.83038,0.91304,57; 21; 12; 9; 56; 21; 23; 47; 27; 11
8,15,0.58905,0.53333,75; 8; 84; 73; 13; 72; 15; 81; 58; 84
43,44,0.93455,0.97727,63; 43; 83; 22; 66; 45; 44; 62; 60; 25
8,77,0.1239,0.1039,36; 8; 16; 68; 82; 19; 77; 66; 37; 8
24,72,0.34342,0.33333,13; 24; 22; 58; 27; 61; 72; 73; 69; 32
18,23,0.72705,0.78261,70; 18; 60; 25; 48; 68; 23; 31; 60; 49
8,9,0.77241,0.88889,25; 8; 8; 29; 10; 81; 9; 33; 80; 78
11,58,0.18614,0.18966,12; 11; 14; 8; 25; 20; 58; 38; 33; 18
22,58,0.37935,0.37931,16; 22; 85; 7; 52; 54; 58; 10; 16; 64
57,72,0.79969,0.79167,40; 57; 27; 22; 42; 45; 72; 38; 14; 75
8,9,0.74123,0.88889,36; 8; 21; 42; 63; 60; 9; 67; 25; 63
7,19,0.45856,0.36842,78; 7; 12; 49; 55; 15; 19; 81; 34; 16
29,43,0.64293,0.67442,56; 29; 37; 73; 11; 69; 43; 62; 49; 79
28,36,0.82766,0.77778,68; 28; 9; 24; 27; 56; 36; 8; 16; 62
5,6,0.71057,0.83333,81; 5; 13; 73; 17; 62; 6; 46; 15; 62
8,9,0.74967,0.88889,56; 8; 33; 44; 56; 79; 9; 13; 30; 48
14,15,0.64293,0.93333,57; 14; 67; 11; 76; 20; 15; 44; 10; 76
5,24,0.25959,0.20833,12; 5; 26; 43; 8; 27; 24; 54; 66; 68
51,58,0.87471,0.87931,26; 51; 85; 8; 46; 28; 58; 7; 43; 38
16,67,0.25221,0.23881,38; 16; 74; 65; 5; 68; 67; 82; 31; 5
8,9,0.76294,0.88889,62; 8; 18; 7; 75; 56; 9; 65; 47; 15
6,42,0.15738,0.14286,23; 6; 69; 18; 8; 10; 42; 31; 28; 49
6,15,0.50478,0.4,43; 6; 43; 71; 75; 69; 15; 41; 65; 56
5,12,0.58483,0.41667,39; 5; 82; 54; 67; 82; 12; 29; 10; 80
19,43,0.43839,0.44186,27; 19; 50; 21; 33; 61; 43; 81; 21; 20
6,9,0.76954,0.66667,12; 6; 47; 7; 7; 17; 9; 42; 50; 42
5,6,0.70687,0.83333,65; 5; 51; 32; 67; 77; 6; 7; 74; 65
43,44,0.94158,0.97727,16; 43; 69; 44; 22; 40; 44; 41; 62; 28
12,31,0.39403,0.3871,76; 12; 75; 68; 35; 33; 31; 18; 51; 43
16,24,0.6483,0.66667,61; 16; 63; 34; 85; 54; 24; 42; 10; 76
35,67,0.52432,0.52239,47; 35; 18; 77; 17; 34; 67; 7; 63; 84
18,19,0.74558,0.94737,79; 18; 63; 11; 23; 75; 19; 23; 43; 77
12,36,0.34985,0.33333,58; 12; 11; 24; 12; 70; 36; 39; 21; 61
8,42,0.19354,0.19048,40; 8; 32; 34; 52; 73; 42; 45; 45; 83
24,31,0.7964,0.77419,18; 24; 54; 68; 40; 47; 31; 79; 29; 10
10,31,0.30238,0.32258,31; 10; 84; 21; 70; 54; 31; 49; 65; 35
27,36,0.82761,0.75,25; 27; 14; 75; 42; 21; 36; 31; 30; 56
