ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
5,7,0.75011,0.71429,79; 5; 59; 33; 50; 74; 7; 8; 17; 35
7,35,0.505,0.2,31; 7; 83; 53; 18; 76; 35; 47; 30; 56
17,81,0.75107,0.20988,85; 17; 20; 74; 84; 19; 81; 28; 65; 68
9,17,0.6154,0.52941,53; 9; 31; 14; 69; 70; 17; 67; 60; 24
6,35,0.48324,0.17143,62; 6; 79; 39; 67; 46; 35; 40; 49; 13
24,48,0.68961,0.5,21; 24; 10; 73; 17; 77; 48; 53; 78; 38
66,74,0.64284,0.89189,17; 66; 5; 80; 50; 70; 74; 10; 56; 25
30,48,0.6821,0.625,12; 30; 27; 73; 55; 43; 48; 24; 36; 46
13,48,0.74071,0.27083,50; 13; 18; 79; 44; 76; 48; 75; 23; 23
5,7,0.74728,0.71429,20; 5; 50; 37; 9; 20; 7; 39; 9; 60
40,47,0.6949,0.85106,78; 40; 34; 78; 78; 74; 47; 10; 13; 58
13,14,0.93536,0.92857,35; 13; 34; 78; 45; 77; 14; 47; 27; 22
13,14,0.92538,0.92857,52; 13; 33; 36; 44; 60; 14; 43; 37; 60
13,35,0.75424,0.37143,67; 13; 68; 26; 39; 50; 35; 23; 60; 11
16,17,0.84722,0.94118,50; 16; 17; 49; 52; 74; 17; 41; 74; 19
6,7,0.77135,0.85714,58; 6; 36; 18; 50; 12; 7; 85; 52; 66
14,20,0.88707,0.7,27; 14; 33; 27; 79; 30; 20; 32; 56; 32
13,20,0.8281,0.65,82; 13; 79; 67; 12; 27; 20; 84; 69; 83
13,14,0.92339,0.92857,15; 13; 52; 23; 69; 85; 14; 60; 33; 34
8,20,0.54237,0.4,15; 8; 76; 69; 40; 59; 20; 12; 77; 13
28,30,0.70286,0.93333,33; 28; 53; 38; 58; 13; 30; 22; 55; 62
19,30,0.58995,0.63333,55; 19; 57; 7; 20; 25; 30; 23; 57; 78
60,81,0.70442,0.74074,37; 60; 12; 63; 47; 37; 81; 84; 51; 13
10,72,0.67905,0.13889,52; 10; 8; 47; 21; 51; 72; 29; 69; 13
20,47,0.68317,0.42553,73; 20; 37; 56; 82; 63; 47; 7; 54; 38
39,48,0.69318,0.8125,62; 39; 29; 59; 27; 43; 48; 71; 43; 48
5,7,0.77771,0.71429,32; 5; 73; 80; 62; 50; 7; 12; 22; 36
30,37,0.67196,0.81081,72; 30; 23; 63; 24; 40; 37; 5; 55; 41
37,48,0.71511,0.77083,44; 37; 55; 57; 11; 62; 48; 36; 71; 71
16,30,0.73749,0.53333,37; 16; 73; 13; 55; 79; 30; 35; 28; 57
7,43,0.62585,0.16279,65; 7; 38; 64; 24; 13; 43; 69; 40; 19
11,14,0.82717,0.78571,67; 11; 38; 83; 32; 85; 14; 85; 74; 10
41,74,0.67505,0.55405,14; 41; 25; 26; 11; 81; 74; 7; 17; 39
14,35,0.77766,0.4,10; 14; 17; 30; 15; 44; 35; 13; 45; 49
49,81,0.71537,0.60494,67; 49; 75; 20; 59; 60; 81; 31; 15; 29
5,20,0.34233,0.25,75; 5; 57; 28; 17; 63; 20; 78; 11; 73
31,50,0.68318,0.62,66; 31; 35; 68; 61; 71; 50; 71; 20; 51
29,81,0.63897,0.35802,25; 29; 27; 63; 65; 83; 81; 56; 21; 83
27,35,0.7039,0.77143,7; 27; 71; 38; 12; 42; 35; 81; 19; 27
17,47,0.72451,0.3617,45; 17; 53; 68; 56; 70; 47; 34; 49; 7
18,47,0.716,0.38298,14; 18; 44; 78; 29; 78; 47; 45; 74; 15
18,35,0.77962,0.51429,7; 18; 79; 84; 60; 72; 35; 22; 23; 17
32,56,0.65868,0.57143,34; 32; 72; 53; 22; 74; 56; 41; 58; 85
31,74,0.70755,0.41892,72; 31; 19; 60; 9; 83; 74; 39; 76; 18
61,72,0.68952,0.84722,75; 61; 19; 36; 28; 58; 72; 23; 54; 47
10,14,0.74469,0.71429,23; 10; 41; 26; 78; 64; 14; 36; 40; 14
6,37,0.46469,0.16216,45; 6; 61; 36; 59; 58; 37; 65; 41; 25
11,14,0.84541,0.78571,23; 11; 32; 53; 75; 38; 14; 6; 52; 32
8,47,0.56869,0.17021,21; 8; 76; 85; 46; 58; 47; 60; 21; 82
25,30,0.7175,0.83333,65; 25; 51; 38; 19; 30; 30; 46; 67; 54
17,50,0.70128,0.34,71; 17; 49; 58; 70; 55; 50; 20; 67; 80
23,56,0.7352,0.41071,17; 23; 68; 44; 79; 25; 56; 8; 79; 77
34,43,0.66875,0.7907,8; 34; 64; 43; 16; 9; 43; 9; 21; 44
24,30,0.70492,0.8,85; 24; 49; 55; 9; 60; 30; 80; 39; 19
25,30,0.6966,0.83333,37; 25; 55; 71; 34; 83; 30; 31; 14; 10
44,47,0.68653,0.93617,10; 44; 51; 45; 61; 37; 47; 42; 20; 65
24,43,0.70281,0.55814,22; 24; 50; 23; 78; 26; 43; 84; 66; 70
67,72,0.72017,0.93056,39; 67; 51; 69; 71; 7; 72; 73; 9; 32
51,56,0.67874,0.91071,74; 51; 9; 72; 56; 23; 56; 33; 57; 15
7,14,0.50269,0.5,35; 7; 40; 82; 9; 30; 14; 68; 68; 74
6,7,0.7611,0.85714,45; 6; 71; 63; 16; 16; 7; 41; 58; 66
13,47,0.74553,0.2766,56; 13; 49; 56; 15; 16; 47; 57; 59; 80
55,81,0.66606,0.67901,15; 55; 20; 72; 73; 82; 81; 77; 14; 32
6,17,0.46591,0.35294,33; 6; 25; 54; 36; 41; 17; 20; 69; 80
7,30,0.53505,0.23333,45; 7; 11; 77; 22; 40; 30; 26; 29; 34
41,62,0.68161,0.66129,37; 41; 67; 57; 8; 51; 62; 63; 49; 75
24,56,0.69831,0.42857,22; 24; 28; 75; 35; 48; 56; 57; 83; 24
25,37,0.69298,0.67568,21; 25; 21; 39; 44; 25; 37; 21; 84; 71
49,74,0.68298,0.66216,80; 49; 70; 13; 9; 5; 74; 28; 79; 82
51,72,0.6732,0.70833,46; 51; 60; 23; 46; 21; 72; 85; 79; 71
45,56,0.67681,0.80357,24; 45; 58; 62; 21; 51; 56; 68; 17; 51
23,72,0.6822,0.31944,75; 23; 30; 22; 82; 54; 72; 52; 54; 78
53,74,0.63678,0.71622,19; 53; 43; 36; 33; 49; 74; 59; 30; 77
33,74,0.67503,0.44595,43; 33; 79; 33; 53; 19; 74; 68; 47; 33
9,62,0.6864,0.14516,33; 9; 30; 78; 83; 57; 62; 8; 26; 61
32,43,0.67706,0.74419,47; 32; 45; 61; 20; 21; 43; 34; 79; 17
34,37,0.6739,0.91892,45; 34; 21; 79; 69; 5; 37; 37; 74; 56
25,74,0.6801,0.33784,68; 25; 36; 50; 61; 57; 74; 75; 73; 13
16,56,0.72318,0.28571,42; 16; 28; 56; 83; 16; 56; 30; 14; 23
20,50,0.70519,0.4,26; 20; 82; 78; 29; 62; 50; 17; 61; 41
50,81,0.68902,0.61728,59; 50; 9; 55; 64; 15; 81; 46; 15; 19
42,62,0.69727,0.67742,69; 42; 52; 85; 77; 85; 62; 53; 67; 27
