ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
20,67,0.30078,0.29851,59; 20; 6; 62; 45; 62; 67; 11; 71; 83
10,65,0.18135,0.15385,47; 10; 25; 74; 63; 39; 65; 62; 79; 63
54,81,0.67287,0.66667,39; 54; 29; 66; 82; 61; 81; 64; 28; 7
36,72,0.50393,0.5,37; 36; 63; 8; 77; 16; 72; 17; 80; 59
19,38,0.49249,0.5,19; 19; 31; 65; 33; 64; 38; 43; 63; 57
13,39,0.33905,0.33333,14; 13; 13; 84; 62; 70; 39; 30; 75; 35
6,12,0.46793,0.5,47; 6; 53; 8; 47; 31; 12; 24; 59; 18
30,63,0.46861,0.47619,43; 30; 25; 12; 51; 72; 63; 17; 24; 80
44,84,0.52575,0.52381,46; 44; 78; 19; 82; 70; 84; 52; 43; 72
5,56,0.15433,0.08929,10; 5; 5; 32; 85; 85; 56; 39; 37; 79
12,23,0.50693,0.52174,7; 12; 78; 84; 8; 13; 23; 71; 71; 29
35,69,0.49909,0.50725,31; 35; 59; 70; 43; 73; 69; 27; 83; 32
6,66,0.12902,0.09091,45; 6; 58; 74; 27; 9; 66; 47; 14; 23
31,40,0.78053,0.775,62; 31; 56; 13; 14; 47; 40; 80; 9; 60
39,81,0.48491,0.48148,29; 39; 82; 85; 81; 7; 81; 29; 5; 52
14,62,0.23143,0.22581,18; 14; 56; 71; 45; 69; 62; 57; 24; 74
26,83,0.32646,0.31325,84; 26; 29; 52; 75; 72; 83; 42; 82; 64
6,70,0.10005,0.08571,54; 6; 69; 62; 76; 68; 70; 34; 79; 22
26,51,0.51061,0.5098,83; 26; 32; 77; 76; 28; 51; 85; 44; 50
77,79,0.93204,0.97468,65; 77; 76; 14; 9; 28; 79; 20; 61; 69
14,75,0.18702,0.18667,55; 14; 6; 32; 25; 59; 75; 68; 72; 64
14,75,0.18582,0.18667,17; 14; 11; 83; 70; 14; 75; 37; 11; 17
6,64,0.12985,0.09375,67; 6; 81; 61; 16; 25; 64; 16; 57; 38
31,60,0.512,0.51667,64; 31; 50; 19; 28; 22; 60; 9; 24; 53
26,85,0.32794,0.30588,75; 26; 46; 85; 65; 57; 85; 77; 66; 55
63,65,0.94588,0.96923,42; 63; 27; 56; 77; 5; 65; 9; 52; 83
25,50,0.49562,0.5,35; 25; 16; 46; 69; 52; 50; 46; 48; 39
41,61,0.67631,0.67213,12; 41; 37; 63; 22; 54; 61; 81; 70; 7
11,22,0.48279,0.5,24; 11; 79; 5; 47; 26; 22; 59; 62; 78
26,79,0.34333,0.32911,45; 26; 8; 81; 9; 26; 79; 13; 85; 9
17,54,0.32406,0.31481,9; 17; 28; 49; 28; 41; 54; 18; 22; 7
14,62,0.22784,0.22581,13; 14; 32; 25; 84; 55; 62; 9; 67; 19
59,76,0.76242,0.77632,9; 59; 78; 57; 66; 5; 76; 64; 41; 5
7,75,0.10144,0.09333,56; 7; 23; 9; 26; 8; 75; 50; 36; 79
44,68,0.64045,0.64706,77; 44; 30; 7; 16; 35; 68; 53; 15; 69
