ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
5,30,0.37893,0.16667,19; 12; 26; 5; 9; 22; 15; 30
32,43,0.64026,0.74419,20; 22; 5; 32; 10; 13; 11; 43
35,43,0.71787,0.81395,8; 13; 17; 35; 10; 15; 8; 43
34,81,0.397,0.41975,12; 4; 9; 34; 5; 4; 4; 81
23,30,0.89068,0.76667,16; 23; 23; 23; 18; 18; 11; 30
32,47,0.60713,0.68085,6; 22; 5; 32; 15; 11; 13; 47
27,37,0.82721,0.72973,10; 12; 19; 27; 14; 17; 19; 37
8,37,0.28712,0.21622,21; 28; 4; 8; 14; 9; 13; 37
36,81,0.37101,0.44444,16; 8; 5; 36; 4; 3; 3; 81
5,48,0.24709,0.10417,28; 31; 14; 5; 14; 13; 8; 48
37,74,0.46528,0.5,10; 12; 18; 37; 8; 7; 7; 74
28,43,0.65283,0.65116,3; 9; 13; 28; 10; 15; 14; 43
33,74,0.44809,0.44595,20; 3; 11; 33; 7; 8; 5; 74
24,50,0.60891,0.48,14; 17; 7; 24; 13; 3; 15; 50
23,43,0.7472,0.53488,12; 5; 12; 23; 8; 9; 10; 43
22,62,0.34336,0.35484,11; 13; 22; 22; 7; 11; 9; 62
25,35,0.85824,0.71429,6; 23; 4; 25; 21; 3; 20; 35
11,50,0.28789,0.22,22; 14; 13; 11; 6; 10; 9; 50
6,7,0.15232,0.85714,21; 25; 20; 6; 17; 4; 10; 7
21,56,0.37952,0.375,13; 8; 22; 21; 7; 9; 5; 56
14,56,0.22396,0.25,20; 25; 16; 14; 14; 13; 7; 56
10,35,0.28847,0.28571,5; 17; 5; 10; 18; 6; 5; 35
47,56,0.67821,0.83929,12; 15; 16; 47; 7; 5; 11; 56
18,56,0.27662,0.32143,7; 11; 3; 18; 4; 4; 7; 56
5,50,0.19697,0.1,26; 31; 4; 5; 12; 14; 6; 50
64,81,0.83382,0.79012,9; 5; 6; 64; 3; 5; 5; 81
15,17,0.49849,0.88235,8; 20; 10; 15; 3; 10; 22; 17
55,74,0.79986,0.74324,3; 13; 12; 55; 7; 8; 3; 74
7,56,0.11511,0.125,13; 26; 16; 7; 3; 5; 13; 56
39,47,0.68253,0.82979,10; 11; 10; 39; 11; 16; 10; 47
32,48,0.72529,0.66667,20; 10; 18; 32; 12; 11; 16; 48
21,47,0.50235,0.44681,14; 11; 18; 21; 17; 15; 5; 47
33,35,0.79544,0.94286,20; 9; 8; 33; 5; 5; 16; 35
6,14,0.23783,0.42857,19; 8; 23; 6; 18; 17; 23; 14
37,62,0.61192,0.59677,10; 13; 17; 37; 3; 6; 9; 62
31,48,0.62598,0.64583,15; 21; 17; 31; 3; 4; 10; 48
5,7,0.1002,0.71429,26; 28; 17; 5; 27; 11; 6; 7
25,50,0.61613,0.5,7; 18; 4; 25; 3; 16; 6; 50
9,20,0.33853,0.45,26; 19; 27; 9; 23; 4; 25; 20
14,20,0.51911,0.7,25; 13; 27; 14; 4; 10; 23; 20
5,7,0.10933,0.71429,19; 28; 15; 5; 21; 23; 25; 7
38,48,0.60042,0.79167,6; 13; 9; 38; 6; 15; 11; 48
5,7,0.2059,0.71429,5; 8; 24; 5; 5; 16; 23; 7
22,37,0.67459,0.59459,23; 16; 10; 22; 14; 10; 4; 37
7,48,0.2484,0.14583,12; 18; 15; 7; 7; 7; 8; 48
54,56,0.78253,0.96429,9; 7; 14; 54; 13; 5; 11; 56
16,43,0.50953,0.37209,22; 16; 21; 16; 3; 14; 5; 43
5,7,0.19989,0.71429,26; 10; 4; 5; 7; 27; 7; 7
21,48,0.60578,0.4375,22; 17; 11; 21; 12; 7; 8; 48
10,72,0.0897,0.13889,4; 27; 19; 10; 3; 7; 6; 72
5,37,0.24989,0.13514,7; 24; 10; 5; 4; 17; 15; 37
6,50,0.1542,0.12,25; 17; 10; 6; 5; 15; 14; 50
8,62,0.1419,0.12903,18; 9; 16; 8; 7; 12; 5; 62
73,81,0.88652,0.90123,6; 8; 4; 73; 3; 4; 4; 81
26,30,0.96355,0.86667,19; 23; 11; 26; 18; 14; 15; 30
21,37,0.6232,0.56757,17; 14; 5; 21; 14; 4; 15; 37
15,56,0.36564,0.26786,5; 10; 24; 15; 10; 6; 14; 56
35,50,0.61534,0.7,14; 21; 5; 35; 16; 12; 4; 50
31,50,0.54471,0.62,18; 7; 22; 31; 12; 8; 5; 50
9,14,0.29423,0.64286,14; 9; 8; 9; 12; 28; 6; 14
6,14,0.18276,0.42857,27; 7; 30; 6; 26; 11; 28; 14
31,37,0.87638,0.83784,19; 16; 5; 31; 14; 13; 13; 37
57,72,0.77319,0.79167,4; 13; 13; 57; 3; 3; 6; 72
14,17,0.48752,0.82353,7; 14; 14; 14; 23; 3; 13; 17
27,72,0.40405,0.375,20; 11; 9; 27; 7; 8; 5; 72
5,74,0.16344,0.06757,28; 14; 31; 5; 6; 7; 3; 74
38,43,0.66174,0.88372,9; 8; 18; 38; 17; 9; 6; 43
46,47,0.66285,0.97872,3; 17; 3; 46; 17; 17; 9; 47
18,74,0.27838,0.24324,24; 13; 13; 18; 7; 5; 8; 74
14,17,0.38378,0.82353,11; 22; 22; 14; 3; 7; 21; 17
11,14,0.26636,0.78571,22; 21; 11; 11; 23; 9; 14; 14
5,17,0.22483,0.29412,24; 24; 22; 5; 5; 11; 26; 17
31,50,0.57335,0.62,21; 17; 7; 31; 15; 5; 13; 50
6,14,0.33511,0.42857,11; 18; 3; 6; 20; 20; 20; 14
52,56,0.72741,0.92857,4; 9; 7; 52; 9; 12; 6; 56
9,14,0.23797,0.64286,6; 16; 27; 9; 18; 24; 21; 14
23,47,0.72122,0.48936,22; 18; 19; 23; 16; 3; 14; 47
5,7,0.17525,0.71429,28; 6; 14; 5; 3; 5; 7; 7
