ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
50,81,0.6169,0.61728,6; 10; 10; 50; 3; 4; 4; 81
56,76,0.7254,0.73684,4; 11; 12; 56; 4; 3; 5; 76
12,13,0.64389,0.92308,8; 4; 17; 12; 14; 23; 25; 13
42,58,0.74377,0.72414,4; 17; 7; 42; 7; 11; 9; 58
46,74,0.60937,0.62162,5; 15; 10; 46; 8; 5; 4; 74
28,39,0.64316,0.71795,20; 18; 20; 28; 10; 9; 18; 39
35,44,0.74169,0.79545,14; 13; 17; 35; 15; 12; 14; 44
60,82,0.70904,0.73171,5; 6; 8; 60; 5; 4; 5; 82
29,31,0.78121,0.93548,11; 3; 21; 29; 16; 21; 7; 31
8,84,0.11638,0.09524,22; 26; 24; 8; 3; 3; 4; 84
20,31,0.66705,0.64516,12; 22; 20; 20; 22; 8; 3; 31
71,77,0.94406,0.92208,4; 4; 3; 71; 7; 3; 7; 77
11,17,0.7574,0.64706,10; 28; 8; 11; 9; 5; 17; 17
7,21,0.33355,0.33333,5; 4; 9; 7; 12; 4; 20; 21
20,51,0.37006,0.39216,7; 26; 10; 20; 13; 13; 8; 51
21,30,0.65571,0.7,12; 20; 24; 21; 11; 10; 10; 30
28,39,0.71584,0.71795,5; 5; 5; 28; 17; 5; 3; 39
51,71,0.69052,0.71831,6; 15; 13; 51; 9; 6; 7; 71
24,62,0.38204,0.3871,15; 6; 13; 24; 11; 9; 10; 62
39,48,0.74534,0.8125,4; 7; 10; 39; 6; 15; 4; 48
31,44,0.69459,0.70455,20; 10; 14; 31; 13; 11; 14; 44
76,82,0.94171,0.92683,5; 5; 7; 76; 5; 3; 4; 82
51,54,0.80422,0.94444,13; 13; 15; 51; 9; 12; 10; 54
32,83,0.37182,0.38554,17; 13; 17; 32; 3; 5; 3; 83
29,36,0.7837,0.80556,18; 6; 3; 29; 16; 19; 3; 36
15,38,0.39057,0.39474,3; 11; 21; 15; 12; 19; 20; 38
17,21,0.6786,0.80952,25; 8; 7; 17; 24; 13; 19; 21
29,75,0.32693,0.38667,7; 8; 9; 29; 4; 7; 4; 75
67,73,0.93409,0.91781,9; 9; 8; 67; 8; 3; 6; 73
27,29,0.70383,0.93103,8; 13; 8; 27; 15; 3; 10; 29
35,57,0.64668,0.61404,7; 12; 16; 35; 6; 6; 7; 57
45,49,0.82094,0.91837,9; 7; 11; 45; 5; 11; 9; 49
14,20,0.71176,0.7,18; 24; 9; 14; 10; 17; 9; 20
12,30,0.44136,0.4,25; 15; 18; 12; 4; 10; 21; 30
17,21,0.68701,0.80952,3; 11; 6; 17; 21; 13; 16; 21
43,69,0.6266,0.62319,5; 17; 17; 43; 3; 8; 4; 69
21,48,0.39729,0.4375,6; 11; 13; 21; 10; 6; 11; 48
51,73,0.68721,0.69863,9; 8; 14; 51; 3; 7; 8; 73
43,59,0.68805,0.72881,15; 7; 17; 43; 7; 11; 7; 59
56,70,0.77706,0.8,4; 3; 8; 56; 7; 5; 5; 70
49,66,0.70489,0.74242,3; 15; 15; 49; 9; 3; 6; 66
48,67,0.69924,0.71642,14; 13; 11; 48; 3; 4; 7; 67
39,54,0.71027,0.72222,9; 15; 16; 39; 3; 5; 14; 54
8,20,0.36412,0.4,8; 28; 17; 8; 4; 26; 21; 20
28,63,0.48514,0.44444,20; 7; 7; 28; 6; 3; 6; 63
62,67,0.93042,0.92537,5; 3; 10; 62; 4; 10; 5; 67
9,66,0.15612,0.13636,18; 9; 28; 9; 10; 8; 8; 66
34,84,0.38844,0.40476,11; 9; 20; 34; 3; 3; 4; 84
54,59,0.81571,0.91525,14; 10; 12; 54; 9; 8; 7; 59
75,81,0.93427,0.92593,7; 3; 7; 75; 3; 3; 4; 81
37,46,0.74113,0.80435,13; 6; 20; 37; 9; 14; 11; 46
28,70,0.3932,0.4,14; 8; 4; 28; 9; 3; 9; 70
7,70,0.10469,0.1,19; 28; 28; 7; 7; 6; 5; 70
51,78,0.64406,0.65385,15; 6; 4; 51; 4; 4; 3; 78
32,83,0.39416,0.38554,19; 8; 21; 32; 3; 4; 4; 83
6,61,0.12925,0.09836,15; 7; 22; 6; 12; 5; 3; 61
34,47,0.72948,0.7234,19; 6; 21; 34; 11; 8; 9; 47
10,73,0.14057,0.13699,16; 7; 18; 10; 6; 7; 4; 73
7,16,0.51062,0.4375,16; 22; 16; 7; 22; 27; 24; 16
10,30,0.26065,0.33333,27; 8; 29; 10; 17; 12; 19; 30
15,46,0.3245,0.32609,19; 6; 4; 15; 10; 16; 16; 46
24,39,0.59241,0.61538,23; 10; 21; 24; 10; 8; 10; 39
23,70,0.33026,0.32857,9; 19; 11; 23; 5; 4; 3; 70
24,30,0.71971,0.8,14; 18; 24; 24; 5; 9; 8; 30
26,42,0.63587,0.61905,21; 7; 18; 26; 4; 15; 8; 42
27,81,0.32991,0.33333,23; 22; 17; 27; 4; 5; 3; 81
60,83,0.68719,0.72289,4; 11; 9; 60; 5; 5; 5; 83
49,80,0.62157,0.6125,10; 15; 10; 49; 6; 4; 5; 80
33,45,0.71257,0.73333,4; 5; 12; 33; 12; 16; 8; 45
59,73,0.80994,0.80822,8; 8; 5; 59; 6; 3; 6; 73
31,42,0.69653,0.7381,22; 22; 5; 31; 17; 9; 17; 42
49,61,0.76203,0.80328,12; 3; 12; 49; 10; 11; 10; 61
5,32,0.19942,0.15625,19; 11; 21; 5; 15; 11; 17; 32
57,62,0.87947,0.91935,3; 4; 13; 57; 6; 7; 9; 62
8,79,0.10989,0.10127,27; 29; 12; 8; 5; 6; 4; 79
31,50,0.63721,0.62,5; 6; 5; 31; 10; 9; 15; 50
52,80,0.63648,0.65,14; 14; 8; 52; 6; 4; 3; 80
63,67,0.93264,0.9403,10; 6; 3; 63; 10; 5; 3; 67
52,64,0.80756,0.8125,7; 6; 10; 52; 6; 4; 8; 64
41,44,0.82742,0.93182,17; 12; 13; 41; 17; 10; 4; 44
44,71,0.58832,0.61972,9; 14; 6; 44; 7; 8; 9; 71
47,51,0.78068,0.92157,12; 11; 8; 47; 3; 8; 4; 51
8,51,0.18615,0.15686,22; 19; 3; 8; 14; 11; 5; 51
56,60,0.84347,0.93333,6; 8; 14; 56; 7; 3; 11; 60
66,72,0.9338,0.91667,7; 8; 5; 66; 5; 7; 4; 72
17,43,0.36418,0.39535,24; 21; 15; 17; 4; 10; 5; 43
58,83,0.67324,0.6988,6; 9; 7; 58; 5; 5; 4; 83
43,66,0.64058,0.65152,8; 9; 12; 43; 7; 6; 3; 66
8,13,0.63479,0.61538,29; 6; 3; 8; 3; 11; 22; 13
35,47,0.71475,0.74468,7; 16; 10; 35; 12; 4; 15; 47
13,14,0.75791,0.92857,13; 3; 16; 13; 4; 6; 16; 14
27,69,0.34505,0.3913,15; 23; 12; 27; 5; 7; 8; 69
65,69,0.95708,0.94203,3; 9; 4; 65; 8; 8; 3; 69
19,47,0.39402,0.40426,17; 4; 16; 19; 11; 9; 10; 47
57,77,0.68954,0.74026,8; 12; 6; 57; 7; 7; 3; 77
28,45,0.64118,0.62222,11; 6; 10; 28; 9; 6; 5; 45
15,46,0.31154,0.32609,4; 27; 11; 15; 8; 8; 8; 46
55,60,0.84286,0.91667,12; 3; 9; 55; 8; 4; 3; 60
11,69,0.16907,0.15942,5; 20; 17; 11; 8; 6; 3; 69
18,25,0.68446,0.72,8; 13; 7; 18; 17; 21; 7; 25
59,64,0.8861,0.92188,5; 10; 6; 59; 8; 11; 9; 64
17,52,0.31102,0.32692,15; 19; 8; 17; 12; 15; 6; 52
21,30,0.64097,0.7,17; 25; 24; 21; 21; 11; 10; 30
30,77,0.38399,0.38961,22; 8; 5; 30; 6; 6; 5; 77
55,84,0.63707,0.65476,10; 7; 13; 55; 3; 3; 4; 84
42,68,0.6277,0.61765,12; 4; 15; 42; 4; 10; 8; 68
69,74,0.96684,0.93243,9; 4; 9; 69; 4; 6; 4; 74
7,50,0.17149,0.14,10; 9; 17; 7; 12; 12; 6; 50
24,54,0.43968,0.44444,22; 22; 12; 24; 4; 6; 9; 54
16,41,0.36811,0.39024,14; 26; 25; 16; 16; 5; 17; 41
12,27,0.46864,0.44444,27; 15; 21; 12; 10; 10; 19; 27
44,55,0.75058,0.8,9; 11; 6; 44; 10; 3; 3; 55
34,56,0.60712,0.60714,5; 6; 3; 34; 8; 14; 11; 56
69,75,0.93444,0.92,4; 6; 7; 69; 7; 7; 3; 75
21,64,0.31827,0.32812,15; 6; 18; 21; 7; 10; 4; 64
55,68,0.78895,0.80882,6; 7; 5; 55; 3; 4; 9; 68
45,61,0.71887,0.7377,4; 6; 10; 45; 6; 6; 11; 61
63,78,0.78442,0.80769,11; 3; 8; 63; 5; 5; 3; 78
9,66,0.14824,0.13636,16; 14; 4; 9; 3; 6; 10; 66
8,24,0.30028,0.33333,18; 15; 13; 8; 23; 3; 14; 24
39,49,0.77124,0.79592,12; 12; 14; 39; 16; 9; 9; 49
62,85,0.70024,0.72941,8; 6; 3; 62; 4; 3; 3; 85
42,57,0.7146,0.73684,9; 18; 15; 42; 4; 5; 10; 57
8,56,0.15727,0.14286,17; 18; 4; 8; 4; 3; 11; 56
54,58,0.84111,0.93103,6; 5; 10; 54; 3; 8; 4; 58
38,41,0.81131,0.92683,20; 3; 13; 38; 7; 3; 16; 41
48,51,0.81463,0.94118,4; 12; 11; 48; 13; 12; 10; 51
51,79,0.63672,0.64557,15; 12; 11; 51; 6; 3; 4; 79
53,74,0.69351,0.71622,6; 13; 11; 53; 3; 4; 6; 74
8,24,0.29233,0.33333,3; 23; 10; 8; 15; 11; 17; 24
8,78,0.11116,0.10256,23; 22; 26; 8; 5; 4; 3; 78
31,71,0.44184,0.43662,13; 18; 12; 31; 6; 3; 9; 71
22,27,0.75404,0.81481,6; 3; 21; 22; 16; 20; 9; 27
35,38,0.74939,0.92105,15; 16; 7; 35; 8; 14; 6; 38
13,20,0.56587,0.65,24; 13; 17; 13; 24; 10; 14; 20
58,72,0.83359,0.80556,3; 5; 6; 58; 8; 3; 4; 72
28,35,0.74104,0.8,22; 6; 20; 28; 19; 5; 7; 35
27,44,0.59108,0.61364,22; 17; 10; 27; 6; 7; 17; 44
52,56,0.82289,0.92857,5; 9; 10; 52; 14; 12; 7; 56
29,66,0.39357,0.43939,6; 7; 13; 29; 7; 6; 7; 66
24,30,0.71178,0.8,17; 13; 8; 24; 12; 3; 12; 30
13,80,0.14819,0.1625,14; 5; 4; 13; 4; 6; 6; 80
9,23,0.40009,0.3913,26; 12; 16; 9; 20; 21; 18; 23
20,33,0.62454,0.60606,3; 26; 25; 20; 11; 10; 16; 33
79,84,0.93478,0.94048,5; 6; 4; 79; 4; 4; 3; 84
12,27,0.39827,0.44444,7; 25; 27; 12; 21; 16; 21; 27
5,37,0.18818,0.13514,3; 17; 21; 5; 16; 5; 15; 37
61,66,0.92277,0.92424,8; 12; 11; 61; 7; 10; 10; 66
45,48,0.79583,0.9375,17; 7; 7; 45; 12; 5; 6; 48
9,55,0.16207,0.16364,5; 20; 7; 9; 4; 5; 5; 55
78,85,0.95281,0.91765,3; 5; 3; 78; 3; 3; 4; 85
25,62,0.43584,0.40323,14; 3; 23; 25; 11; 4; 6; 62
34,78,0.44087,0.4359,5; 12; 6; 34; 3; 5; 4; 78
21,64,0.32511,0.32812,13; 18; 16; 21; 5; 6; 11; 64
6,44,0.19519,0.13636,14; 28; 16; 6; 11; 4; 6; 44
63,78,0.80256,0.80769,11; 5; 11; 63; 3; 6; 6; 78
5,35,0.17489,0.14286,30; 23; 27; 5; 15; 15; 17; 35
63,79,0.77212,0.79747,3; 9; 8; 63; 3; 4; 4; 79
54,59,0.82718,0.91525,7; 6; 5; 54; 4; 8; 8; 59
58,63,0.87108,0.92063,11; 7; 10; 58; 5; 7; 4; 63
33,54,0.60118,0.61111,21; 11; 18; 33; 14; 7; 10; 54
23,32,0.75526,0.71875,9; 17; 15; 23; 9; 19; 21; 32
28,70,0.37514,0.4,8; 16; 12; 28; 9; 4; 8; 70
33,85,0.36851,0.38824,16; 3; 12; 33; 4; 4; 4; 85
19,27,0.67289,0.7037,14; 16; 19; 19; 18; 18; 9; 27
22,34,0.65251,0.64706,22; 18; 7; 22; 18; 21; 9; 34
51,69,0.73856,0.73913,4; 8; 8; 51; 9; 9; 3; 69
63,85,0.72748,0.74118,4; 11; 11; 63; 3; 3; 4; 85
39,60,0.66984,0.65,14; 16; 13; 39; 10; 6; 5; 60
45,49,0.81144,0.91837,4; 16; 16; 45; 10; 7; 9; 49
7,50,0.14266,0.14,20; 27; 8; 7; 9; 4; 11; 50
45,69,0.64297,0.65217,11; 14; 5; 45; 7; 7; 8; 69
55,60,0.84426,0.91667,3; 7; 9; 55; 4; 10; 8; 60
53,82,0.64224,0.64634,8; 3; 3; 53; 4; 3; 5; 82
63,68,0.91667,0.92647,8; 11; 9; 63; 3; 10; 4; 68
7,49,0.18088,0.14286,26; 18; 30; 7; 15; 6; 3; 49
27,70,0.33288,0.38571,17; 5; 18; 27; 6; 7; 8; 70
11,77,0.13983,0.14286,5; 13; 27; 11; 6; 7; 5; 77
22,56,0.44375,0.39286,18; 11; 18; 22; 9; 11; 8; 56
61,75,0.8178,0.81333,12; 8; 9; 61; 3; 6; 7; 75
24,26,0.69874,0.92308,9; 24; 3; 24; 14; 13; 3; 26
79,85,0.96653,0.92941,3; 5; 5; 79; 3; 3; 3; 85
5,32,0.17801,0.15625,14; 16; 24; 5; 10; 21; 15; 32
29,75,0.38504,0.38667,4; 23; 9; 29; 4; 3; 4; 75
24,62,0.37893,0.3871,12; 8; 21; 24; 12; 3; 4; 62
13,18,0.73579,0.72222,10; 25; 25; 13; 23; 26; 19; 18
59,80,0.70075,0.7375,7; 13; 10; 59; 4; 6; 4; 80
43,61,0.68268,0.70492,8; 17; 15; 43; 4; 7; 8; 61
45,74,0.59591,0.60811,11; 6; 6; 45; 8; 3; 3; 74
29,75,0.37489,0.38667,12; 5; 14; 29; 3; 3; 5; 75
55,79,0.66695,0.6962,3; 8; 9; 55; 4; 4; 5; 79
12,15,0.70384,0.8,17; 17; 10; 12; 6; 24; 17; 15
7,50,0.15239,0.14,27; 20; 6; 7; 15; 4; 7; 50
34,42,0.75472,0.80952,19; 9; 5; 34; 12; 8; 6; 42
11,67,0.17825,0.16418,26; 9; 17; 11; 10; 10; 10; 67
17,42,0.40838,0.40476,22; 4; 10; 17; 13; 14; 8; 42
42,58,0.71848,0.72414,6; 11; 4; 42; 13; 13; 8; 58
66,82,0.80542,0.80488,8; 9; 9; 66; 3; 4; 4; 82
31,43,0.67356,0.72093,3; 6; 19; 31; 15; 18; 8; 43
12,27,0.44095,0.44444,17; 21; 26; 12; 22; 20; 16; 27
44,54,0.76973,0.81481,6; 8; 15; 44; 10; 6; 12; 54
