ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
16,54,0.30261,0.2963,11; 21; 22; 16; 5; 5; 3; 54
31,53,0.60458,0.58491,13; 7; 21; 31; 5; 10; 14; 53
16,70,0.23438,0.22857,7; 8; 23; 16; 5; 8; 8; 70
18,35,0.48726,0.51429,24; 11; 11; 18; 16; 11; 13; 35
12,64,0.1578,0.1875,11; 24; 21; 12; 7; 6; 4; 64
12,36,0.32931,0.33333,10; 18; 10; 12; 11; 13; 10; 36
63,65,0.9729,0.96923,8; 7; 5; 63; 3; 5; 6; 65
27,37,0.69936,0.72973,7; 13; 12; 27; 16; 6; 5; 37
29,62,0.46717,0.46774,20; 5; 18; 29; 8; 4; 6; 62
22,74,0.30892,0.2973,16; 16; 20; 22; 6; 7; 3; 74
19,57,0.35752,0.33333,15; 7; 23; 19; 13; 4; 4; 57
15,49,0.32831,0.30612,27; 7; 8; 15; 11; 15; 8; 49
12,23,0.5389,0.52174,22; 21; 20; 12; 11; 14; 9; 23
35,73,0.46796,0.47945,14; 3; 4; 35; 5; 3; 5; 73
32,49,0.60796,0.65306,19; 4; 20; 32; 11; 3; 3; 49
35,68,0.51696,0.51471,17; 17; 3; 35; 5; 3; 6; 68
53,61,0.83785,0.86885,5; 14; 13; 53; 10; 12; 7; 61
9,39,0.23753,0.23077,21; 6; 5; 9; 10; 13; 4; 39
42,72,0.58631,0.58333,14; 17; 9; 42; 6; 8; 8; 72
8,43,0.20814,0.18605,19; 17; 30; 8; 9; 16; 18; 43
20,66,0.33328,0.30303,12; 10; 15; 20; 9; 5; 9; 66
5,55,0.12652,0.09091,10; 27; 11; 5; 9; 10; 9; 55
18,35,0.53304,0.51429,15; 11; 12; 18; 3; 16; 18; 35
32,55,0.58146,0.58182,9; 14; 22; 32; 13; 12; 10; 55
26,79,0.31645,0.32911,8; 18; 4; 26; 4; 3; 4; 79
24,73,0.31363,0.32877,3; 21; 22; 24; 6; 5; 3; 73
19,57,0.36618,0.33333,8; 3; 22; 19; 6; 3; 9; 57
17,33,0.54775,0.51515,18; 17; 27; 17; 4; 8; 6; 33
19,62,0.33827,0.30645,9; 25; 5; 19; 3; 9; 9; 62
7,47,0.15212,0.14894,13; 27; 17; 7; 13; 12; 12; 47
11,59,0.18685,0.18644,22; 14; 17; 11; 13; 7; 11; 59
21,70,0.32481,0.3,10; 4; 3; 21; 5; 9; 6; 70
30,63,0.4848,0.47619,19; 12; 4; 30; 8; 4; 5; 63
19,63,0.28605,0.30159,17; 9; 8; 19; 4; 7; 6; 63
43,84,0.49981,0.5119,10; 15; 8; 43; 4; 4; 3; 84
37,74,0.49147,0.5,10; 10; 3; 37; 5; 5; 6; 74
46,63,0.73188,0.73016,5; 16; 8; 46; 6; 11; 7; 63
44,85,0.51651,0.51765,10; 18; 9; 44; 4; 4; 3; 85
19,61,0.32635,0.31148,9; 23; 19; 19; 4; 8; 5; 61
8,26,0.26839,0.30769,26; 12; 13; 8; 7; 17; 18; 26
10,53,0.19634,0.18868,23; 17; 10; 10; 13; 12; 5; 53
12,64,0.1812,0.1875,19; 13; 26; 12; 7; 7; 10; 64
40,46,0.92433,0.86957,11; 8; 17; 40; 7; 8; 10; 46
13,85,0.1591,0.15294,27; 11; 17; 13; 3; 4; 3; 85
16,54,0.29852,0.2963,12; 10; 6; 16; 4; 6; 3; 54
26,83,0.29049,0.31325,10; 10; 4; 26; 5; 5; 5; 83
24,46,0.49297,0.52174,17; 5; 21; 24; 11; 17; 17; 46
7,79,0.11173,0.08861,7; 18; 29; 7; 4; 3; 4; 79
7,47,0.15432,0.14894,29; 22; 29; 7; 7; 12; 16; 47
50,75,0.64592,0.66667,12; 6; 13; 50; 5; 7; 6; 75
34,72,0.47701,0.47222,7; 18; 4; 34; 8; 6; 4; 72
74,76,0.95797,0.97368,7; 8; 5; 74; 7; 5; 4; 76
23,48,0.47032,0.47917,9; 14; 18; 23; 10; 7; 4; 48
22,72,0.31549,0.30556,23; 7; 22; 22; 4; 7; 4; 72
39,67,0.57463,0.58209,7; 11; 18; 39; 6; 3; 3; 67
33,45,0.76464,0.73333,3; 21; 17; 33; 5; 17; 10; 45
11,48,0.23279,0.22917,22; 10; 15; 11; 16; 6; 9; 48
39,58,0.69146,0.67241,8; 11; 11; 39; 10; 11; 10; 58
13,69,0.21752,0.18841,13; 8; 4; 13; 7; 6; 7; 69
18,27,0.67385,0.66667,18; 21; 14; 18; 21; 3; 23; 27
16,52,0.32716,0.30769,5; 7; 26; 16; 5; 11; 5; 52
13,26,0.48952,0.5,26; 7; 20; 13; 21; 22; 13; 26
37,74,0.47743,0.5,12; 20; 17; 37; 4; 4; 7; 74
35,68,0.49732,0.51471,16; 17; 10; 35; 4; 8; 9; 68
35,48,0.78833,0.72917,10; 6; 5; 35; 8; 3; 15; 48
47,60,0.79153,0.78333,6; 11; 5; 47; 5; 6; 12; 60
13,15,0.6498,0.86667,12; 24; 23; 13; 13; 9; 3; 15
38,66,0.57049,0.57576,3; 17; 6; 38; 5; 9; 3; 66
21,70,0.31473,0.3,21; 20; 17; 21; 7; 4; 9; 70
40,62,0.6473,0.64516,16; 4; 16; 40; 4; 8; 6; 62
18,55,0.37684,0.32727,10; 9; 20; 18; 6; 8; 8; 55
49,84,0.57564,0.58333,8; 4; 11; 49; 4; 4; 4; 84
11,72,0.20637,0.15278,4; 18; 15; 11; 5; 8; 7; 72
12,24,0.52616,0.5,14; 22; 25; 12; 8; 22; 21; 24
37,57,0.62059,0.64912,7; 11; 15; 37; 5; 6; 10; 57
54,83,0.62696,0.6506,8; 11; 5; 54; 4; 4; 3; 83
13,69,0.20257,0.18841,20; 7; 24; 13; 3; 3; 8; 69
35,73,0.46947,0.47945,4; 8; 9; 35; 4; 6; 6; 73
26,40,0.66534,0.65,9; 15; 11; 26; 17; 18; 10; 40
7,80,0.11794,0.0875,13; 17; 19; 7; 5; 4; 3; 80
30,41,0.72502,0.73171,18; 12; 14; 30; 19; 15; 14; 41
18,23,0.75728,0.78261,14; 3; 19; 18; 17; 6; 21; 23
21,36,0.58158,0.58333,9; 8; 15; 21; 11; 19; 17; 36
5,57,0.15123,0.08772,22; 5; 30; 5; 6; 9; 12; 57
52,67,0.76094,0.77612,14; 13; 6; 52; 5; 8; 7; 67
34,51,0.66076,0.66667,9; 17; 18; 34; 7; 9; 3; 51
28,29,0.90789,0.96552,4; 23; 5; 28; 16; 7; 13; 29
7,82,0.13636,0.08537,27; 18; 10; 7; 4; 4; 5; 82
21,67,0.31501,0.31343,13; 10; 23; 21; 10; 9; 6; 67
54,81,0.67711,0.66667,13; 14; 6; 54; 3; 5; 3; 81
35,60,0.60079,0.58333,20; 12; 16; 35; 7; 5; 6; 60
26,55,0.47212,0.47273,22; 17; 6; 26; 3; 3; 12; 55
25,53,0.47628,0.4717,5; 6; 4; 25; 10; 11; 11; 53
68,70,0.94207,0.97143,7; 5; 4; 68; 5; 6; 8; 70
9,48,0.21914,0.1875,9; 27; 9; 9; 16; 15; 13; 48
16,85,0.19534,0.18824,25; 19; 7; 16; 3; 4; 3; 85
20,60,0.30984,0.33333,3; 19; 13; 20; 10; 7; 5; 60
29,56,0.51551,0.51786,16; 4; 17; 29; 14; 6; 13; 56
13,15,0.69478,0.86667,27; 8; 18; 13; 21; 8; 13; 15
29,43,0.70706,0.67442,17; 18; 5; 29; 8; 18; 13; 43
28,36,0.77563,0.77778,16; 19; 18; 28; 18; 20; 11; 36
11,59,0.18108,0.18644,26; 28; 12; 11; 10; 13; 3; 59
21,63,0.33138,0.33333,12; 17; 17; 21; 4; 7; 8; 63
52,78,0.6792,0.66667,3; 4; 7; 52; 3; 6; 6; 78
32,63,0.49763,0.50794,12; 9; 14; 32; 10; 8; 3; 63
38,79,0.48848,0.48101,3; 11; 18; 38; 6; 6; 3; 79
24,33,0.71185,0.72727,3; 24; 18; 24; 10; 11; 17; 33
33,66,0.50052,0.5,19; 4; 20; 33; 6; 5; 8; 66
39,45,0.83908,0.86667,13; 3; 18; 39; 5; 7; 7; 45
6,12,0.56897,0.5,25; 7; 5; 6; 25; 16; 27; 12
39,45,0.84203,0.86667,17; 17; 11; 39; 15; 7; 16; 45
11,73,0.1652,0.15068,6; 28; 28; 11; 5; 6; 4; 73
40,55,0.71026,0.72727,17; 12; 12; 40; 4; 5; 14; 55
41,79,0.50292,0.51899,18; 15; 8; 41; 6; 4; 4; 79
19,62,0.30093,0.30645,10; 4; 23; 19; 9; 9; 4; 62
5,33,0.20487,0.15152,6; 8; 20; 5; 3; 12; 14; 33
26,40,0.68083,0.65,13; 13; 15; 26; 19; 8; 15; 40
31,64,0.49082,0.48438,22; 12; 3; 31; 7; 7; 4; 64
18,60,0.30849,0.3,25; 24; 17; 18; 6; 3; 5; 60
35,60,0.58674,0.58333,18; 3; 15; 35; 11; 3; 7; 60
18,78,0.21668,0.23077,6; 10; 19; 18; 3; 6; 5; 78
14,74,0.21163,0.18919,24; 12; 18; 14; 6; 4; 7; 74
58,67,0.83053,0.86567,4; 5; 12; 58; 4; 9; 9; 67
66,85,0.77304,0.77647,9; 9; 6; 66; 4; 4; 3; 85
28,60,0.46803,0.46667,3; 10; 6; 28; 6; 6; 4; 60
27,56,0.47902,0.48214,7; 22; 19; 27; 14; 8; 3; 56
22,33,0.68862,0.66667,9; 6; 22; 22; 17; 17; 12; 33
40,78,0.51921,0.51282,17; 6; 19; 40; 4; 5; 5; 78
5,54,0.13623,0.09259,20; 4; 16; 5; 8; 8; 10; 54
9,30,0.26811,0.3,17; 19; 26; 9; 20; 11; 14; 30
21,27,0.7702,0.77778,10; 18; 11; 21; 11; 8; 5; 27
8,85,0.11774,0.09412,15; 11; 23; 8; 3; 4; 4; 85
26,51,0.49221,0.5098,15; 17; 6; 26; 7; 13; 15; 51
22,71,0.29808,0.30986,14; 17; 3; 22; 3; 8; 9; 71
40,62,0.63969,0.64516,14; 10; 12; 40; 9; 9; 9; 62
40,69,0.5814,0.57971,8; 12; 14; 40; 4; 3; 4; 69
51,65,0.77043,0.78462,11; 6; 13; 51; 6; 9; 7; 65
7,76,0.14042,0.09211,16; 26; 27; 7; 6; 4; 6; 76
14,30,0.47873,0.46667,12; 19; 22; 14; 11; 13; 9; 30
5,54,0.1559,0.09259,8; 12; 21; 5; 3; 7; 6; 54
43,85,0.50014,0.50588,16; 7; 11; 43; 4; 3; 4; 85
15,29,0.54448,0.51724,8; 8; 19; 15; 16; 15; 9; 29
39,67,0.57049,0.58209,18; 5; 5; 39; 10; 10; 4; 67
10,44,0.19413,0.22727,21; 28; 20; 10; 10; 8; 18; 44
7,77,0.11841,0.09091,5; 4; 30; 7; 7; 5; 3; 77
25,53,0.45729,0.4717,8; 12; 4; 25; 14; 6; 10; 53
37,51,0.71403,0.72549,12; 7; 8; 37; 10; 5; 3; 51
15,49,0.36845,0.30612,6; 24; 8; 15; 6; 13; 3; 49
8,17,0.59674,0.47059,11; 18; 15; 8; 10; 18; 9; 17
7,82,0.13181,0.08537,14; 16; 27; 7; 3; 5; 3; 82
29,56,0.49274,0.51786,14; 14; 20; 29; 7; 10; 7; 56
59,61,0.93341,0.96721,7; 7; 6; 59; 12; 6; 4; 61
42,54,0.76326,0.77778,12; 15; 8; 42; 12; 9; 11; 54
18,59,0.35447,0.30508,13; 5; 23; 18; 5; 6; 9; 59
32,67,0.48286,0.47761,8; 5; 16; 32; 7; 4; 10; 67
65,83,0.77177,0.78313,7; 5; 8; 65; 3; 5; 3; 83
59,76,0.77002,0.77632,7; 5; 13; 59; 5; 7; 6; 76
23,49,0.46897,0.46939,24; 6; 4; 23; 13; 7; 11; 49
30,41,0.68552,0.73171,15; 16; 6; 30; 14; 14; 7; 41
68,70,0.9404,0.97143,5; 8; 6; 68; 5; 6; 7; 70
7,74,0.13297,0.09459,22; 12; 13; 7; 4; 3; 3; 74
6,9,0.58234,0.66667,30; 5; 3; 6; 20; 19; 11; 9
37,78,0.46368,0.47436,12; 19; 16; 37; 3; 4; 3; 78
50,75,0.64027,0.66667,11; 13; 3; 50; 5; 4; 7; 75
7,79,0.12563,0.08861,29; 14; 29; 7; 4; 3; 5; 79
29,37,0.79654,0.78378,5; 21; 17; 29; 13; 17; 15; 37
36,71,0.50082,0.50704,19; 8; 15; 36; 8; 6; 5; 71
17,57,0.27659,0.29825,6; 21; 18; 17; 5; 3; 8; 57
12,62,0.20566,0.19355,17; 17; 22; 12; 3; 4; 5; 62
44,76,0.57625,0.57895,4; 3; 14; 44; 7; 4; 4; 76
71,73,0.95707,0.9726,9; 7; 7; 71; 5; 6; 6; 73
42,81,0.51478,0.51852,13; 15; 12; 42; 5; 4; 3; 81
36,77,0.46341,0.46753,11; 5; 7; 36; 5; 3; 5; 77
29,56,0.51591,0.51786,14; 4; 4; 29; 9; 5; 7; 56
7,47,0.14412,0.14894,29; 27; 27; 7; 6; 11; 10; 47
49,67,0.72181,0.73134,7; 6; 15; 49; 7; 10; 6; 67
34,73,0.47488,0.46575,13; 8; 17; 34; 3; 4; 3; 73
21,42,0.53341,0.5,18; 7; 15; 21; 16; 9; 8; 42
61,70,0.87538,0.87143,10; 4; 8; 61; 3; 9; 3; 70
27,83,0.32641,0.3253,17; 18; 17; 27; 3; 3; 4; 83
24,72,0.33449,0.33333,24; 22; 19; 24; 8; 7; 5; 72
13,27,0.48208,0.48148,11; 13; 19; 13; 17; 16; 12; 27
53,81,0.63876,0.65432,6; 9; 5; 53; 4; 5; 3; 81
62,85,0.69775,0.72941,12; 7; 7; 62; 3; 4; 3; 85
36,62,0.5516,0.58065,19; 12; 8; 36; 9; 3; 11; 62
33,64,0.50219,0.51562,19; 5; 19; 33; 11; 10; 11; 64
5,54,0.1405,0.09259,7; 21; 14; 5; 6; 12; 8; 54
16,70,0.25281,0.22857,27; 22; 27; 16; 5; 7; 5; 70
49,84,0.57364,0.58333,16; 3; 16; 49; 4; 3; 4; 84
6,69,0.15424,0.08696,11; 26; 6; 6; 6; 3; 8; 69
8,54,0.14654,0.14815,13; 15; 30; 8; 6; 7; 7; 54
27,58,0.48265,0.46552,6; 9; 17; 27; 4; 5; 5; 58
39,82,0.48142,0.47561,14; 8; 11; 39; 3; 5; 4; 82
33,63,0.52343,0.52381,4; 7; 14; 33; 8; 9; 5; 63
30,45,0.6682,0.66667,22; 20; 21; 30; 10; 17; 6; 45
27,57,0.48424,0.47368,7; 15; 9; 27; 6; 9; 6; 57
5,55,0.15431,0.09091,26; 9; 31; 5; 13; 10; 10; 55
6,68,0.13292,0.08824,25; 28; 14; 6; 6; 10; 6; 68
40,62,0.6286,0.64516,11; 12; 4; 40; 4; 11; 11; 62
51,79,0.62287,0.64557,9; 8; 11; 51; 5; 4; 3; 79
9,29,0.31255,0.31034,7; 13; 26; 9; 12; 8; 15; 29
30,62,0.49945,0.48387,8; 17; 20; 30; 6; 8; 12; 62
5,56,0.15142,0.08929,25; 9; 24; 5; 5; 4; 6; 56
28,36,0.73898,0.77778,21; 19; 13; 28; 15; 9; 4; 36
71,82,0.83577,0.86585,7; 3; 5; 71; 5; 4; 5; 82
39,50,0.77898,0.78,16; 14; 8; 39; 15; 5; 8; 50
36,77,0.46495,0.46753,8; 18; 7; 36; 4; 6; 3; 77
49,67,0.67918,0.73134,10; 6; 8; 49; 7; 8; 5; 67
27,81,0.3515,0.33333,17; 18; 8; 27; 4; 4; 3; 81
55,85,0.64395,0.64706,8; 5; 10; 55; 3; 4; 3; 85
25,75,0.35339,0.33333,15; 3; 12; 25; 3; 5; 6; 75
55,63,0.86945,0.87302,9; 4; 5; 55; 8; 6; 7; 63
25,52,0.45559,0.48077,23; 20; 6; 25; 3; 3; 4; 52
33,57,0.56623,0.57895,9; 10; 9; 33; 4; 9; 7; 57
5,54,0.11352,0.09259,15; 9; 18; 5; 14; 9; 9; 54
35,68,0.49903,0.51471,15; 20; 21; 35; 6; 9; 4; 68
12,53,0.19866,0.22642,19; 8; 14; 12; 11; 10; 3; 53
33,69,0.47228,0.47826,16; 3; 20; 33; 6; 8; 9; 69
31,65,0.4951,0.47692,5; 12; 17; 31; 8; 4; 3; 65
46,79,0.56512,0.58228,6; 6; 7; 46; 6; 4; 3; 79
34,71,0.4784,0.47887,6; 3; 7; 34; 4; 3; 4; 71
9,61,0.17605,0.14754,4; 22; 13; 9; 10; 9; 12; 61
