ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
21,56,0.37948,0.375,15; 15; 9; 21; 11; 13; 9; 56
6,8,0.74385,0.75,22; 3; 10; 6; 11; 28; 15; 8
33,46,0.71265,0.71739,20; 13; 16; 33; 11; 17; 16; 46
7,17,0.41535,0.41176,14; 25; 26; 7; 25; 21; 17; 17
11,36,0.30492,0.30556,16; 16; 12; 11; 4; 4; 12; 36
76,83,0.91435,0.91566,5; 3; 7; 76; 3; 5; 3; 83
10,75,0.14517,0.13333,7; 19; 24; 10; 6; 5; 3; 75
6,13,0.43668,0.46154,18; 28; 29; 6; 28; 27; 15; 13
11,56,0.20896,0.19643,6; 25; 28; 11; 4; 4; 10; 56
19,72,0.27638,0.26389,19; 5; 16; 19; 6; 7; 6; 72
7,8,0.84527,0.875,10; 3; 21; 7; 19; 30; 14; 8
23,36,0.64335,0.63889,19; 20; 14; 23; 9; 4; 5; 36
38,75,0.5134,0.50667,16; 8; 9; 38; 6; 6; 4; 75
7,8,0.8629,0.875,27; 13; 14; 7; 18; 26; 3; 8
13,17,0.75016,0.76471,26; 24; 25; 13; 26; 3; 10; 17
6,13,0.46332,0.46154,27; 20; 25; 6; 25; 7; 16; 13
6,8,0.68214,0.75,27; 28; 14; 6; 5; 19; 14; 8
36,72,0.49579,0.5,6; 13; 15; 36; 3; 8; 7; 72
28,56,0.49727,0.5,5; 13; 17; 28; 11; 3; 14; 56
5,10,0.53993,0.5,31; 4; 4; 5; 20; 14; 18; 10
43,83,0.52595,0.51807,5; 14; 15; 43; 3; 3; 5; 83
7,8,0.89673,0.875,3; 24; 10; 7; 11; 26; 22; 8
6,10,0.62288,0.6,25; 13; 26; 6; 27; 8; 3; 10
16,17,0.92337,0.94118,17; 11; 25; 16; 20; 10; 6; 17
7,10,0.71305,0.7,23; 4; 7; 7; 4; 17; 8; 10
14,46,0.31272,0.30435,25; 13; 3; 14; 16; 9; 10; 46
15,81,0.20527,0.18519,27; 12; 13; 15; 5; 4; 4; 81
62,72,0.87111,0.86111,11; 11; 6; 62; 6; 5; 3; 72
60,81,0.74417,0.74074,12; 11; 5; 60; 3; 5; 5; 81
77,84,0.9353,0.91667,6; 4; 7; 77; 3; 4; 4; 84
73,81,0.90483,0.90123,5; 3; 3; 73; 4; 4; 4; 81
12,84,0.15774,0.14286,5; 22; 15; 12; 4; 3; 3; 84
81,83,0.97548,0.9759,5; 3; 3; 81; 5; 3; 3; 83
6,13,0.46016,0.46154,23; 15; 12; 6; 15; 17; 21; 13
46,50,0.91706,0.92,8; 9; 7; 46; 11; 9; 15; 50
61,84,0.73571,0.72619,11; 12; 6; 61; 4; 4; 4; 84
8,10,0.77286,0.8,23; 15; 30; 8; 8; 18; 13; 10
43,72,0.60059,0.59722,7; 10; 3; 43; 7; 5; 5; 72
6,10,0.59884,0.6,25; 25; 7; 6; 28; 20; 8; 10
20,25,0.81522,0.8,14; 20; 13; 20; 3; 13; 24; 25
47,50,0.90239,0.94,8; 11; 4; 47; 6; 8; 3; 50
68,84,0.815,0.80952,8; 5; 8; 68; 3; 4; 3; 84
33,42,0.79791,0.78571,17; 14; 20; 33; 8; 15; 8; 42
9,10,0.87194,0.9,4; 3; 3; 9; 14; 21; 26; 10
9,36,0.25921,0.25,16; 5; 25; 9; 17; 17; 10; 36
23,25,0.90747,0.92,12; 3; 11; 23; 4; 18; 8; 25
13,81,0.17323,0.16049,15; 22; 22; 13; 5; 3; 4; 81
8,13,0.6222,0.61538,5; 23; 27; 8; 21; 13; 27; 13
40,56,0.70389,0.71429,4; 9; 7; 40; 4; 10; 9; 56
25,56,0.45195,0.44643,16; 18; 11; 25; 7; 7; 4; 56
36,46,0.81029,0.78261,14; 19; 19; 36; 14; 11; 3; 46
9,17,0.52785,0.52941,14; 26; 6; 9; 23; 20; 23; 17
10,13,0.80187,0.76923,10; 28; 10; 10; 27; 25; 13; 13
19,72,0.27091,0.26389,22; 10; 3; 19; 4; 3; 6; 72
7,36,0.21238,0.19444,23; 4; 22; 7; 8; 13; 9; 36
81,83,0.96585,0.9759,3; 3; 3; 81; 4; 3; 4; 83
60,72,0.85718,0.83333,10; 7; 4; 60; 8; 6; 6; 72
27,36,0.74351,0.75,5; 16; 14; 27; 13; 19; 16; 36
20,36,0.54323,0.55556,7; 5; 18; 20; 11; 3; 18; 36
11,84,0.15197,0.13095,29; 11; 17; 11; 4; 3; 3; 84
22,36,0.6083,0.61111,22; 9; 12; 22; 18; 20; 19; 36
7,17,0.45246,0.41176,9; 30; 9; 7; 9; 21; 15; 17
47,72,0.65946,0.65278,10; 10; 5; 47; 4; 7; 3; 72
53,84,0.64134,0.63095,11; 10; 8; 53; 4; 3; 4; 84
8,10,0.80233,0.8,22; 7; 9; 8; 11; 22; 14; 10
14,42,0.34347,0.33333,24; 12; 24; 14; 18; 6; 15; 42
38,83,0.46686,0.45783,12; 10; 4; 38; 5; 3; 4; 83
5,17,0.31742,0.29412,24; 4; 15; 5; 12; 10; 27; 17
40,75,0.52805,0.53333,19; 5; 11; 40; 6; 3; 3; 75
42,46,0.90576,0.91304,12; 14; 3; 42; 6; 15; 3; 46
16,36,0.44768,0.44444,10; 18; 13; 16; 15; 17; 19; 36
32,36,0.89764,0.88889,21; 21; 12; 32; 3; 18; 20; 36
7,17,0.40075,0.41176,19; 18; 22; 7; 5; 27; 9; 17
19,36,0.5405,0.52778,11; 5; 12; 19; 14; 16; 9; 36
18,25,0.73808,0.72,3; 10; 25; 18; 24; 24; 21; 25
8,13,0.62182,0.61538,19; 22; 18; 8; 25; 9; 26; 13
8,10,0.82863,0.8,22; 13; 17; 8; 22; 6; 9; 10
34,56,0.60574,0.60714,3; 17; 11; 34; 8; 10; 11; 56
20,46,0.44084,0.43478,22; 21; 20; 20; 4; 15; 8; 46
81,84,0.95085,0.96429,3; 3; 3; 81; 4; 3; 3; 84
9,10,0.89098,0.9,9; 5; 4; 9; 15; 12; 26; 10
11,72,0.15414,0.15278,29; 28; 26; 11; 6; 3; 4; 72
9,10,0.9066,0.9,27; 12; 10; 9; 25; 12; 20; 10
5,10,0.52586,0.5,13; 21; 28; 5; 23; 15; 28; 10
13,56,0.23991,0.23214,15; 16; 15; 13; 6; 4; 10; 56
65,83,0.79452,0.78313,7; 5; 4; 65; 3; 5; 3; 83
64,81,0.78741,0.79012,4; 5; 10; 64; 5; 4; 4; 81
22,31,0.70033,0.70968,17; 19; 13; 22; 19; 3; 21; 31
63,75,0.85791,0.84,7; 10; 5; 63; 6; 7; 5; 75
22,31,0.6981,0.70968,18; 8; 11; 22; 21; 10; 17; 31
27,81,0.33208,0.33333,3; 14; 9; 27; 3; 3; 3; 81
38,56,0.68131,0.67857,13; 9; 8; 38; 5; 6; 3; 56
45,50,0.88967,0.9,13; 3; 13; 45; 14; 8; 9; 50
15,17,0.86497,0.88235,19; 4; 6; 15; 23; 6; 15; 17
8,10,0.7827,0.8,8; 20; 14; 8; 6; 27; 28; 10
13,83,0.1696,0.15663,6; 3; 3; 13; 4; 3; 3; 83
61,83,0.74878,0.73494,10; 6; 9; 61; 4; 3; 5; 83
27,84,0.32412,0.32143,18; 10; 4; 27; 4; 4; 4; 84
7,56,0.1355,0.125,14; 6; 22; 7; 14; 9; 3; 56
5,56,0.07053,0.08929,14; 21; 6; 5; 3; 6; 4; 56
34,81,0.43717,0.41975,16; 11; 4; 34; 3; 5; 3; 81
9,10,0.89383,0.9,9; 17; 18; 9; 18; 18; 23; 10
11,31,0.36872,0.35484,17; 17; 17; 11; 6; 3; 17; 31
70,81,0.86321,0.8642,7; 7; 9; 70; 3; 5; 3; 81
63,81,0.78484,0.77778,7; 6; 6; 63; 4; 5; 5; 81
7,10,0.74568,0.7,5; 26; 3; 7; 3; 12; 23; 10
13,36,0.36916,0.36111,28; 26; 7; 13; 17; 12; 3; 36
18,31,0.59579,0.58065,9; 23; 4; 18; 5; 4; 21; 31
20,72,0.28383,0.27778,7; 21; 18; 20; 8; 5; 5; 72
25,81,0.3238,0.30864,6; 5; 23; 25; 3; 4; 5; 81
42,81,0.52193,0.51852,11; 15; 15; 42; 5; 4; 5; 81
26,81,0.33541,0.32099,15; 7; 17; 26; 3; 4; 4; 81
9,13,0.7192,0.69231,15; 5; 12; 9; 13; 20; 10; 13
30,36,0.84674,0.83333,20; 16; 5; 30; 12; 11; 7; 36
7,84,0.11301,0.08333,17; 9; 6; 7; 3; 4; 3; 84
22,81,0.28387,0.2716,6; 8; 16; 22; 3; 4; 3; 81
9,10,0.90831,0.9,8; 18; 15; 9; 28; 3; 6; 10
16,25,0.64232,0.64,26; 27; 25; 16; 7; 11; 9; 25
11,81,0.13657,0.1358,19; 12; 20; 11; 4; 3; 4; 81
18,31,0.57772,0.58065,17; 21; 21; 18; 14; 7; 9; 31
43,50,0.85982,0.86,14; 10; 17; 43; 4; 8; 16; 50
21,25,0.85473,0.84,9; 17; 14; 21; 22; 13; 15; 25
11,83,0.13457,0.13253,24; 19; 14; 11; 3; 5; 4; 83
15,42,0.36543,0.35714,26; 27; 21; 15; 6; 4; 17; 42
38,50,0.7584,0.76,18; 20; 15; 38; 10; 4; 7; 50
10,42,0.24604,0.2381,3; 12; 8; 10; 5; 4; 12; 42
20,56,0.36265,0.35714,7; 21; 26; 20; 13; 5; 8; 56
11,25,0.44908,0.44,7; 17; 10; 11; 4; 13; 14; 25
5,8,0.6733,0.625,9; 9; 12; 5; 9; 8; 26; 8
27,42,0.65758,0.64286,18; 12; 15; 27; 10; 9; 18; 42
6,81,0.08213,0.07407,26; 18; 19; 6; 5; 4; 4; 81
5,13,0.39155,0.38462,7; 15; 11; 5; 27; 15; 12; 13
6,8,0.74245,0.75,6; 10; 11; 6; 30; 20; 11; 8
8,13,0.60789,0.61538,16; 30; 26; 8; 12; 24; 13; 13
5,8,0.67895,0.625,29; 13; 14; 5; 5; 7; 8; 8
16,31,0.50541,0.51613,25; 8; 5; 16; 11; 21; 7; 31
6,10,0.59762,0.6,30; 4; 8; 6; 29; 7; 4; 10
13,83,0.17824,0.15663,21; 27; 28; 13; 4; 5; 3; 83
7,10,0.67353,0.7,29; 16; 17; 7; 14; 15; 13; 10
22,36,0.61927,0.61111,8; 20; 24; 22; 10; 12; 8; 36
8,10,0.80922,0.8,30; 30; 29; 8; 26; 15; 21; 10
20,31,0.66065,0.64516,16; 13; 17; 20; 7; 17; 8; 31
48,83,0.58286,0.57831,9; 6; 8; 48; 3; 3; 4; 83
8,13,0.60216,0.61538,11; 17; 26; 8; 8; 4; 23; 13
8,25,0.32449,0.32,5; 26; 4; 8; 13; 16; 15; 25
9,10,0.88597,0.9,27; 11; 6; 9; 20; 23; 9; 10
35,36,0.94694,0.97222,6; 4; 5; 35; 13; 14; 4; 36
13,56,0.24909,0.23214,26; 23; 15; 13; 6; 9; 8; 56
10,17,0.58604,0.58824,13; 24; 9; 10; 19; 18; 13; 17
53,72,0.74575,0.73611,8; 9; 10; 53; 6; 3; 7; 72
46,75,0.61631,0.61333,11; 7; 16; 46; 3; 7; 7; 75
7,8,0.83843,0.875,26; 8; 13; 7; 5; 11; 20; 8
23,81,0.29172,0.28395,19; 9; 11; 23; 3; 5; 4; 81
9,56,0.16593,0.16071,21; 3; 29; 9; 12; 12; 11; 56
7,8,0.88736,0.875,30; 16; 23; 7; 14; 28; 9; 8
9,17,0.53023,0.52941,17; 23; 13; 9; 6; 9; 3; 17
11,46,0.2464,0.23913,13; 4; 11; 11; 8; 7; 12; 46
42,75,0.56425,0.56,17; 10; 17; 42; 6; 4; 5; 75
5,25,0.24996,0.2,30; 7; 8; 5; 14; 17; 8; 25
51,72,0.70213,0.70833,13; 10; 13; 51; 4; 6; 3; 72
24,25,0.94905,0.96,15; 6; 18; 24; 17; 3; 13; 25
9,10,0.91137,0.9,20; 12; 4; 9; 24; 16; 18; 10
5,17,0.32143,0.29412,5; 17; 10; 5; 14; 11; 4; 17
30,31,0.94898,0.96774,7; 16; 4; 30; 7; 9; 6; 31
16,17,0.93624,0.94118,26; 3; 6; 16; 23; 23; 23; 17
8,31,0.2671,0.25806,10; 6; 19; 8; 15; 6; 22; 31
11,72,0.17868,0.15278,13; 19; 6; 11; 4; 8; 5; 72
77,84,0.92223,0.91667,7; 7; 5; 77; 4; 3; 3; 84
46,75,0.62737,0.61333,7; 17; 7; 46; 5; 7; 4; 75
19,36,0.53148,0.52778,10; 16; 9; 19; 16; 15; 15; 36
27,46,0.58758,0.58696,22; 19; 6; 27; 7; 6; 17; 46
15,75,0.21126,0.2,14; 12; 19; 15; 7; 4; 7; 75
9,31,0.30515,0.29032,8; 4; 23; 9; 11; 21; 7; 31
9,10,0.86995,0.9,11; 12; 23; 9; 3; 27; 17; 10
11,46,0.2497,0.23913,8; 24; 18; 11; 11; 10; 4; 46
21,36,0.57974,0.58333,17; 15; 6; 21; 19; 18; 10; 36
7,84,0.09012,0.08333,10; 4; 5; 7; 4; 4; 4; 84
34,46,0.74304,0.73913,7; 17; 9; 34; 10; 10; 7; 46
16,81,0.22147,0.19753,25; 27; 9; 16; 4; 4; 5; 81
6,17,0.35782,0.35294,14; 29; 17; 6; 11; 23; 16; 17
5,17,0.34753,0.29412,18; 29; 22; 5; 21; 11; 15; 17
8,17,0.46032,0.47059,27; 6; 28; 8; 9; 13; 4; 17
5,8,0.71077,0.625,3; 13; 24; 5; 5; 21; 13; 8
42,50,0.82071,0.84,17; 4; 15; 42; 16; 14; 7; 50
5,8,0.61363,0.625,24; 24; 31; 5; 19; 14; 25; 8
9,50,0.18304,0.18,10; 29; 6; 9; 5; 16; 5; 50
9,25,0.36759,0.36,6; 20; 3; 9; 18; 18; 10; 25
14,56,0.2539,0.25,6; 28; 8; 14; 11; 5; 10; 56
39,81,0.48396,0.48148,3; 8; 18; 39; 4; 3; 4; 81
27,72,0.38225,0.375,15; 22; 22; 27; 6; 6; 6; 72
