ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
8,80,0.1052,0.1,12; 9; 17; 8; 3; 3; 6; 80
26,65,0.4098,0.4,21; 19; 4; 26; 7; 9; 6; 65
32,80,0.40555,0.4,3; 12; 13; 32; 5; 4; 4; 80
6,37,0.16178,0.16216,30; 20; 9; 6; 19; 7; 15; 37
12,77,0.15957,0.15584,20; 16; 21; 12; 5; 7; 5; 77
24,66,0.36858,0.36364,16; 7; 12; 24; 9; 9; 7; 66
74,83,0.90029,0.89157,7; 3; 5; 74; 5; 5; 3; 83
7,80,0.08378,0.0875,6; 6; 8; 7; 3; 5; 6; 80
7,74,0.09777,0.09459,28; 27; 24; 7; 8; 8; 6; 74
27,76,0.34988,0.35526,10; 18; 15; 27; 6; 5; 5; 76
22,42,0.51993,0.52381,17; 24; 23; 22; 4; 16; 11; 42
15,40,0.37395,0.375,19; 3; 22; 15; 6; 12; 4; 40
68,76,0.91109,0.89474,3; 6; 7; 68; 6; 7; 5; 76
24,34,0.72047,0.70588,12; 16; 10; 24; 4; 13; 8; 34
24,57,0.43095,0.42105,9; 13; 23; 24; 5; 12; 5; 57
22,52,0.42002,0.42308,13; 7; 3; 22; 5; 3; 10; 52
56,80,0.69673,0.7,6; 14; 14; 56; 4; 3; 4; 80
8,79,0.10877,0.10127,16; 20; 29; 8; 6; 5; 4; 79
30,71,0.42589,0.42254,3; 11; 14; 30; 4; 3; 7; 71
6,61,0.10147,0.09836,23; 10; 28; 6; 11; 7; 4; 61
17,24,0.72355,0.70833,11; 21; 18; 17; 7; 8; 5; 24
12,60,0.21023,0.2,18; 25; 11; 12; 10; 7; 6; 60
40,81,0.49524,0.49383,17; 3; 6; 40; 5; 4; 4; 81
51,72,0.70778,0.70833,11; 13; 9; 51; 3; 4; 3; 72
33,63,0.52522,0.52381,11; 11; 21; 33; 5; 3; 3; 63
10,28,0.36119,0.35714,4; 22; 26; 10; 17; 13; 18; 28
11,21,0.50474,0.52381,16; 5; 19; 11; 7; 3; 22; 21
27,68,0.40394,0.39706,20; 14; 22; 27; 5; 9; 10; 68
7,44,0.15477,0.15909,14; 15; 27; 7; 6; 3; 18; 44
17,83,0.20823,0.20482,4; 9; 23; 17; 3; 5; 4; 83
8,84,0.09639,0.09524,25; 19; 16; 8; 3; 3; 4; 84
56,76,0.74086,0.73684,8; 11; 5; 56; 4; 6; 5; 76
47,60,0.78487,0.78333,17; 6; 7; 47; 6; 12; 9; 60
6,66,0.10746,0.09091,19; 11; 27; 6; 9; 6; 10; 66
16,45,0.36444,0.35556,4; 13; 6; 16; 16; 11; 3; 45
6,61,0.09663,0.09836,21; 4; 4; 6; 6; 10; 6; 61
21,58,0.35191,0.36207,24; 7; 24; 21; 3; 10; 8; 58
9,34,0.25601,0.26471,26; 21; 15; 9; 11; 7; 8; 34
38,78,0.47642,0.48718,20; 16; 5; 38; 3; 6; 6; 78
8,20,0.40416,0.4,16; 14; 7; 8; 21; 22; 15; 20
5,58,0.07925,0.08621,21; 20; 28; 5; 7; 6; 4; 58
53,75,0.70824,0.70667,9; 3; 8; 53; 3; 4; 3; 75
58,74,0.77095,0.78378,8; 6; 11; 58; 6; 3; 7; 74
25,69,0.37118,0.36232,16; 23; 15; 25; 4; 5; 4; 69
37,53,0.69486,0.69811,3; 11; 5; 37; 13; 3; 4; 53
30,58,0.50516,0.51724,18; 11; 9; 30; 4; 6; 5; 58
41,79,0.52384,0.51899,16; 13; 10; 41; 3; 5; 3; 79
28,67,0.43525,0.41791,3; 11; 15; 28; 9; 7; 4; 67
7,75,0.09881,0.09333,18; 28; 29; 7; 5; 4; 5; 75
