ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
16,54,0.31712,0.2963,15; 20; 21; 16; 8; 3; 6; 54
31,53,0.58841,0.58491,16; 11; 13; 31; 8; 8; 7; 53
16,70,0.22182,0.22857,23; 3; 26; 16; 7; 3; 3; 70
18,35,0.5199,0.51429,9; 24; 23; 18; 12; 9; 5; 35
12,64,0.19235,0.1875,27; 5; 7; 12; 7; 6; 5; 64
12,36,0.365,0.33333,11; 19; 16; 12; 15; 14; 10; 36
63,65,0.9668,0.96923,8; 10; 11; 63; 4; 10; 4; 65
27,37,0.72245,0.72973,19; 6; 3; 27; 7; 17; 5; 37
29,62,0.47592,0.46774,11; 11; 16; 29; 7; 11; 3; 62
22,74,0.28375,0.2973,13; 20; 23; 22; 6; 3; 3; 74
19,57,0.34047,0.33333,14; 8; 22; 19; 7; 4; 3; 57
15,49,0.3166,0.30612,27; 6; 27; 15; 3; 11; 3; 49
12,23,0.53502,0.52174,12; 11; 4; 12; 19; 6; 4; 23
35,73,0.48577,0.47945,3; 10; 7; 35; 4; 6; 8; 73
32,49,0.65104,0.65306,22; 7; 18; 32; 14; 6; 16; 49
35,68,0.50801,0.51471,4; 4; 12; 35; 3; 6; 5; 68
53,61,0.86162,0.86885,15; 6; 8; 53; 12; 5; 9; 61
9,39,0.24382,0.23077,4; 24; 28; 9; 11; 19; 13; 39
42,72,0.58606,0.58333,13; 11; 6; 42; 5; 8; 4; 72
8,43,0.20141,0.18605,17; 13; 8; 8; 13; 3; 3; 43
20,66,0.32158,0.30303,7; 14; 18; 20; 7; 10; 6; 66
5,55,0.12029,0.09091,29; 31; 14; 5; 4; 6; 13; 55
18,35,0.51992,0.51429,14; 14; 19; 18; 17; 19; 14; 35
32,55,0.5891,0.58182,20; 15; 7; 32; 6; 4; 10; 55
26,79,0.32863,0.32911,4; 5; 23; 26; 4; 4; 3; 79
24,73,0.33978,0.32877,9; 13; 8; 24; 8; 5; 7; 73
