ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
9,11,0.89362,0.81818,15; 6; 9; 11; 7; 12; 5; 4
12,15,0.8214,0.8,10; 14; 12; 15; 5; 16; 31; 13
26,33,0.79529,0.78788,4; 5; 26; 33; 13; 3; 31; 29
23,29,0.81542,0.7931,14; 19; 23; 29; 18; 26; 16; 25
28,57,0.48927,0.49123,6; 3; 28; 57; 22; 12; 18; 7
25,51,0.49664,0.4902,3; 11; 25; 51; 23; 5; 13; 23
16,56,0.25592,0.28571,12; 9; 16; 56; 3; 31; 32; 31
24,30,0.79926,0.8,8; 5; 24; 30; 32; 23; 7; 4
17,61,0.26921,0.27869,3; 7; 17; 61; 9; 3; 28; 16
8,10,0.8113,0.8,13; 15; 8; 10; 26; 3; 13; 21
13,54,0.22812,0.24074,15; 15; 13; 54; 9; 10; 26; 25
5,21,0.33437,0.2381,35; 10; 5; 21; 16; 11; 25; 29
26,56,0.44322,0.46429,6; 5; 26; 56; 28; 15; 22; 31
23,40,0.57939,0.575,6; 15; 23; 40; 6; 8; 14; 12
12,43,0.23652,0.27907,9; 12; 12; 43; 7; 16; 26; 12
6,17,0.4204,0.35294,26; 33; 6; 17; 13; 21; 24; 32
18,72,0.25885,0.25,3; 4; 18; 72; 24; 13; 9; 28
19,58,0.36168,0.32759,6; 10; 19; 58; 6; 12; 21; 9
38,48,0.80807,0.79167,4; 6; 38; 48; 32; 31; 10; 19
7,23,0.35318,0.30435,32; 22; 7; 23; 20; 31; 24; 13
11,40,0.25963,0.275,9; 16; 11; 40; 4; 18; 14; 21
21,25,0.85416,0.84,19; 10; 21; 25; 9; 24; 27; 15
13,51,0.24436,0.2549,5; 17; 13; 51; 21; 32; 21; 10
25,54,0.45488,0.46296,5; 7; 25; 54; 6; 12; 18; 27
16,58,0.26559,0.27586,4; 5; 16; 58; 12; 16; 5; 31
9,31,0.36806,0.29032,11; 5; 9; 31; 17; 16; 26; 19
22,59,0.39358,0.37288,6; 4; 22; 59; 25; 22; 16; 28
12,21,0.5879,0.57143,28; 30; 12; 21; 22; 13; 3; 18
20,40,0.54335,0.5,7; 10; 20; 40; 8; 14; 10; 6
