ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
18,45,0.09049,0.4,11; 9; 18; 45; 31; 24; 13; 27
7,73,0.08218,0.09589,7; 4; 7; 73; 29; 26; 7; 19
7,45,0.08775,0.15556,11; 17; 7; 45; 21; 30; 7; 23
32,43,0.08113,0.74419,5; 10; 32; 43; 19; 3; 17; 30
40,43,0.07951,0.93023,3; 3; 40; 43; 20; 28; 22; 27
36,39,0.08248,0.92308,10; 11; 36; 39; 4; 6; 11; 13
20,25,0.08627,0.8,17; 6; 20; 25; 31; 27; 5; 13
31,43,0.0838,0.72093,3; 8; 31; 43; 12; 28; 15; 3
11,77,0.07536,0.14286,4; 3; 11; 77; 24; 28; 8; 11
18,29,0.08264,0.62069,24; 15; 18; 29; 14; 9; 30; 15
29,36,0.08711,0.80556,5; 3; 29; 36; 17; 21; 22; 14
17,52,0.09194,0.32692,12; 8; 17; 52; 9; 28; 27; 25
31,42,0.08913,0.7381,7; 10; 31; 42; 14; 21; 30; 6
10,25,0.0863,0.4,19; 21; 10; 25; 3; 30; 5; 10
26,59,0.08024,0.44068,5; 6; 26; 59; 14; 15; 8; 32
22,56,0.08339,0.39286,5; 10; 22; 56; 30; 12; 30; 10
35,43,0.08264,0.81395,7; 8; 35; 43; 11; 18; 31; 13
39,49,0.08046,0.79592,4; 4; 39; 49; 17; 4; 26; 5
14,32,0.08595,0.4375,18; 24; 14; 32; 13; 3; 23; 18
22,24,0.08214,0.91667,17; 18; 22; 24; 23; 19; 26; 13
21,48,0.08615,0.4375,12; 7; 21; 48; 27; 13; 4; 12
14,42,0.0904,0.33333,14; 9; 14; 42; 21; 29; 5; 5
33,35,0.08468,0.94286,13; 7; 33; 35; 8; 7; 31; 5
32,52,0.07942,0.61538,5; 7; 32; 52; 17; 19; 6; 10
34,42,0.08264,0.80952,4; 5; 34; 42; 14; 16; 19; 28
5,52,0.09196,0.09615,9; 13; 5; 52; 11; 9; 15; 28
32,34,0.08463,0.94118,12; 16; 32; 34; 29; 32; 6; 28
29,31,0.0836,0.93548,3; 10; 29; 31; 9; 8; 29; 26
12,74,0.07869,0.16216,3; 5; 12; 74; 27; 21; 4; 3
16,40,0.09009,0.4,4; 16; 16; 40; 21; 23; 9; 13
35,50,0.07809,0.7,3; 4; 35; 50; 6; 25; 3; 14
23,38,0.0859,0.60526,7; 13; 23; 38; 30; 12; 4; 3
12,13,0.08259,0.92308,16; 15; 12; 13; 14; 31; 15; 8
34,47,0.08149,0.7234,6; 5; 34; 47; 5; 17; 11; 17
12,31,0.09037,0.3871,4; 26; 12; 31; 18; 15; 28; 15
14,15,0.08069,0.93333,12; 11; 14; 15; 13; 7; 8; 23
16,20,0.08614,0.8,25; 23; 16; 20; 31; 12; 30; 15
11,25,0.08899,0.44,27; 8; 11; 25; 21; 25; 32; 18
28,40,0.08511,0.7,11; 11; 28; 40; 25; 23; 8; 3
23,59,0.08469,0.38983,6; 8; 23; 59; 32; 17; 7; 30
22,34,0.08612,0.64706,14; 13; 22; 34; 29; 22; 28; 14
22,27,0.08247,0.81481,8; 13; 22; 27; 13; 5; 24; 32
31,44,0.0858,0.70455,10; 6; 31; 44; 17; 13; 18; 26
6,59,0.08954,0.10169,15; 12; 6; 59; 14; 18; 29; 22
17,26,0.08634,0.65385,17; 15; 17; 26; 23; 9; 17; 25
32,44,0.08226,0.72727,3; 4; 32; 44; 5; 26; 31; 9
22,30,0.0857,0.73333,4; 17; 22; 30; 11; 18; 31; 31
