ShorterBarHeight,TallerBarHeight,InferenceResult,GroundTruth,BarHeights
25,60,0.31525,0.41667,4; 5; 25; 60; 30; 15; 31; 6
8,19,0.35301,0.42105,31; 12; 8; 19; 14; 28; 22; 7
25,40,0.35734,0.625,15; 8; 25; 40; 18; 16; 16; 11
20,56,0.33422,0.35714,9; 10; 20; 56; 7; 32; 15; 9
9,61,0.14789,0.14754,8; 6; 9; 61; 12; 4; 5; 22
17,58,0.28679,0.2931,9; 5; 17; 58; 19; 18; 13; 29
10,24,0.36832,0.41667,17; 16; 10; 24; 13; 20; 19; 18
36,46,0.25862,0.78261,8; 4; 36; 46; 21; 18; 23; 9
17,23,0.43942,0.73913,4; 19; 17; 23; 10; 27; 17; 14
7,45,0.15372,0.15556,17; 3; 7; 45; 5; 28; 5; 32
7,44,0.1635,0.15909,17; 10; 7; 44; 9; 25; 19; 21
10,28,0.33062,0.35714,10; 21; 10; 28; 25; 17; 26; 18
18,69,0.26804,0.26087,4; 5; 18; 69; 23; 7; 24; 31
8,51,0.16364,0.15686,5; 17; 8; 51; 24; 11; 30; 30
11,42,0.2572,0.2619,13; 8; 11; 42; 30; 24; 32; 7
8,79,0.10801,0.10127,4; 4; 8; 79; 3; 23; 5; 22
7,10,0.26067,0.7,5; 17; 7; 10; 16; 21; 16; 21
5,31,0.16869,0.16129,5; 14; 5; 31; 13; 18; 6; 31
14,70,0.19572,0.2,4; 7; 14; 70; 30; 29; 19; 14
17,23,0.45126,0.73913,24; 7; 17; 23; 4; 18; 25; 24
5,48,0.1078,0.10417,8; 8; 5; 48; 14; 9; 21; 15
6,30,0.19098,0.2,16; 6; 6; 30; 25; 18; 26; 13
19,30,0.43971,0.63333,23; 12; 19; 30; 22; 13; 30; 17
26,35,0.38005,0.74286,3; 9; 26; 35; 16; 18; 20; 27
10,14,0.39288,0.71429,34; 7; 10; 14; 28; 19; 27; 15
8,81,0.10116,0.09877,4; 3; 8; 81; 29; 25; 16; 16
17,35,0.40323,0.48571,14; 20; 17; 35; 27; 32; 14; 3
23,47,0.33541,0.48936,6; 10; 23; 47; 29; 10; 13; 22
22,42,0.38218,0.52381,10; 3; 22; 42; 9; 8; 7; 7
17,24,0.43363,0.70833,16; 20; 17; 24; 26; 20; 21; 16
10,35,0.29574,0.28571,20; 9; 10; 35; 30; 15; 22; 13
29,56,0.27173,0.51786,4; 4; 29; 56; 7; 26; 13; 18
7,48,0.14688,0.14583,16; 17; 7; 48; 20; 26; 18; 16
5,8,0.17684,0.625,29; 5; 5; 8; 26; 20; 15; 16
6,66,0.09567,0.09091,5; 5; 6; 66; 13; 5; 26; 29
5,7,0.15898,0.71429,36; 12; 5; 7; 12; 13; 20; 15
12,46,0.25296,0.26087,19; 7; 12; 46; 12; 17; 22; 18
10,63,0.16082,0.15873,9; 3; 10; 63; 4; 6; 32; 21
7,27,0.25981,0.25926,26; 15; 7; 27; 22; 11; 19; 11
14,49,0.28499,0.28571,10; 14; 14; 49; 28; 19; 28; 3
12,23,0.3909,0.52174,21; 3; 12; 23; 9; 3; 14; 16
11,55,0.19792,0.2,3; 12; 11; 55; 5; 28; 4; 14
5,34,0.15315,0.14706,28; 12; 5; 34; 7; 32; 26; 28
13,64,0.20164,0.20312,4; 5; 13; 64; 29; 30; 10; 5
24,60,0.32057,0.4,7; 5; 24; 60; 23; 32; 6; 31
7,78,0.09548,0.08974,6; 5; 7; 78; 20; 27; 17; 27
30,42,0.33011,0.71429,10; 8; 30; 42; 11; 8; 27; 18
21,43,0.35893,0.48837,5; 17; 21; 43; 11; 8; 31; 12
18,62,0.28829,0.29032,5; 7; 18; 62; 10; 18; 4; 28
6,60,0.10224,0.1,5; 4; 6; 60; 5; 18; 6; 15
28,40,0.3415,0.7,6; 12; 28; 40; 7; 5; 7; 24
6,40,0.15288,0.15,16; 18; 6; 40; 21; 21; 18; 12
9,57,0.16153,0.15789,14; 5; 9; 57; 27; 5; 20; 29
17,66,0.25177,0.25758,4; 6; 17; 66; 23; 22; 5; 29
5,34,0.14879,0.14706,11; 18; 5; 34; 5; 9; 29; 17
6,68,0.09133,0.08824,8; 10; 6; 68; 21; 20; 5; 22
17,42,0.37024,0.40476,16; 19; 17; 42; 17; 11; 17; 8
17,35,0.39722,0.48571,7; 14; 17; 35; 27; 12; 23; 3
12,33,0.34869,0.36364,8; 20; 12; 33; 15; 16; 13; 3
12,17,0.42082,0.70588,22; 24; 12; 17; 17; 15; 11; 9
12,23,0.3992,0.52174,8; 11; 12; 23; 6; 32; 12; 3
21,59,0.32673,0.35593,6; 3; 21; 59; 12; 29; 27; 11
19,39,0.38669,0.48718,12; 16; 19; 39; 3; 32; 7; 3
26,62,0.30462,0.41935,4; 4; 26; 62; 21; 28; 23; 25
31,40,0.32124,0.775,7; 7; 31; 40; 9; 32; 10; 27
7,71,0.10168,0.09859,6; 5; 7; 71; 19; 28; 27; 19
24,49,0.33755,0.4898,10; 6; 24; 49; 23; 22; 3; 21
12,23,0.39897,0.52174,14; 21; 12; 23; 21; 8; 20; 16
27,38,0.36141,0.71053,15; 15; 27; 38; 24; 32; 13; 11
7,72,0.09508,0.09722,5; 6; 7; 72; 19; 20; 8; 19
17,24,0.44566,0.70833,4; 26; 17; 24; 7; 9; 27; 28
12,32,0.34616,0.375,9; 18; 12; 32; 16; 12; 14; 12
24,27,0.41081,0.88889,12; 13; 24; 27; 19; 22; 9; 17
24,27,0.43659,0.88889,13; 18; 24; 27; 12; 17; 15; 31
37,52,0.2168,0.71154,4; 4; 37; 52; 5; 3; 27; 12
12,76,0.16616,0.15789,5; 4; 12; 76; 4; 23; 24; 15
36,51,0.23681,0.70588,4; 4; 36; 51; 21; 19; 13; 12
17,42,0.36613,0.40476,12; 9; 17; 42; 17; 10; 6; 16
11,54,0.20333,0.2037,10; 5; 11; 54; 12; 17; 9; 12
7,9,0.23187,0.77778,6; 34; 7; 9; 13; 5; 26; 31
36,51,0.23505,0.70588,5; 5; 36; 51; 4; 14; 10; 30
32,45,0.29641,0.71111,9; 6; 32; 45; 14; 6; 3; 15
17,33,0.40718,0.51515,15; 17; 17; 33; 14; 29; 29; 7
26,37,0.37041,0.7027,13; 4; 26; 37; 18; 3; 24; 28
17,24,0.42854,0.70833,6; 25; 17; 24; 20; 3; 23; 21
8,79,0.1076,0.10127,5; 5; 8; 79; 4; 24; 22; 20
17,59,0.28322,0.28814,8; 6; 17; 59; 27; 18; 17; 28
31,35,0.35693,0.88571,10; 16; 31; 35; 19; 4; 23; 15
19,48,0.34381,0.39583,7; 8; 19; 48; 16; 28; 32; 21
25,40,0.36546,0.625,9; 12; 25; 40; 18; 16; 10; 26
14,27,0.41377,0.51852,26; 3; 14; 27; 28; 10; 3; 10
21,56,0.3277,0.375,7; 7; 21; 56; 8; 11; 9; 32
23,58,0.30077,0.39655,7; 7; 23; 58; 7; 10; 32; 25
15,29,0.40118,0.51724,16; 27; 15; 29; 18; 13; 7; 32
20,52,0.34204,0.38462,7; 5; 20; 52; 13; 5; 29; 30
35,49,0.24315,0.71429,7; 5; 35; 49; 12; 3; 8; 27
10,14,0.38156,0.71429,20; 25; 10; 14; 24; 32; 7; 18
7,43,0.16441,0.16279,15; 23; 7; 43; 10; 21; 17; 27
22,45,0.39182,0.48889,5; 3; 22; 45; 23; 23; 3; 21
17,45,0.35088,0.37778,16; 16; 17; 45; 30; 27; 10; 23
17,23,0.45081,0.73913,7; 21; 17; 23; 7; 19; 19; 11
10,62,0.16114,0.16129,12; 6; 10; 62; 13; 27; 25; 15
27,38,0.36118,0.71053,16; 10; 27; 38; 7; 18; 26; 18
25,63,0.31724,0.39683,3; 4; 25; 63; 12; 14; 16; 3
24,27,0.41714,0.88889,22; 11; 24; 27; 24; 30; 24; 14
